time_ms,ax,ay,az
459641,-0.05,0.96,0.19
459661,-0.05,0.96,0.19
459681,-0.05,0.96,0.19
459701,-0.05,0.97,0.19
459721,-0.05,0.96,0.19
459741,-0.05,0.96,0.19
459761,-0.05,0.96,0.19
459781,-0.05,0.96,0.19
459801,-0.05,0.96,0.19
459821,-0.05,0.96,0.19
459841,-0.04,0.96,0.19
459861,-0.04,0.96,0.19
459881,-0.05,0.96,0.20
459901,-0.05,0.96,0.19
459921,-0.05,0.97,0.19
459941,-0.04,0.96,0.20
459961,-0.03,0.97,0.20
459981,-0.04,0.96,0.20
460001,-0.05,0.96,0.19
460021,-0.05,0.97,0.19
460041,-0.06,0.96,0.19
460061,-0.06,0.97,0.17
460081,-0.05,0.97,0.18
460101,-0.05,0.97,0.17
460121,-0.05,0.97,0.18
460141,-0.05,0.96,0.18
460161,-0.05,0.96,0.18
460181,-0.05,0.97,0.18
460201,-0.04,0.96,0.18
460221,-0.03,0.96,0.20
460241,-0.04,0.97,0.18
460261,-0.04,0.97,0.19
460281,-0.05,0.96,0.19
460301,-0.06,0.96,0.19
460321,-0.06,0.96,0.19
460341,-0.05,0.96,0.19
460361,-0.05,0.96,0.19
460381,-0.05,0.96,0.19
460401,-0.07,0.96,0.20
460421,-0.06,0.96,0.20
460441,-0.04,0.97,0.18
460461,-0.04,0.93,0.18
460481,-0.04,1.02,0.22
460501,-0.10,0.98,0.19
460521,-0.02,0.94,0.18
460541,-0.04,0.97,0.18
460561,-0.06,0.96,0.19
460581,-0.03,0.96,0.20
460601,-0.06,0.96,0.19
460621,-0.03,0.96,0.21
460641,-0.05,0.96,0.20
460661,-0.03,0.96,0.20
460681,-0.04,0.97,0.20
460701,-0.04,0.96,0.20
460721,-0.06,0.96,0.20
460741,-0.06,0.96,0.20
460761,-0.05,0.96,0.20
460781,-0.05,0.96,0.19
460801,-0.05,0.96,0.19
460821,-0.05,0.96,0.19
460841,-0.05,0.96,0.19
460861,-0.06,0.96,0.19
460881,-0.05,0.96,0.19
460901,-0.05,0.97,0.18
460921,-0.04,0.97,0.18
460941,-0.04,0.96,0.19
460961,-0.04,0.97,0.18
460981,-0.03,0.96,0.19
461001,-0.04,0.96,0.19
461021,-0.05,0.96,0.18
461041,-0.04,0.96,0.19
461061,-0.05,0.97,0.18
461081,-0.06,0.96,0.19
461101,-0.05,0.97,0.18
461121,-0.05,0.97,0.18
461141,-0.04,0.96,0.18
