time_ms,gx,gy,gz
459641,1.53,0.55,0.18
459661,2.56,0.79,0.00
459681,1.22,0.49,0.00
459701,-0.43,0.43,-0.06
459721,-0.12,0.18,0.12
459741,0.24,0.24,0.12
459761,0.67,0.18,0.12
459781,-0.18,0.06,0.12
459801,0.18,0.37,0.12
459821,2.08,0.85,0.18
459841,1.28,1.40,0.00
459861,0.85,0.79,0.06
459881,-0.55,0.00,0.06
459901,-2.56,-0.49,0.06
459921,-1.16,0.00,0.12
459941,-1.59,0.06,0.00
459961,-3.72,1.16,-0.31
459981,-2.87,2.56,0.18
460001,-4.09,3.60,0.37
460021,-4.64,2.93,0.18
460041,-4.82,2.08,0.24
460061,-2.81,3.05,0.73
460081,3.60,4.09,0.85
460101,-0.55,3.17,0.79
460121,-0.55,1.34,0.43
460141,-0.85,0.12,0.43
460161,0.06,-0.24,0.06
460181,1.53,0.79,0.06
460201,3.17,1.22,0.00
460221,3.91,2.01,-0.12
460241,-0.67,4.94,0.31
460261,1.95,6.04,0.79
460281,3.05,6.10,0.98
460301,0.73,5.19,0.79
460321,-0.49,2.62,0.43
460341,-1.10,0.43,0.24
460361,-2.99,-0.79,0.49
460381,-3.30,-1.10,0.67
460401,-3.36,-1.04,0.79
460421,3.17,0.43,0.49
460441,7.57,1.53,0.61
460461,6.59,-0.67,0.06
460481,-1.28,-1.16,-2.50
460501,2.62,-1.89,1.65
460521,8.00,1.28,0.55
460541,-6.90,-0.73,-1.10
460561,9.58,-0.06,-0.12
460581,1.46,0.98,-0.37
460601,5.31,1.65,-0.31
460621,3.85,1.16,-0.12
460641,-0.12,1.34,-0.31
460661,-0.67,1.89,-0.55
460681,-3.48,2.26,-0.31
460701,-3.72,1.89,-0.12
460721,-4.64,1.65,0.00
460741,-2.56,0.12,0.00
460761,-4.15,-0.61,-0.18
460781,-5.31,-0.79,-0.24
460801,-4.88,-0.85,0.00
460821,-5.62,-1.04,-0.12
460841,-3.36,-1.28,-0.24
460861,-1.95,-1.53,-0.18
460881,-0.49,-0.55,-0.24
460901,-1.71,0.73,-0.37
460921,0.61,0.98,-0.49
460941,-1.65,0.49,-0.73
460961,-2.38,0.37,-0.61
460981,-2.26,0.98,-0.31
461001,-3.36,1.95,-0.49
461021,-3.85,2.32,-0.31
461041,-2.99,2.38,-0.12
461061,-2.32,1.10,-0.24
461081,-2.81,1.71,0.12
461101,-0.67,1.95,-0.06
461121,-1.65,1.53,-0.06
461141,-2.26,1.16,0.00
461161,-4.33,1.10,-0.06
461181,-3.48,0.79,0.00
461201,-0.67,0.18,0.12
461221,-1.34,0.06,-0.06
461241,-0.92,0.06,-0.12
461261,-0.24,0.24,-0.12
461281,0.92,0.49,-0.06
461301,0.85,0.85,0.00
461321,1.40,0.67,-0.12
461341,0.85,0.67,-0.12
461361,0.61,0.49,-0.12
461381,0.12,0.37,-0.18
461401,-0.31,0.06,-0.24
461421,-0.43,-0.24,-0.12
461441,-1.16,-0.18,-0.12
461461,-0.85,0.00,-0.12
461481,-1.04,0.06,0.00
461501,-1.16,0.18,0.00
461521,-1.22,0.06,0.00
461541,-0.98,0.06,0.00
461561,-0.43,0.43,0.00
461581,0.43,0.67,0.06
461601,1.10,0.73,0.00
461621,0.92,0.49,0.00
461641,-2.26,0.73,-0.06
461661,1.53,0.79,-0.06
461681,0.92,0.73,0.00
461701,-0.55,0.06,0.00
461721,-1.34,-0.24,0.06
461741,-0.98,-0.06,0.06
461761,-0.61,0.12,0.00
461781,-0.24,0.43,-0.06
461801,0.24,0.43,-0.06
461821,-0.49,0.37,-0.06
461841,-1.04,0.24,-0.06
461861,-0.79,0.06,-0.12
461881,-0.98,0.06,-0.18
461901,-0.98,0.06,0.00
461921,-0.79,0.06,0.00
461941,-0.24,0.43,0.00
461961,0.18,0.43,0.00
461981,0.12,0.67,0.00
462001,0.18,0.49,0.06
462021,0.24,0.37,0.12
462041,0.31,0.49,0.06
462061,0.43,0.49,-0.12
462081,0.00,0.43,-0.18
462101,-0.49,0.18,0.06
462121,-0.85,0.18,-0.06
462141,-1.10,0.12,0.06
462161,-1.53,-0.06,0.06
462181,-1.16,0.12,0.00
462201,-0.61,0.55,-0.06
462221,0.00,0.67,0.00
462241,0.24,0.67,-0.06
462261,0.85,0.43,0.00
462281,-1.16,0.43,-0.12
462301,0.49,0.06,-0.06
462321,-0.18,-0.12,-0.12
462341,-0.55,0.06,-0.12
462361,-0.37,0.18,-0.06
462381,-0.49,0.24,-0.06
462401,-0.12,0.18,-0.06
462421,-0.67,0.18,0.00
462441,-0.49,0.06,0.00
462461,-0.12,0.12,-0.12
462481,0.37,0.37,-0.18
462501,0.92,0.49,-0.06
462521,1.16,0.55,-0.06
462541,0.79,0.37,0.00
462561,-0.31,0.31,0.00
462581,-0.85,0.24,0.00
462601,-0.85,0.24,0.00
462621,-1.04,0.06,-0.06
462641,-1.34,0.12,-0.06
462661,-0.67,0.18,-0.06
462681,-0.37,0.12,-0.06
462701,-0.43,0.37,-0.24
462721,0.43,0.12,-0.06
462741,-0.67,0.00,-0.12
462761,-0.73,0.00,-0.06
462781,-1.16,-0.24,0.00
462801,-1.16,-0.18,0.06
462821,-0.18,0.06,-0.06
462841,0.92,0.43,-0.12
462861,1.10,0.67,0.00
462881,1.40,0.98,0.06
462901,0.55,1.04,-0.06
462921,0.12,0.49,-0.06
462941,-0.49,-0.06,0.00
462961,-0.67,-0.12,0.00
462981,1.16,0.37,0.18
463001,0.67,0.06,0.18
463021,-0.67,-0.55,0.06
463041,-1.34,-0.61,0.06
463061,-0.43,0.24,0.12
463081,0.55,0.79,-0.12
463101,0.98,0.73,0.00
463121,0.92,0.92,0.12
463141,1.22,1.16,0.12
463161,0.98,1.16,0.12
463181,1.28,0.79,-0.06
463201,-0.49,1.04,-0.12
463221,-1.40,1.83,0.18
463241,-1.22,1.40,0.18
463261,0.55,0.31,0.06
463281,-0.85,0.24,0.00
463301,-0.85,0.12,0.00
463321,-0.43,0.24,0.00
463341,0.12,0.49,-0.06
463361,0.43,0.49,0.00
463381,0.31,0.31,0.06
463401,0.06,0.18,0.00
463421,-0.18,0.18,-0.12
463441,0.12,0.12,-0.06
463461,-0.06,0.18,0.00
463481,-0.12,0.37,-0.06
463501,0.00,0.37,0.00
463521,-0.18,0.31,0.00
463541,-0.18,0.37,0.12
463561,0.24,0.49,0.00
463581,0.67,0.43,0.06
463601,0.79,0.43,0.00
463621,0.43,0.49,-0.12
463641,0.24,0.43,-0.06
463661,-0.43,0.31,0.00
463681,-0.73,0.00,-0.06
463701,-0.98,0.06,-0.12
463721,-0.85,0.12,-0.12
463741,-0.92,0.12,-0.31
463761,0.06,0.06,-0.24
463781,0.43,0.00,-0.12
463801,0.98,0.12,0.00
463821,1.46,0.18,0.06
463841,-0.24,0.31,0.06
463861,0.18,0.06,0.00
463881,-0.49,-0.06,-0.12
463901,-1.40,0.06,-0.18
463921,-0.31,0.37,-0.12
463941,0.18,0.55,0.00
463961,0.43,0.67,0.00
463981,0.85,0.61,-0.06
464001,0.85,0.49,-0.06
464021,0.79,0.67,-0.06
464041,3.78,0.55,0.00
464061,1.65,0.24,-0.18
464081,0.67,0.31,-0.18
464101,0.49,0.67,-0.06
464121,0.24,0.67,-0.12
464141,-3.54,1.04,-0.12
464161,-3.11,0.85,0.00
464181,-0.98,0.00,-0.06
464201,-1.83,0.00,0.00
464221,-0.98,0.37,0.12
464241,0.79,0.49,0.12
464261,0.92,0.61,0.00
464281,1.46,0.55,0.00
464301,1.34,0.37,0.06
464321,1.28,0.24,0.00
464341,1.10,0.31,0.00
464361,0.49,0.18,0.00
464381,-0.49,-0.06,0.00
464401,-0.92,0.00,0.00
464421,-0.92,0.24,0.00
464441,-0.18,0.43,-0.06
464461,0.37,0.43,0.00
464481,0.12,0.24,0.00
464501,-0.49,0.18,0.00
464521,-0.73,0.18,0.06
464541,-0.55,0.18,0.00
464561,-0.06,0.31,-0.06
464581,0.00,0.43,0.00
464601,-0.49,0.37,-0.06
464621,-0.31,0.43,-0.06
464641,-0.85,0.37,-0.12
464661,-0.18,0.06,0.00
464681,-0.37,0.06,-0.12
464701,-0.85,0.00,-0.12
464721,-0.98,0.18,0.00
464741,-0.31,0.43,0.06
464761,-0.12,0.37,0.00
464781,-0.92,0.06,0.00
464801,-1.34,-0.12,-0.06
464821,-0.92,0.12,0.00
464841,-0.49,0.37,0.00
464861,-0.67,0.24,-0.12
464881,-0.43,0.12,-0.06
464901,-0.06,0.31,-0.06
464921,-0.18,0.24,0.00
464941,-0.55,0.06,0.00
464961,-0.49,-0.06,-0.06
464981,-0.37,0.12,-0.06
465001,0.24,0.31,0.00
465021,0.79,0.43,0.06
465041,0.67,0.37,0.06
465061,-0.12,0.12,0.06
465081,-0.18,0.18,0.00
465101,-0.55,0.12,0.00
465121,-1.10,0.12,0.00
465141,-1.46,0.18,-0.06
465161,-1.22,0.18,0.00
465181,-1.10,0.18,-0.06
465201,-0.92,0.31,-0.12
465221,-0.24,0.49,0.06
465241,-0.31,0.67,0.00
465261,-0.24,0.61,-0.06
465281,-0.12,0.24,0.06
465301,-0.43,0.12,0.06
465321,-0.85,0.06,0.00
465341,-1.34,-0.12,0.12
465361,-1.34,-0.31,-0.06
465381,0.79,-0.61,0.12
465401,-0.55,-0.43,0.06
465421,-2.08,-0.06,-0.12
465441,-0.37,0.12,-0.18
465461,-0.43,0.24,0.00
465481,-0.73,0.24,0.00
465501,-0.73,0.18,0.00
465521,-0.73,0.24,0.00
465541,-0.49,0.37,-0.12
465561,-0.24,0.31,0.00
465581,-0.37,0.12,0.06
465601,-0.31,0.12,0.06
465621,-0.37,0.31,0.00
465641,0.06,0.37,-0.06
465661,-1.04,0.37,-0.06
465681,-0.73,0.24,-0.24
465701,-0.73,0.18,-0.18
465721,-0.79,0.18,-0.12
465741,-0.12,0.00,-0.12
465761,0.12,0.06,-0.12
465781,-0.06,0.06,-0.24
465801,0.67,0.06,-0.18
465821,4.33,0.67,0.00
465841,8.30,0.61,0.31
465861,8.48,-0.37,-0.12
465881,8.36,-0.43,0.31
465901,5.37,-0.49,0.31
465921,4.46,-1.16,0.00
465941,-0.37,0.06,0.37
465961,3.30,0.67,0.67
465981,2.08,0.43,0.00
466001,2.01,0.49,-0.31
466021,1.65,0.37,-0.24
466041,0.55,0.31,0.00
466061,0.73,0.61,-0.18
466081,1.40,0.61,-0.24
466101,1.16,0.61,-0.12
466121,0.79,0.61,0.00
466141,0.55,0.43,0.00
466161,-0.37,0.06,0.00
466181,-1.04,-0.12,-0.06
466201,-1.28,-0.06,0.00
466221,-1.04,-0.06,0.06
466241,-0.73,-0.18,-0.06
466261,-0.98,-0.31,-0.06
466281,-0.98,-0.31,-0.06
466301,0.12,-0.12,0.12
466321,0.92,-0.06,0.24
466341,0.37,0.31,0.06
466361,0.24,0.55,0.06
466381,-0.06,0.49,0.06
466401,-0.31,0.06,0.06
466421,-0.55,0.18,-0.06
466441,-1.59,0.31,-0.24
466461,-2.81,0.37,-0.12
466481,-3.60,0.43,0.06
466501,-0.43,0.43,-0.06
466521,0.06,0.31,0.12
466541,-0.43,0.06,0.18
466561,-0.37,-0.06,0.18
466581,0.31,-0.12,0.18
466601,0.67,-0.43,0.00
466621,-1.65,-0.31,-0.18
466641,-0.85,0.06,-0.24
466661,-0.12,0.55,-0.18
466681,0.18,0.67,-0.12
466701,0.18,0.73,0.00
466721,1.10,1.04,0.00
466741,1.59,1.22,0.06
466761,2.14,1.04,0.00
466781,2.14,0.79,0.00
466801,1.16,0.37,-0.12
466821,0.12,0.18,0.00
466841,0.31,0.18,0.06
466861,-0.18,0.12,0.06
466881,-0.85,-0.06,0.00
466901,-0.85,-0.12,-0.06
466921,-1.10,-0.12,0.00
466941,-1.34,-0.37,-0.18
466961,-1.89,-0.43,-0.06
466981,-0.12,-0.31,0.12
467001,-0.18,-0.18,0.06
467021,-0.24,0.00,0.06
467041,-0.37,0.31,0.00
