time_ms,mx,my,mz
459641,77.00,-16.00,-41.00
459661,0.00,0.00,0.00
459681,0.00,0.00,0.00
459701,0.00,0.00,0.00
459721,0.00,0.00,0.00
459741,73.00,-17.00,-41.00
459761,0.00,0.00,0.00
459781,0.00,0.00,0.00
459801,0.00,0.00,0.00
459821,0.00,0.00,0.00
459841,74.00,-17.00,-40.00
459861,0.00,0.00,0.00
459881,0.00,0.00,0.00
459901,0.00,0.00,0.00
459921,0.00,0.00,0.00
459941,72.00,-17.00,-44.00
459961,0.00,0.00,0.00
459981,0.00,0.00,0.00
460001,0.00,0.00,0.00
460021,0.00,0.00,0.00
460041,74.00,-16.00,-43.00
460061,0.00,0.00,0.00
460081,0.00,0.00,0.00
460101,0.00,0.00,0.00
460121,0.00,0.00,0.00
460141,75.00,-14.00,-43.00
460161,0.00,0.00,0.00
460181,0.00,0.00,0.00
460201,0.00,0.00,0.00
460221,0.00,0.00,0.00
460241,74.00,-15.00,-43.00
460261,0.00,0.00,0.00
460281,0.00,0.00,0.00
460301,0.00,0.00,0.00
460321,0.00,0.00,0.00
460341,75.00,-15.00,-44.00
460361,0.00,0.00,0.00
460381,0.00,0.00,0.00
460401,0.00,0.00,0.00
460421,0.00,0.00,0.00
460441,74.00,-17.00,-41.00
460461,0.00,0.00,0.00
460481,0.00,0.00,0.00
460501,0.00,0.00,0.00
460521,0.00,0.00,0.00
460541,76.00,-14.00,-42.00
460561,0.00,0.00,0.00
460581,0.00,0.00,0.00
460601,0.00,0.00,0.00
460621,0.00,0.00,0.00
460641,73.00,-14.00,-42.00
460661,0.00,0.00,0.00
460681,0.00,0.00,0.00
460701,0.00,0.00,0.00
460721,0.00,0.00,0.00
460741,74.00,-17.00,-45.00
460761,0.00,0.00,0.00
460781,0.00,0.00,0.00
460801,0.00,0.00,0.00
460821,0.00,0.00,0.00
460841,74.00,-18.00,-43.00
460861,0.00,0.00,0.00
460881,0.00,0.00,0.00
460901,0.00,0.00,0.00
460921,0.00,0.00,0.00
460941,76.00,-14.00,-44.00
460961,0.00,0.00,0.00
460981,0.00,0.00,0.00
461001,0.00,0.00,0.00
461021,0.00,0.00,0.00
461041,75.00,-16.00,-44.00
461061,0.00,0.00,0.00
461081,0.00,0.00,0.00
461101,0.00,0.00,0.00
461121,0.00,0.00,0.00
461141,74.00,-16.00,-46.00
461161,0.00,0.00,0.00
461181,0.00,0.00,0.00
461201,0.00,0.00,0.00
461221,0.00,0.00,0.00
461241,72.00,-18.00,-41.00
461261,0.00,0.00,0.00
461281,0.00,0.00,0.00
461301,0.00,0.00,0.00
461321,71.00,-15.00,-40.00
461341,0.00,0.00,0.00
461361,0.00,0.00,0.00
461381,0.00,0.00,0.00
461401,0.00,0.00,0.00
461421,75.00,-16.00,-43.00
461441,0.00,0.00,0.00
461461,0.00,0.00,0.00
461481,0.00,0.00,0.00
461501,0.00,0.00,0.00
461521,75.00,-17.00,-40.00
461541,0.00,0.00,0.00
461561,0.00,0.00,0.00
461581,0.00,0.00,0.00
461601,0.00,0.00,0.00
461621,74.00,-17.00,-40.00
461641,0.00,0.00,0.00
461661,0.00,0.00,0.00
461681,0.00,0.00,0.00
461701,0.00,0.00,0.00
461721,75.00,-16.00,-38.00
461741,0.00,0.00,0.00
461761,0.00,0.00,0.00
461781,0.00,0.00,0.00
461801,0.00,0.00,0.00
461821,75.00,-15.00,-42.00
461841,0.00,0.00,0.00
461861,0.00,0.00,0.00
461881,0.00,0.00,0.00
461901,0.00,0.00,0.00
461921,75.00,-17.00,-45.00
461941,0.00,0.00,0.00
461961,0.00,0.00,0.00
461981,0.00,0.00,0.00
462001,0.00,0.00,0.00
462021,73.00,-15.00,-43.00
462041,0.00,0.00,0.00
462061,0.00,0.00,0.00
462081,0.00,0.00,0.00
462101,0.00,0.00,0.00
462121,72.00,-15.00,-47.00
462141,0.00,0.00,0.00
462161,0.00,0.00,0.00
462181,0.00,0.00,0.00
462201,0.00,0.00,0.00
462221,74.00,-17.00,-41.00
462241,0.00,0.00,0.00
462261,0.00,0.00,0.00
462281,0.00,0.00,0.00
462301,0.00,0.00,0.00
462321,76.00,-17.00,-41.00
462341,0.00,0.00,0.00
462361,0.00,0.00,0.00
462381,0.00,0.00,0.00
462401,0.00,0.00,0.00
462421,75.00,-16.00,-46.00
462441,0.00,0.00,0.00
462461,0.00,0.00,0.00
462481,0.00,0.00,0.00
462501,0.00,0.00,0.00
462521,74.00,-16.00,-44.00
462541,0.00,0.00,0.00
462561,0.00,0.00,0.00
462581,0.00,0.00,0.00
462601,0.00,0.00,0.00
462621,74.00,-15.00,-43.00
462641,0.00,0.00,0.00
462661,0.00,0.00,0.00
462681,0.00,0.00,0.00
462701,0.00,0.00,0.00
462721,75.00,-16.00,-39.00
462741,0.00,0.00,0.00
462761,0.00,0.00,0.00
462781,0.00,0.00,0.00
462801,0.00,0.00,0.00
462821,74.00,-17.00,-37.00
462841,0.00,0.00,0.00
462861,0.00,0.00,0.00
462881,0.00,0.00,0.00
462901,0.00,0.00,0.00
462921,73.00,-15.00,-41.00
462941,0.00,0.00,0.00
462961,0.00,0.00,0.00
462981,0.00,0.00,0.00
463001,0.00,0.00,0.00
463021,74.00,-16.00,-41.00
463041,0.00,0.00,0.00
463061,0.00,0.00,0.00
463081,0.00,0.00,0.00
463101,0.00,0.00,0.00
463121,75.00,-17.00,-44.00
463141,0.00,0.00,0.00
463161,0.00,0.00,0.00
463181,0.00,0.00,0.00
463201,0.00,0.00,0.00
463221,71.00,-15.00,-45.00
463241,0.00,0.00,0.00
463261,0.00,0.00,0.00
463281,0.00,0.00,0.00
463301,0.00,0.00,0.00
463321,72.00,-15.00,-40.00
463341,0.00,0.00,0.00
463361,0.00,0.00,0.00
463381,0.00,0.00,0.00
463401,0.00,0.00,0.00
463421,74.00,-15.00,-45.00
463441,0.00,0.00,0.00
463461,0.00,0.00,0.00
463481,0.00,0.00,0.00
463501,74.00,-15.00,-41.00
463521,0.00,0.00,0.00
463541,0.00,0.00,0.00
463561,0.00,0.00,0.00
463581,0.00,0.00,0.00
463601,73.00,-17.00,-39.00
463621,0.00,0.00,0.00
463641,0.00,0.00,0.00
463661,0.00,0.00,0.00
463681,0.00,0.00,0.00
463701,75.00,-15.00,-43.00
463721,0.00,0.00,0.00
463741,0.00,0.00,0.00
463761,0.00,0.00,0.00
463781,0.00,0.00,0.00
463801,76.00,-18.00,-44.00
463821,0.00,0.00,0.00
463841,0.00,0.00,0.00
463861,0.00,0.00,0.00
463881,0.00,0.00,0.00
463901,73.00,-17.00,-44.00
463921,0.00,0.00,0.00
463941,0.00,0.00,0.00
463961,0.00,0.00,0.00
463981,0.00,0.00,0.00
464001,76.00,-14.00,-44.00
464021,0.00,0.00,0.00
464041,0.00,0.00,0.00
464061,0.00,0.00,0.00
464081,0.00,0.00,0.00
464101,76.00,-18.00,-39.00
464121,0.00,0.00,0.00
464141,0.00,0.00,0.00
464161,0.00,0.00,0.00
464181,0.00,0.00,0.00
464201,72.00,-14.00,-37.00
464221,0.00,0.00,0.00
464241,0.00,0.00,0.00
464261,0.00,0.00,0.00
464281,0.00,0.00,0.00
464301,73.00,-16.00,-41.00
464321,0.00,0.00,0.00
464341,0.00,0.00,0.00
464361,0.00,0.00,0.00
464381,0.00,0.00,0.00
464401,76.00,-16.00,-48.00
464421,0.00,0.00,0.00
464441,0.00,0.00,0.00
464461,0.00,0.00,0.00
464481,0.00,0.00,0.00
464501,76.00,-15.00,-41.00
464521,0.00,0.00,0.00
464541,0.00,0.00,0.00
464561,0.00,0.00,0.00
464581,0.00,0.00,0.00
464601,73.00,-15.00,-46.00
464621,0.00,0.00,0.00
464641,0.00,0.00,0.00
464661,0.00,0.00,0.00
464681,0.00,0.00,0.00
464701,75.00,-15.00,-44.00
464721,0.00,0.00,0.00
464741,0.00,0.00,0.00
464761,0.00,0.00,0.00
464781,0.00,0.00,0.00
464801,74.00,-14.00,-47.00
464821,0.00,0.00,0.00
464841,0.00,0.00,0.00
464861,0.00,0.00,0.00
464881,0.00,0.00,0.00
464901,78.00,-15.00,-42.00
464921,0.00,0.00,0.00
464941,0.00,0.00,0.00
464961,0.00,0.00,0.00
464981,0.00,0.00,0.00
465001,77.00,-15.00,-49.00
465021,0.00,0.00,0.00
465041,0.00,0.00,0.00
465061,0.00,0.00,0.00
465081,0.00,0.00,0.00
465101,73.00,-14.00,-44.00
465121,0.00,0.00,0.00
465141,0.00,0.00,0.00
465161,0.00,0.00,0.00
465181,0.00,0.00,0.00
465201,75.00,-14.00,-45.00
465221,0.00,0.00,0.00
465241,0.00,0.00,0.00
465261,0.00,0.00,0.00
465281,0.00,0.00,0.00
465301,76.00,-16.00,-38.00
465321,0.00,0.00,0.00
465341,0.00,0.00,0.00
465361,0.00,0.00,0.00
465381,0.00,0.00,0.00
465401,74.00,-17.00,-45.00
465421,0.00,0.00,0.00
465441,0.00,0.00,0.00
465461,0.00,0.00,0.00
465481,0.00,0.00,0.00
465501,77.00,-16.00,-47.00
465521,0.00,0.00,0.00
465541,0.00,0.00,0.00
465561,0.00,0.00,0.00
465581,0.00,0.00,0.00
465601,74.00,-16.00,-42.00
465621,0.00,0.00,0.00
465641,0.00,0.00,0.00
465661,0.00,0.00,0.00
465681,74.00,-16.00,-47.00
465701,0.00,0.00,0.00
465721,0.00,0.00,0.00
465741,0.00,0.00,0.00
465761,0.00,0.00,0.00
465781,72.00,-17.00,-44.00
465801,0.00,0.00,0.00
465821,0.00,0.00,0.00
465841,0.00,0.00,0.00
465861,0.00,0.00,0.00
465881,74.00,-18.00,-45.00
465901,0.00,0.00,0.00
465921,0.00,0.00,0.00
465941,0.00,0.00,0.00
465961,0.00,0.00,0.00
465981,72.00,-14.00,-43.00
466001,0.00,0.00,0.00
466021,0.00,0.00,0.00
466041,0.00,0.00,0.00
466061,0.00,0.00,0.00
466081,74.00,-15.00,-45.00
466101,0.00,0.00,0.00
466121,0.00,0.00,0.00
466141,0.00,0.00,0.00
466161,0.00,0.00,0.00
466181,74.00,-16.00,-39.00
466201,0.00,0.00,0.00
466221,0.00,0.00,0.00
466241,0.00,0.00,0.00
466261,0.00,0.00,0.00
466281,73.00,-15.00,-40.00
466301,0.00,0.00,0.00
466321,0.00,0.00,0.00
466341,0.00,0.00,0.00
466361,0.00,0.00,0.00
466381,75.00,-16.00,-41.00
466401,0.00,0.00,0.00
466421,0.00,0.00,0.00
466441,0.00,0.00,0.00
466461,0.00,0.00,0.00
466481,75.00,-16.00,-41.00
466501,0.00,0.00,0.00
466521,0.00,0.00,0.00
466541,0.00,0.00,0.00
466561,0.00,0.00,0.00
466581,71.00,-16.00,-44.00
466601,0.00,0.00,0.00
466621,0.00,0.00,0.00
466641,0.00,0.00,0.00
466661,0.00,0.00,0.00
466681,75.00,-12.00,-42.00
466701,0.00,0.00,0.00
466721,0.00,0.00,0.00
466741,0.00,0.00,0.00
466761,0.00,0.00,0.00
466781,73.00,-15.00,-45.00
466801,0.00,0.00,0.00
466821,0.00,0.00,0.00
466841,0.00,0.00,0.00
466861,0.00,0.00,0.00
466881,76.00,-16.00,-42.00
466901,0.00,0.00,0.00
466921,0.00,0.00,0.00
466941,0.00,0.00,0.00
466961,0.00,0.00,0.00
466981,73.00,-15.00,-47.00
467001,0.00,0.00,0.00
467021,0.00,0.00,0.00
467041,0.00,0.00,0.00
467061,0.00,0.00,0.00
467081,74.00,-16.00,-47.00
467101,0.00,0.00,0.00
467121,0.00,0.00,0.00
467141,0.00,0.00,0.00
467161,0.00,0.00,0.00
467181,74.00,-15.00,-43.00
467201,0.00,0.00,0.00
467221,0.00,0.00,0.00
467241,0.00,0.00,0.00
467261,0.00,0.00,0.00
467281,76.00,-15.00,-44.00
467301,0.00,0.00,0.00
467321,0.00,0.00,0.00
467341,0.00,0.00,0.00
467361,0.00,0.00,0.00
467381,75.00,-17.00,-47.00
467401,0.00,0.00,0.00
467421,0.00,0.00,0.00
467441,0.00,0.00,0.00
467461,0.00,0.00,0.00
467481,74.00,-15.00,-43.00
467501,0.00,0.00,0.00
467521,0.00,0.00,0.00
467541,0.00,0.00,0.00
467561,0.00,0.00,0.00
467581,72.00,-14.00,-37.00
467601,0.00,0.00,0.00
467621,0.00,0.00,0.00
467641,0.00,0.00,0.00
467661,0.00,0.00,0.00
467681,73.00,-16.00,-41.00
467701,0.00,0.00,0.00
467721,0.00,0.00,0.00
467741,0.00,0.00,0.00
467761,71.00,-15.00,-45.00
467781,0.00,0.00,0.00
467801,0.00,0.00,0.00
467821,0.00,0.00,0.00
467841,0.00,0.00,0.00
467861,74.00,-15.00,-39.00
467881,0.00,0.00,0.00
467901,0.00,0.00,0.00
467921,0.00,0.00,0.00
467941,0.00,0.00,0.00
467961,75.00,-14.00,-45.00
467981,0.00,0.00,0.00
468001,0.00,0.00,0.00
468021,0.00,0.00,0.00
468041,0.00,0.00,0.00
468061,74.00,-16.00,-38.00
468081,0.00,0.00,0.00
468101,0.00,0.00,0.00
468121,0.00,0.00,0.00
468141,0.00,0.00,0.00
468161,74.00,-12.00,-43.00
468181,0.00,0.00,0.00
468201,0.00,0.00,0.00
468221,0.00,0.00,0.00
468241,0.00,0.00,0.00
468261,73.00,-17.00,-43.00
468281,0.00,0.00,0.00
468301,0.00,0.00,0.00
468321,0.00,0.00,0.00
468341,0.00,0.00,0.00
468361,75.00,-18.00,-39.00
468381,0.00,0.00,0.00
468401,0.00,0.00,0.00
468421,0.00,0.00,0.00
468441,0.00,0.00,0.00
468461,75.00,-15.00,-43.00
468481,0.00,0.00,0.00
468501,0.00,0.00,0.00
468521,0.00,0.00,0.00
468541,0.00,0.00,0.00
468561,74.00,-14.00,-41.00
468581,0.00,0.00,0.00
468601,0.00,0.00,0.00
468621,0.00,0.00,0.00
468641,0.00,0.00,0.00
468661,74.00,-17.00,-43.00
468681,0.00,0.00,0.00
468701,0.00,0.00,0.00
468721,0.00,0.00,0.00
468741,0.00,0.00,0.00
468761,78.00,-16.00,-40.00
468781,0.00,0.00,0.00
468801,0.00,0.00,0.00
468821,0.00,0.00,0.00
468841,0.00,0.00,0.00
468861,76.00,-15.00,-42.00
468881,0.00,0.00,0.00
468901,0.00,0.00,0.00
468921,0.00,0.00,0.00
468941,0.00,0.00,0.00
468961,76.00,-17.00,-40.00
468981,0.00,0.00,0.00
469001,0.00,0.00,0.00
469021,0.00,0.00,0.00
469041,0.00,0.00,0.00
469061,72.00,-16.00,-43.00
469081,0.00,0.00,0.00
469101,0.00,0.00,0.00
469121,0.00,0.00,0.00
469141,0.00,0.00,0.00
469161,74.00,-15.00,-42.00
469181,0.00,0.00,0.00
469201,0.00,0.00,0.00
469221,0.00,0.00,0.00
469241,0.00,0.00,0.00
469261,74.00,-17.00,-40.00
469281,0.00,0.00,0.00
