time_ms,ax,ay,az
289115,-0.04,0.10,-1.00
289135,-0.03,0.11,-1.00
289155,-0.02,0.14,-0.99
289175,-0.04,0.11,-1.00
289195,-0.04,0.09,-1.00
289215,-0.04,0.07,-1.01
289235,-0.03,0.06,-1.03
289255,-0.04,0.06,-1.01
289275,-0.05,0.06,-1.00
289295,-0.05,0.04,-1.01
289315,-0.05,0.05,-1.01
289335,-0.05,0.05,-1.01
289355,-0.05,0.05,-1.01
289375,-0.06,0.05,-1.00
289395,-0.07,0.05,-1.00
289415,-0.07,0.04,-1.00
289435,-0.07,0.04,-1.00
289455,-0.07,0.05,-1.00
289475,-0.08,0.05,-1.00
289495,-0.08,0.04,-1.00
289515,-0.08,0.04,-1.00
289535,-0.08,0.05,-1.00
289555,-0.07,0.04,-1.00
289575,-0.06,0.05,-1.00
289595,-0.06,0.05,-1.00
289615,-0.07,0.05,-1.00
289635,-0.06,0.05,-1.01
289655,-0.06,0.05,-1.01
289675,-0.05,0.05,-1.01
289695,-0.05,0.06,-1.00
289715,-0.04,0.06,-1.01
289735,-0.04,0.06,-1.01
289755,-0.05,0.06,-1.01
289775,-0.05,0.06,-1.01
289795,-0.06,0.07,-1.00
289815,-0.06,0.09,-1.00
289835,-0.05,0.07,-1.01
289855,-0.05,0.08,-1.00
289875,-0.05,0.07,-1.01
289895,-0.04,0.07,-1.00
289915,-0.04,0.07,-1.00
289935,-0.04,0.07,-1.01
289955,-0.04,0.08,-1.00
289975,-0.04,0.08,-1.00
289995,-0.04,0.08,-1.00
290015,-0.04,0.08,-1.00
290035,-0.04,0.08,-1.01
290055,-0.04,0.09,-1.01
290075,-0.03,0.09,-1.00
290095,-0.03,0.09,-1.00
290115,-0.04,0.09,-1.00
290135,-0.04,0.09,-1.00
290155,-0.03,0.09,-1.00
290175,-0.03,0.09,-1.00
290195,-0.03,0.09,-1.00
290215,-0.04,0.08,-1.00
290235,-0.04,0.08,-1.00
290255,-0.03,0.08,-1.01
290275,-0.04,0.08,-1.00
290295,-0.04,0.07,-1.01
290315,-0.03,0.08,-1.01
290335,-0.03,0.07,-1.01
290355,-0.04,0.08,-1.00
290375,-0.04,0.08,-1.01
290395,-0.04,0.08,-1.01
290415,-0.04,0.07,-1.01
290435,-0.04,0.07,-1.01
290455,-0.04,0.07,-1.01
290475,-0.06,0.05,-1.01
290495,-0.07,0.05,-1.00
290515,-0.06,0.05,-1.01
290535,-0.05,0.08,-1.01
290555,-0.05,0.08,-1.01
290575,-0.05,0.11,-0.99
290595,-0.05,0.07,-1.00
290615,-0.06,0.07,-1.00
290635,-0.06,0.07,-1.00
290655,-0.07,0.07,-1.00
290675,-0.07,0.08,-1.00
290695,-0.07,0.08,-1.00
290715,-0.06,0.09,-1.00
290735,-0.06,0.10,-1.00
290755,-0.07,0.10,-1.00
290775,-0.08,0.09,-1.00
290795,-0.07,0.10,-1.00
290815,-0.08,0.11,-1.00
290835,-0.08,0.10,-1.00
290855,-0.08,0.11,-1.00
290875,-0.07,0.11,-1.00
290895,-0.07,0.11,-0.99
290915,-0.06,0.10,-0.99
290935,-0.07,0.09,-1.00
290955,-0.06,0.08,-1.00
290975,-0.06,0.09,-1.00
290995,-0.07,0.10,-1.00
291015,-0.08,0.08,-1.01
291035,-0.09,0.09,-1.00
291055,-0.10,0.08,-1.00
291075,-0.11,0.06,-1.00
291095,-0.10,0.06,-1.00
291115,-0.09,0.06,-1.00
291135,-0.10,0.06,-1.00
291155,-0.08,0.06,-1.00
291175,-0.06,0.08,-1.00
291195,-0.06,0.11,-1.00
291215,-0.07,0.10,-1.01
291235,-0.07,0.10,-1.00
291255,-0.05,0.11,-1.01
291275,-0.05,0.11,-1.01
291295,-0.07,0.10,-1.00
291315,-0.09,0.09,-1.00
291335,-0.06,0.09,-1.01
291355,-0.06,0.08,-1.01
291375,-0.08,0.08,-0.99
291395,-0.07,0.07,-1.01
291415,-0.07,0.06,-1.00
291435,-0.10,0.07,-1.00
291455,-0.12,0.06,-1.00
291475,-0.12,0.05,-0.99
291495,-0.11,0.05,-1.00
291515,-0.10,0.07,-1.00
291535,-0.09,0.08,-1.00
291555,-0.08,0.09,-1.00
291575,-0.08,0.08,-1.00
291595,-0.08,0.07,-1.00
291615,-0.08,0.08,-1.00
291635,-0.08,0.08,-1.00
291655,-0.08,0.08,-1.00
291675,-0.08,0.08,-1.00
291695,-0.09,0.08,-1.00
291715,-0.08,0.08,-1.00
291735,-0.08,0.08,-1.00
291755,-0.08,0.08,-1.00
291775,-0.08,0.08,-1.00
291795,-0.08,0.08,-1.00
291815,-0.07,0.08,-1.00
291835,-0.07,0.07,-1.00
291855,-0.08,0.07,-1.00
291875,-0.09,0.06,-1.00
291895,-0.10,0.05,-1.00
291915,-0.10,0.05,-1.00
291935,-0.08,0.07,-1.00
291955,-0.07,0.07,-1.01
291975,-0.07,0.08,-1.00
291995,-0.09,0.07,-1.00
292015,-0.09,0.07,-1.00
292035,-0.08,0.08,-1.00
292055,-0.08,0.08,-1.01
292075,-0.08,0.09,-1.00
292095,-0.08,0.07,-1.00
292115,-0.09,0.08,-1.00
292135,-0.08,0.09,-1.00
292155,-0.08,0.12,-1.00
292175,-0.08,0.11,-1.00
292195,-0.07,0.11,-1.00
292215,-0.08,0.12,-1.00
292235,-0.07,0.13,-1.00
292255,-0.07,0.13,-0.99
292275,-0.08,0.12,-1.00
292295,-0.08,0.12,-1.00
292315,-0.08,0.12,-1.00
292335,-0.08,0.12,-1.00
292355,-0.09,0.10,-1.00
292375,-0.09,0.11,-1.00
292395,-0.09,0.11,-1.00
292415,-0.10,0.10,-1.00
292435,-0.10,0.10,-0.99
292455,-0.10,0.11,-1.00
292475,-0.10,0.10,-1.00
292495,-0.10,0.11,-1.00
292515,-0.09,0.09,-1.00
292535,-0.09,0.08,-0.99
292555,-0.09,0.09,-1.00
292575,-0.08,0.08,-1.00
292595,-0.08,0.07,-1.00
292615,-0.07,0.08,-1.00
292635,-0.09,0.05,-1.01
292655,-0.11,0.07,-1.00
292675,-0.09,0.05,-1.00
292695,-0.08,0.07,-1.00
292715,-0.09,0.07,-1.00
292735,-0.10,0.07,-1.00
292755,-0.10,0.07,-1.00
292775,-0.09,0.07,-1.00
292795,-0.08,0.07,-1.01
292815,-0.09,0.07,-1.00
292835,-0.08,0.07,-1.00
292855,-0.07,0.07,-1.01
292875,-0.07,0.07,-1.00
292895,-0.06,0.07,-1.01
292915,-0.06,0.07,-1.01
292935,-0.06,0.08,-1.00
292955,-0.09,0.07,-1.00
292975,-0.09,0.09,-0.99
292995,-0.09,0.07,-1.00
293015,-0.08,0.09,-1.00
293035,-0.08,0.09,-1.00
293055,-0.08,0.07,-1.01
293075,-0.08,0.10,-1.00
293095,-0.09,0.06,-1.00
293115,-0.09,0.05,-1.00
293135,-0.09,0.06,-1.00
293155,-0.09,0.05,-1.01
293175,-0.08,0.06,-1.00
293195,-0.07,0.04,-1.01
293215,-0.07,0.06,-1.00
293235,-0.06,0.06,-1.01
293255,-0.06,0.05,-1.01
293275,-0.08,0.04,-1.00
293295,-0.11,0.03,-1.00
293315,-0.12,0.01,-1.00
293335,-0.11,0.01,-1.00
293355,-0.10,0.03,-1.01
293375,-0.08,0.05,-1.00
293395,-0.07,0.05,-1.00
293415,-0.08,0.04,-1.00
293435,-0.09,0.01,-1.01
293455,-0.10,0.02,-1.00
293475,-0.09,0.04,-1.00
293495,-0.08,0.03,-1.01
293515,-0.09,0.04,-1.00
293535,-0.09,0.04,-1.00
293555,-0.09,0.04,-1.00
293575,-0.08,0.03,-1.00
293595,-0.07,0.04,-1.00
293615,-0.08,0.04,-1.00
293635,-0.09,0.03,-1.00
293655,-0.09,0.02,-1.00
293675,-0.09,0.01,-1.01
293695,-0.09,0.00,-1.00
293715,-0.08,-0.00,-1.01
293735,-0.08,0.02,-1.01
293755,-0.08,0.03,-1.00
293775,-0.08,0.01,-1.00
293795,-0.08,0.04,-1.00
293815,-0.08,0.02,-1.00
293835,-0.07,0.03,-1.01
293855,-0.08,0.02,-1.01
293875,-0.08,0.02,-1.01
293895,-0.09,0.02,-1.00
293915,-0.08,0.02,-1.00
293935,-0.08,0.02,-1.01
293955,-0.08,0.02,-1.01
293975,-0.08,0.02,-1.00
293995,-0.08,0.02,-1.00
294015,-0.08,0.02,-1.01
294035,-0.08,0.02,-1.01
294055,-0.10,0.02,-1.00
294075,-0.10,0.02,-1.00
294095,-0.11,0.03,-1.00
294115,-0.11,0.02,-1.00
294135,-0.09,0.01,-1.00
294155,-0.08,0.01,-1.01
294175,-0.08,0.03,-1.01
294195,-0.06,0.03,-1.01
294215,-0.06,0.04,-1.01
294235,-0.06,0.04,-1.01
294255,-0.07,0.03,-1.01
294275,-0.08,0.03,-1.00
294295,-0.08,0.03,-1.00
294315,-0.08,0.03,-1.01
294335,-0.07,0.03,-1.00
294355,-0.07,0.03,-1.00
294375,-0.08,0.03,-1.00
294395,-0.09,0.03,-1.00
294415,-0.09,0.03,-1.00
294435,-0.08,0.03,-1.00
294455,-0.07,0.04,-1.01
294475,-0.08,0.04,-1.00
294495,-0.08,0.03,-1.01
294515,-0.09,0.03,-1.00
294535,-0.08,0.04,-1.01
294555,-0.08,0.03,-1.00
294575,-0.08,0.03,-1.00
294595,-0.08,0.03,-1.00
294615,-0.08,0.03,-1.00
294635,-0.08,0.04,-1.01
294655,-0.08,0.04,-1.00
294675,-0.08,0.04,-1.01
294695,-0.07,0.04,-1.01
294715,-0.07,0.04,-1.01
294735,-0.07,0.04,-1.00
294755,-0.08,0.04,-1.01
294775,-0.09,0.04,-1.01
294795,-0.08,0.04,-1.01
294815,-0.08,0.04,-1.01
294835,-0.09,0.03,-1.01
294855,-0.09,0.03,-1.00
294875,-0.08,0.02,-1.00
294895,-0.09,0.02,-1.01
294915,-0.10,0.01,-1.00
294935,-0.10,0.01,-1.01
294955,-0.10,0.01,-1.00
294975,-0.10,0.01,-1.01
294995,-0.11,0.01,-1.00
295015,-0.11,0.01,-1.00
295035,-0.10,0.01,-1.00
295055,-0.10,0.01,-1.00
295075,-0.10,0.00,-1.00
295095,-0.10,0.00,-1.00
295115,-0.09,0.01,-1.01
295135,-0.10,0.01,-1.00
295155,-0.11,0.01,-1.00
295175,-0.12,0.01,-1.00
295195,-0.12,0.01,-1.00
295215,-0.12,0.01,-1.00
295235,-0.12,0.02,-1.00
295255,-0.12,0.02,-1.00
295275,-0.12,0.02,-1.00
295295,-0.12,0.02,-1.00
295315,-0.11,0.02,-1.00
295335,-0.10,0.02,-1.00
295355,-0.11,0.01,-1.00
295375,-0.11,0.01,-1.01
295395,-0.11,0.01,-1.00
295415,-0.11,0.02,-0.99
295435,-0.13,0.01,-0.99
295455,-0.14,-0.00,-1.00
295475,-0.13,0.01,-1.00
295495,-0.12,0.02,-1.00
295515,-0.11,0.02,-1.00
295535,-0.11,0.02,-1.00
295555,-0.10,0.02,-1.00
295575,-0.11,0.02,-1.00
295595,-0.10,0.02,-1.00
295615,-0.10,0.02,-1.00
295635,-0.09,0.03,-1.01
295655,-0.08,0.05,-1.00
295675,-0.07,0.04,-1.00
295695,-0.08,0.04,-1.00
295715,-0.07,0.04,-1.01
295735,-0.07,0.06,-1.00
295755,-0.07,0.05,-1.00
295775,-0.08,0.04,-0.99
295795,-0.09,0.04,-0.98
295815,-0.08,0.04,-1.00
295835,-0.08,0.04,-1.00
295855,-0.04,0.02,-1.10
295875,-0.01,0.15,-1.01
295895,-0.01,0.11,-0.98
295915,0.00,0.13,-0.98
295935,0.00,0.12,-0.99
295955,-0.01,0.10,-1.00
295975,-0.00,0.13,-1.00
295995,0.03,0.12,-0.99
296015,0.02,0.09,-1.00
296035,-0.01,0.14,-0.99
296055,-0.03,0.16,-1.00
296075,-0.02,0.15,-1.00
296095,-0.01,0.14,-0.99
296115,-0.01,0.13,-1.00
296135,-0.01,0.15,-0.99
296155,-0.01,0.15,-1.00
296175,-0.01,0.15,-1.00
296195,-0.01,0.15,-0.99
296215,-0.01,0.14,-1.00
296235,-0.01,0.15,-1.00
296255,-0.01,0.15,-1.00
296275,-0.02,0.15,-1.00
