time_ms,gx,gy,gz
289115,7.87,0.18,4.09
289135,4.39,-0.73,3.85
289155,10.07,-0.06,3.72
289175,-5.31,2.44,0.55
289195,-33.69,3.30,-0.85
289215,-55.73,3.36,-0.55
289235,-48.77,4.46,0.61
289255,-13.92,8.67,1.65
289275,-7.32,9.22,2.56
289295,-7.69,7.45,2.87
289315,-2.99,9.03,2.75
289335,-3.42,10.68,2.81
289355,-3.85,12.02,2.99
289375,0.24,10.56,3.91
289395,-0.37,9.16,2.75
289415,-3.78,8.42,1.10
289435,-3.66,6.41,0.67
289455,-1.04,4.64,0.55
289475,-1.28,3.72,0.12
289495,2.56,1.71,0.49
289515,3.72,-0.55,0.55
289535,-0.67,-0.92,-0.55
289555,0.79,-2.87,-0.85
289575,2.01,-3.30,-0.73
289595,1.71,-3.48,-0.43
289615,-0.31,-4.39,-1.10
289635,0.18,-5.37,-1.59
289655,2.99,-5.98,-1.71
289675,5.00,-6.47,-1.34
289695,6.04,-6.77,-0.37
289715,6.65,-7.69,-0.24
289735,10.19,-8.12,-0.12
289755,20.51,-8.06,-0.49
289775,21.73,-6.04,-0.92
289795,10.44,-3.60,0.37
289815,1.77,-3.05,0.31
289835,-4.39,-2.69,-1.04
289855,-4.76,-1.65,-0.18
289875,-3.60,-1.83,-0.61
289895,0.18,-2.01,-0.92
289915,2.56,-2.20,-1.40
289935,3.54,-2.38,-1.71
289955,7.63,-2.08,-1.95
289975,5.86,-1.71,-2.26
289995,2.44,-0.79,-1.71
290015,1.59,-0.61,-1.89
290035,0.92,-0.12,-1.59
290055,5.13,-0.31,-0.92
290075,12.51,-0.67,-1.04
290095,6.96,-0.24,-0.73
290115,3.11,0.06,-0.12
290135,-3.85,0.31,0.73
290155,-5.00,0.61,1.46
290175,-5.49,1.16,0.98
290195,-6.29,1.10,0.06
290215,-4.39,0.79,-0.31
290235,-5.19,0.85,0.18
290255,-5.07,1.10,0.61
290275,-2.93,0.73,-0.31
290295,-1.53,-0.12,-0.79
290315,-1.53,-0.12,-0.73
290335,-3.23,0.18,0.06
290355,-2.26,0.55,0.85
290375,-8.36,2.14,-1.22
290395,-7.02,3.30,-1.46
290415,-4.52,3.85,-0.49
290435,-4.15,4.46,-0.55
290455,-3.05,6.90,-1.10
290475,0.49,9.09,1.16
290495,2.38,7.51,5.62
290515,4.03,5.86,7.45
290535,5.68,7.39,8.30
290555,5.43,6.90,8.79
290575,1.59,5.86,4.39
290595,1.77,5.31,2.26
290615,2.69,4.70,2.69
290635,2.99,4.09,2.93
290655,5.62,3.42,2.38
290675,6.04,1.53,1.77
290695,10.07,-0.43,1.40
290715,11.54,-0.79,1.10
290735,10.86,-1.16,1.22
290755,11.66,-1.40,1.53
290775,11.41,-0.79,0.61
290795,9.64,1.34,0.79
290815,4.58,3.97,2.01
290835,2.38,6.90,3.17
290855,-0.67,8.61,4.94
290875,-4.03,9.03,6.16
290895,-4.39,8.36,8.61
290915,-2.99,4.70,9.83
290935,-9.70,2.50,3.78
290955,-6.59,0.67,-1.10
290975,-4.03,-1.59,-1.71
290995,-9.95,-0.85,-4.09
291015,-16.72,3.78,-4.46
291035,-21.73,6.29,-2.93
291055,-21.12,6.65,-1.40
291075,-13.61,4.70,-1.83
291095,-3.36,1.22,-2.44
291115,3.05,-3.11,-2.56
291135,8.18,-7.45,-3.60
291155,16.97,-11.05,-4.94
291175,25.15,-14.34,-4.39
291195,28.56,-15.87,-2.81
291215,24.35,-13.18,-2.08
291235,10.13,-6.23,-2.93
291255,-3.97,-0.67,0.00
291275,-13.79,4.09,4.58
291295,-15.01,6.35,6.77
291315,-14.83,7.81,5.49
291335,-13.85,11.17,6.53
291355,-9.46,13.79,9.34
291375,-13.00,13.85,9.03
291395,-13.61,10.80,5.37
291415,-7.20,8.73,3.66
291435,-5.00,4.39,2.44
291455,-4.03,3.91,-0.37
291475,1.71,-0.24,-1.16
291495,6.65,-2.81,0.06
291515,7.63,-1.89,2.99
291535,4.64,-2.14,4.46
291555,3.85,-1.89,2.81
291575,2.99,-1.28,1.28
291595,3.66,-1.10,1.22
291615,3.85,-1.34,1.40
291635,2.75,-0.61,1.46
291655,-0.73,-0.92,1.83
291675,-1.46,-1.83,2.08
291695,-1.04,-2.01,1.46
291715,-0.55,-0.85,0.79
291735,-0.24,-0.12,0.24
291755,-0.85,0.55,-0.06
291775,-2.38,0.73,-0.18
291795,-6.47,2.26,0.00
291815,-9.03,3.48,1.46
291835,-10.13,4.88,2.20
291855,-8.42,3.72,2.08
291875,-5.68,1.28,0.24
291895,0.06,-1.40,-2.87
291915,5.80,-3.85,-5.68
291935,9.16,-4.82,-5.55
291955,7.45,-2.75,-4.52
291975,6.59,-2.56,-5.25
291995,5.68,-3.17,-6.65
292015,6.77,-3.60,-9.40
292035,7.51,-2.99,-9.70
292055,5.80,-1.83,-8.79
292075,5.98,-0.67,-8.61
292095,7.14,-1.46,-8.30
292115,11.96,-1.77,-8.91
292135,11.78,-0.43,-9.03
292155,16.78,-1.53,-5.19
292175,17.52,-2.62,-5.07
292195,16.54,-2.93,-3.11
292215,13.73,-1.04,-1.71
292235,8.79,2.08,-2.08
