time_ms,mx,my,mz
289115,8.00,-18.00,-71.00
289135,0.00,0.00,0.00
289155,0.00,0.00,0.00
289175,0.00,0.00,0.00
289195,0.00,0.00,0.00
289215,4.00,-15.00,-71.00
289235,0.00,0.00,0.00
289255,0.00,0.00,0.00
289275,0.00,0.00,0.00
289295,0.00,0.00,0.00
289315,5.00,-19.00,-70.00
289335,0.00,0.00,0.00
289355,0.00,0.00,0.00
289375,0.00,0.00,0.00
289395,5.00,-18.00,-67.00
289415,0.00,0.00,0.00
289435,0.00,0.00,0.00
289455,0.00,0.00,0.00
289475,0.00,0.00,0.00
289495,5.00,-16.00,-64.00
289515,0.00,0.00,0.00
289535,0.00,0.00,0.00
289555,0.00,0.00,0.00
289575,0.00,0.00,0.00
289595,6.00,-17.00,-67.00
289615,0.00,0.00,0.00
289635,0.00,0.00,0.00
289655,0.00,0.00,0.00
289675,0.00,0.00,0.00
289695,5.00,-17.00,-68.00
289715,0.00,0.00,0.00
289735,0.00,0.00,0.00
289755,0.00,0.00,0.00
289775,0.00,0.00,0.00
289795,7.00,-19.00,-68.00
289815,0.00,0.00,0.00
289835,0.00,0.00,0.00
289855,0.00,0.00,0.00
289875,0.00,0.00,0.00
289895,6.00,-19.00,-71.00
289915,0.00,0.00,0.00
289935,0.00,0.00,0.00
289955,0.00,0.00,0.00
289975,0.00,0.00,0.00
289995,8.00,-18.00,-69.00
290015,0.00,0.00,0.00
290035,0.00,0.00,0.00
290055,0.00,0.00,0.00
290075,0.00,0.00,0.00
290095,8.00,-17.00,-66.00
290115,0.00,0.00,0.00
290135,0.00,0.00,0.00
290155,0.00,0.00,0.00
290175,0.00,0.00,0.00
290195,11.00,-18.00,-72.00
290215,0.00,0.00,0.00
290235,0.00,0.00,0.00
290255,0.00,0.00,0.00
290275,0.00,0.00,0.00
290295,6.00,-18.00,-71.00
290315,0.00,0.00,0.00
290335,0.00,0.00,0.00
290355,0.00,0.00,0.00
290375,0.00,0.00,0.00
290395,8.00,-18.00,-73.00
290415,0.00,0.00,0.00
290435,0.00,0.00,0.00
290455,0.00,0.00,0.00
290475,0.00,0.00,0.00
290495,6.00,-17.00,-71.00
290515,0.00,0.00,0.00
290535,0.00,0.00,0.00
290555,0.00,0.00,0.00
290575,0.00,0.00,0.00
290595,6.00,-18.00,-71.00
290615,0.00,0.00,0.00
290635,0.00,0.00,0.00
290655,0.00,0.00,0.00
290675,0.00,0.00,0.00
290695,9.00,-18.00,-70.00
290715,0.00,0.00,0.00
290735,0.00,0.00,0.00
290755,0.00,0.00,0.00
290775,0.00,0.00,0.00
290795,8.00,-18.00,-67.00
290815,0.00,0.00,0.00
290835,0.00,0.00,0.00
290855,0.00,0.00,0.00
290875,0.00,0.00,0.00
290895,8.00,-16.00,-71.00
290915,0.00,0.00,0.00
290935,0.00,0.00,0.00
290955,0.00,0.00,0.00
290975,0.00,0.00,0.00
290995,9.00,-16.00,-69.00
291015,0.00,0.00,0.00
291035,0.00,0.00,0.00
291055,0.00,0.00,0.00
291075,0.00,0.00,0.00
291095,7.00,-16.00,-66.00
291115,0.00,0.00,0.00
291135,0.00,0.00,0.00
291155,0.00,0.00,0.00
291175,0.00,0.00,0.00
291195,9.00,-17.00,-73.00
291215,0.00,0.00,0.00
291235,0.00,0.00,0.00
291255,0.00,0.00,0.00
291275,0.00,0.00,0.00
291295,8.00,-19.00,-70.00
291315,0.00,0.00,0.00
291335,0.00,0.00,0.00
291355,0.00,0.00,0.00
291375,0.00,0.00,0.00
291395,6.00,-17.00,-69.00
291415,0.00,0.00,0.00
291435,0.00,0.00,0.00
291455,0.00,0.00,0.00
291475,6.00,-18.00,-71.00
291495,0.00,0.00,0.00
291515,0.00,0.00,0.00
291535,0.00,0.00,0.00
291555,0.00,0.00,0.00
291575,4.00,-18.00,-69.00
291595,0.00,0.00,0.00
291615,0.00,0.00,0.00
291635,0.00,0.00,0.00
291655,0.00,0.00,0.00
291675,6.00,-15.00,-74.00
291695,0.00,0.00,0.00
291715,0.00,0.00,0.00
291735,0.00,0.00,0.00
291755,0.00,0.00,0.00
291775,6.00,-18.00,-71.00
291795,0.00,0.00,0.00
291815,0.00,0.00,0.00
291835,0.00,0.00,0.00
291855,0.00,0.00,0.00
291875,6.00,-19.00,-69.00
291895,0.00,0.00,0.00
291915,0.00,0.00,0.00
291935,0.00,0.00,0.00
291955,0.00,0.00,0.00
291975,6.00,-18.00,-69.00
291995,0.00,0.00,0.00
292015,0.00,0.00,0.00
292035,0.00,0.00,0.00
292055,0.00,0.00,0.00
292075,7.00,-18.00,-69.00
292095,0.00,0.00,0.00
292115,0.00,0.00,0.00
292135,0.00,0.00,0.00
292155,0.00,0.00,0.00
292175,8.00,-16.00,-69.00
292195,0.00,0.00,0.00
292215,0.00,0.00,0.00
292235,0.00,0.00,0.00
292255,0.00,0.00,0.00
292275,7.00,-16.00,-71.00
292295,0.00,0.00,0.00
292315,0.00,0.00,0.00
292335,0.00,0.00,0.00
292355,0.00,0.00,0.00
292375,11.00,-17.00,-67.00
292395,0.00,0.00,0.00
292415,0.00,0.00,0.00
292435,0.00,0.00,0.00
292455,0.00,0.00,0.00
292475,10.00,-17.00,-73.00
292495,0.00,0.00,0.00
292515,0.00,0.00,0.00
292535,0.00,0.00,0.00
292555,0.00,0.00,0.00
292575,8.00,-18.00,-71.00
292595,0.00,0.00,0.00
292615,0.00,0.00,0.00
292635,0.00,0.00,0.00
292655,0.00,0.00,0.00
292675,6.00,-18.00,-69.00
292695,0.00,0.00,0.00
292715,0.00,0.00,0.00
292735,0.00,0.00,0.00
292755,0.00,0.00,0.00
292775,7.00,-18.00,-66.00
292795,0.00,0.00,0.00
292815,0.00,0.00,0.00
292835,0.00,0.00,0.00
292855,0.00,0.00,0.00
292875,7.00,-16.00,-70.00
292895,0.00,0.00,0.00
292915,0.00,0.00,0.00
292935,0.00,0.00,0.00
292955,0.00,0.00,0.00
292975,7.00,-17.00,-72.00
292995,0.00,0.00,0.00
293015,0.00,0.00,0.00
293035,0.00,0.00,0.00
293055,0.00,0.00,0.00
293075,5.00,-19.00,-65.00
293095,0.00,0.00,0.00
293115,0.00,0.00,0.00
293135,0.00,0.00,0.00
293155,0.00,0.00,0.00
293175,4.00,-19.00,-75.00
293195,0.00,0.00,0.00
293215,0.00,0.00,0.00
293235,0.00,0.00,0.00
293255,0.00,0.00,0.00
293275,4.00,-18.00,-70.00
293295,0.00,0.00,0.00
293315,0.00,0.00,0.00
293335,0.00,0.00,0.00
293355,0.00,0.00,0.00
293375,4.00,-17.00,-68.00
293395,0.00,0.00,0.00
293415,0.00,0.00,0.00
293435,0.00,0.00,0.00
293455,0.00,0.00,0.00
293475,3.00,-17.00,-69.00
293495,0.00,0.00,0.00
293515,0.00,0.00,0.00
293535,0.00,0.00,0.00
293555,0.00,0.00,0.00
293575,2.00,-19.00,-69.00
293595,0.00,0.00,0.00
293615,0.00,0.00,0.00
293635,0.00,0.00,0.00
293655,4.00,-17.00,-65.00
293675,0.00,0.00,0.00
293695,0.00,0.00,0.00
293715,0.00,0.00,0.00
293735,0.00,0.00,0.00
293755,2.00,-17.00,-67.00
293775,0.00,0.00,0.00
293795,0.00,0.00,0.00
293815,0.00,0.00,0.00
293835,0.00,0.00,0.00
293855,7.00,-17.00,-72.00
293875,0.00,0.00,0.00
293895,0.00,0.00,0.00
293915,0.00,0.00,0.00
293935,0.00,0.00,0.00
293955,5.00,-18.00,-65.00
293975,0.00,0.00,0.00
293995,0.00,0.00,0.00
294015,0.00,0.00,0.00
294035,0.00,0.00,0.00
294055,4.00,-18.00,-70.00
294075,0.00,0.00,0.00
294095,0.00,0.00,0.00
294115,0.00,0.00,0.00
294135,0.00,0.00,0.00
294155,6.00,-20.00,-65.00
294175,0.00,0.00,0.00
294195,0.00,0.00,0.00
294215,0.00,0.00,0.00
294235,0.00,0.00,0.00
294255,4.00,-17.00,-66.00
294275,0.00,0.00,0.00
294295,0.00,0.00,0.00
294315,0.00,0.00,0.00
294335,0.00,0.00,0.00
294355,4.00,-18.00,-64.00
294375,0.00,0.00,0.00
294395,0.00,0.00,0.00
294415,0.00,0.00,0.00
294435,0.00,0.00,0.00
294455,7.00,-19.00,-68.00
294475,0.00,0.00,0.00
294495,0.00,0.00,0.00
294515,0.00,0.00,0.00
294535,0.00,0.00,0.00
294555,3.00,-18.00,-64.00
294575,0.00,0.00,0.00
294595,0.00,0.00,0.00
294615,0.00,0.00,0.00
294635,0.00,0.00,0.00
294655,7.00,-15.00,-69.00
294675,0.00,0.00,0.00
294695,0.00,0.00,0.00
294715,0.00,0.00,0.00
294735,0.00,0.00,0.00
294755,6.00,-15.00,-71.00
294775,0.00,0.00,0.00
294795,0.00,0.00,0.00
294815,0.00,0.00,0.00
294835,0.00,0.00,0.00
294855,4.00,-18.00,-69.00
294875,0.00,0.00,0.00
294895,0.00,0.00,0.00
294915,0.00,0.00,0.00
294935,0.00,0.00,0.00
294955,4.00,-16.00,-64.00
294975,0.00,0.00,0.00
294995,0.00,0.00,0.00
295015,0.00,0.00,0.00
