time_ms,ax,ay,az
550907,-0.01,-0.99,-0.10
550927,-0.01,-0.99,-0.09
550947,-0.02,-0.99,-0.10
550967,-0.02,-0.99,-0.10
550987,-0.01,-0.99,-0.10
551007,-0.01,-0.99,-0.10
551027,-0.02,-0.99,-0.10
551047,-0.02,-0.99,-0.10
551067,-0.01,-0.99,-0.10
551087,-0.01,-0.99,-0.10
551107,-0.01,-0.99,-0.10
551127,-0.01,-0.99,-0.10
551147,-0.01,-0.99,-0.10
551167,-0.02,-0.99,-0.10
551187,-0.01,-0.99,-0.10
551207,-0.01,-0.99,-0.10
551227,-0.02,-0.99,-0.10
551247,-0.01,-0.99,-0.10
551267,-0.01,-0.99,-0.10
551287,-0.01,-0.99,-0.10
551307,-0.01,-0.99,-0.09
551327,-0.01,-0.99,-0.09
551347,-0.00,-0.99,-0.12
551367,-0.02,-0.99,-0.10
551387,-0.02,-0.99,-0.10
551407,-0.02,-0.99,-0.11
551427,-0.02,-0.99,-0.10
551447,-0.01,-0.99,-0.10
551467,-0.01,-0.99,-0.10
551487,-0.01,-0.99,-0.10
551507,-0.01,-0.99,-0.10
551527,-0.01,-0.99,-0.11
551547,-0.01,-0.99,-0.10
551567,-0.02,-0.99,-0.10
551587,-0.01,-0.99,-0.11
551607,-0.01,-0.98,-0.11
551627,-0.01,-0.98,-0.12
551647,-0.02,-1.00,-0.11
551667,-0.02,-1.01,-0.11
551687,0.00,-0.99,-0.11
551707,-0.00,-0.99,-0.11
551727,-0.04,-0.99,-0.09
551747,0.00,-0.99,-0.12
551767,0.00,-0.99,-0.12
551787,-0.01,-0.99,-0.09
551807,-0.00,-0.99,-0.10
551827,-0.00,-0.99,-0.10
551847,-0.01,-0.99,-0.11
551867,-0.01,-0.99,-0.11
551887,-0.01,-0.99,-0.12
551907,-0.01,-0.99,-0.10
551927,-0.01,-0.99,-0.11
551947,-0.01,-0.99,-0.13
551967,0.00,-0.99,-0.10
551987,-0.01,-0.99,-0.09
552007,-0.00,-0.99,-0.11
552027,-0.01,-0.99,-0.07
552047,-0.00,-0.99,-0.06
552067,-0.01,-0.99,-0.12
552087,-0.02,-0.99,0.01
552107,-0.01,-1.00,-0.04
552127,-0.02,-0.99,-0.04
552147,-0.00,-1.00,-0.00
552167,-0.03,-0.99,0.01
552187,-0.03,-0.99,0.06
552207,-0.02,-1.00,0.02
552227,-0.02,-0.99,0.07
552247,-0.01,-0.99,0.09
552267,-0.01,-0.98,0.10
552287,-0.01,-0.98,0.15
552307,-0.01,-0.99,0.11
552327,-0.01,-0.99,0.08
552347,-0.02,-0.99,0.11
552367,-0.02,-0.99,0.12
552387,-0.02,-0.99,0.11
552407,-0.02,-0.99,0.13
552427,-0.02,-0.99,0.13
552447,-0.01,-0.99,0.11
552467,-0.02,-0.99,0.12
552487,-0.02,-0.99,0.12
552507,-0.02,-0.98,0.12
552527,-0.02,-0.99,0.13
552547,-0.02,-0.99,0.11
552567,-0.01,-0.99,0.10
552587,-0.01,-0.99,0.12
552607,-0.01,-0.99,0.08
552627,-0.01,-1.00,0.07
552647,-0.01,-0.99,0.09
552667,-0.02,-0.99,0.06
552687,-0.03,-1.00,0.06
552707,-0.02,-0.99,0.08
552727,-0.02,-0.99,0.08
552747,-0.02,-0.99,0.07
552767,-0.02,-1.00,0.05
552787,-0.01,-0.99,0.07
552807,-0.01,-1.00,0.03
552827,-0.01,-0.99,0.05
552847,-0.01,-0.99,0.06
552867,-0.01,-0.99,0.04
552887,-0.01,-0.99,0.03
552907,-0.01,-1.00,0.01
552927,-0.01,-0.99,0.02
552947,-0.01,-0.99,0.03
552967,-0.02,-1.00,0.00
552987,-0.01,-1.00,0.02
553007,-0.01,-1.00,0.00
553027,-0.01,-1.00,-0.03
553047,-0.01,-1.00,0.01
553067,-0.01,-1.00,-0.01
553087,-0.02,-0.99,0.02
553107,-0.01,-0.99,-0.04
553127,-0.01,-1.00,-0.01
553147,-0.02,-0.99,-0.02
553167,-0.01,-1.00,-0.02
553187,-0.01,-0.99,-0.01
553207,-0.02,-1.00,-0.01
553227,-0.01,-1.00,-0.02
553247,-0.00,-1.00,-0.03
553267,-0.01,-1.00,-0.02
553287,-0.01,-0.99,-0.02
553307,-0.01,-0.99,-0.02
553327,-0.01,-0.99,-0.02
553347,-0.01,-0.99,-0.02
553367,-0.01,-1.00,-0.03
553387,-0.01,-1.00,-0.03
553407,-0.01,-1.00,-0.03
553427,-0.01,-1.00,-0.04
553447,-0.02,-1.00,-0.04
553467,-0.02,-1.00,-0.03
553487,-0.03,-0.99,-0.02
553507,-0.02,-0.99,-0.06
553527,-0.00,-0.99,-0.07
553547,0.00,-1.00,-0.06
553567,0.00,-0.99,-0.06
553587,-0.01,-0.99,-0.06
553607,-0.00,-1.00,-0.06
553627,-0.01,-0.99,-0.06
553647,-0.01,-0.99,-0.06
553667,-0.01,-0.99,-0.06
553687,-0.01,-0.99,-0.06
553707,-0.01,-0.99,-0.07
553727,-0.01,-0.99,-0.06
553747,-0.01,-1.00,-0.07
553767,-0.01,-1.00,-0.07
