time_ms,gx,gy,gz
550907,0.37,-0.79,-0.18
550927,1.22,-1.22,0.18
550947,1.53,0.00,0.79
550967,1.77,0.12,0.61
550987,1.34,0.24,0.37
551007,0.18,0.37,0.24
551027,-1.40,0.43,0.12
551047,-2.14,0.49,-0.31
551067,-1.40,0.31,-0.31
551087,-0.79,0.12,-0.12
551107,0.18,0.06,0.06
551127,1.16,-0.12,0.18
551147,1.16,-0.12,0.31
551167,0.79,0.00,0.49
551187,0.92,0.18,0.55
551207,-0.37,0.31,0.18
551227,-2.32,0.43,-0.18
551247,-2.62,0.55,-0.37
551267,-1.53,0.49,-0.37
551287,-1.71,0.37,-0.12
551307,0.43,0.12,0.24
551327,3.91,-0.31,1.53
551347,6.23,-0.67,2.32
551367,2.20,-2.50,0.92
551387,0.61,-1.40,0.55
551407,-0.85,0.18,0.37
551427,-1.53,0.37,0.06
551447,-0.92,0.31,0.12
551467,-0.49,0.12,0.49
551487,0.18,-0.73,0.43
551507,2.81,-1.71,0.92
551527,3.48,-2.14,0.79
551547,1.46,-3.05,0.49
551567,1.83,-1.95,0.92
551587,5.31,-1.16,1.53
551607,3.85,-0.98,1.77
551627,2.44,-1.83,1.77
551647,4.39,-2.62,2.08
551667,3.91,-0.98,0.49
551687,-6.59,1.40,-3.97
551707,-12.70,3.17,-3.97
551727,-8.91,3.30,-2.62
551747,0.00,3.85,-0.85
551767,0.18,2.44,-0.31
551787,-3.42,0.43,-0.06
551807,-4.15,1.16,-0.37
551827,-2.14,0.67,0.31
551847,2.50,-0.49,1.71
551867,5.37,-1.28,1.83
551887,3.48,-0.85,1.71
551907,-2.62,-2.32,0.31
551927,-6.04,-0.24,-0.79
551947,-8.61,-3.05,-1.40
551967,-16.36,-7.51,-1.83
551987,-20.08,-7.87,-2.50
552007,-20.14,-7.14,-2.08
552027,-25.76,-11.84,-2.62
552047,-23.01,-11.78,-2.38
552067,-33.69,-13.79,-2.75
552087,-43.09,-24.72,-2.56
552107,-35.03,-16.72,-1.34
552127,-28.87,-20.57,-1.10
552147,-27.04,-23.38,-0.79
552167,-44.13,-22.46,-0.85
552187,-47.97,-18.86,0.18
552207,-64.03,-10.93,0.31
552227,-64.51,-13.49,-0.12
