time_ms,mx,my,mz
550907,0.00,0.00,0.00
550927,0.00,0.00,0.00
550947,0.00,0.00,0.00
550967,0.00,0.00,0.00
550987,-14.00,-21.00,-5.00
551007,0.00,0.00,0.00
551027,0.00,0.00,0.00
551047,0.00,0.00,0.00
551067,0.00,0.00,0.00
551087,-15.00,-22.00,-9.00
551107,0.00,0.00,0.00
551127,0.00,0.00,0.00
551147,0.00,0.00,0.00
551167,0.00,0.00,0.00
551187,-15.00,-21.00,-8.00
551207,0.00,0.00,0.00
551227,0.00,0.00,0.00
551247,0.00,0.00,0.00
551267,0.00,0.00,0.00
551287,-15.00,-21.00,-7.00
551307,0.00,0.00,0.00
551327,0.00,0.00,0.00
551347,0.00,0.00,0.00
551367,0.00,0.00,0.00
551387,-15.00,-22.00,-6.00
551407,0.00,0.00,0.00
551427,0.00,0.00,0.00
551447,0.00,0.00,0.00
551467,0.00,0.00,0.00
551487,-15.00,-22.00,-6.00
551507,0.00,0.00,0.00
551527,0.00,0.00,0.00
551547,0.00,0.00,0.00
551567,0.00,0.00,0.00
551587,-12.00,-22.00,-10.00
551607,0.00,0.00,0.00
551627,0.00,0.00,0.00
551647,0.00,0.00,0.00
551667,0.00,0.00,0.00
551687,-13.00,-22.00,-9.00
551707,0.00,0.00,0.00
551727,0.00,0.00,0.00
551747,0.00,0.00,0.00
551767,0.00,0.00,0.00
551787,-15.00,-22.00,-9.00
551807,0.00,0.00,0.00
551827,0.00,0.00,0.00
551847,0.00,0.00,0.00
551867,0.00,0.00,0.00
551887,-17.00,-22.00,-4.00
551907,0.00,0.00,0.00
551927,0.00,0.00,0.00
551947,0.00,0.00,0.00
551967,0.00,0.00,0.00
551987,-14.00,-23.00,-1.00
552007,0.00,0.00,0.00
552027,0.00,0.00,0.00
552047,0.00,0.00,0.00
552067,0.00,0.00,0.00
552087,-14.00,-20.00,-5.00
552107,0.00,0.00,0.00
552127,0.00,0.00,0.00
552147,0.00,0.00,0.00
552167,-11.00,-20.00,-4.00
552187,0.00,0.00,0.00
552207,0.00,0.00,0.00
552227,0.00,0.00,0.00
552247,0.00,0.00,0.00
552267,-10.00,-17.00,-3.00
552287,0.00,0.00,0.00
552307,0.00,0.00,0.00
552327,0.00,0.00,0.00
552347,0.00,0.00,0.00
552367,-9.00,-18.00,0.00
552387,0.00,0.00,0.00
552407,0.00,0.00,0.00
552427,0.00,0.00,0.00
552447,0.00,0.00,0.00
552467,-10.00,-21.00,-3.00
552487,0.00,0.00,0.00
552507,0.00,0.00,0.00
552527,0.00,0.00,0.00
552547,0.00,0.00,0.00
552567,-11.00,-18.00,0.00
552587,0.00,0.00,0.00
552607,0.00,0.00,0.00
552627,0.00,0.00,0.00
552647,0.00,0.00,0.00
552667,-10.00,-19.00,1.00
552687,0.00,0.00,0.00
552707,0.00,0.00,0.00
552727,0.00,0.00,0.00
552747,0.00,0.00,0.00
552767,-14.00,-21.00,0.00
552787,0.00,0.00,0.00
552807,0.00,0.00,0.00
552827,0.00,0.00,0.00
552847,0.00,0.00,0.00
552867,-15.00,-18.00,-2.00
552887,0.00,0.00,0.00
552907,0.00,0.00,0.00
552927,0.00,0.00,0.00
552947,0.00,0.00,0.00
552967,-13.00,-21.00,-3.00
552987,0.00,0.00,0.00
553007,0.00,0.00,0.00
553027,0.00,0.00,0.00
553047,0.00,0.00,0.00
553067,-15.00,-21.00,-8.00
553087,0.00,0.00,0.00
553107,0.00,0.00,0.00
553127,0.00,0.00,0.00
553147,0.00,0.00,0.00
553167,-15.00,-19.00,1.00
553187,0.00,0.00,0.00
553207,0.00,0.00,0.00
553227,0.00,0.00,0.00
553247,0.00,0.00,0.00
553267,-13.00,-21.00,-5.00
553287,0.00,0.00,0.00
553307,0.00,0.00,0.00
553327,0.00,0.00,0.00
553347,0.00,0.00,0.00
553367,-13.00,-20.00,-3.00
553387,0.00,0.00,0.00
553407,0.00,0.00,0.00
553427,0.00,0.00,0.00
553447,0.00,0.00,0.00
553467,-15.00,-22.00,-9.00
553487,0.00,0.00,0.00
553507,0.00,0.00,0.00
553527,0.00,0.00,0.00
553547,0.00,0.00,0.00
553567,-13.00,-21.00,-3.00
553587,0.00,0.00,0.00
553607,0.00,0.00,0.00
553627,0.00,0.00,0.00
553647,0.00,0.00,0.00
553667,-15.00,-21.00,-3.00
553687,0.00,0.00,0.00
553707,0.00,0.00,0.00
553727,0.00,0.00,0.00
553747,0.00,0.00,0.00
553767,-14.00,-20.00,-7.00
553787,0.00,0.00,0.00
553807,0.00,0.00,0.00
553827,0.00,0.00,0.00
553847,0.00,0.00,0.00
553867,-13.00,-22.00,-10.00
553887,0.00,0.00,0.00
553907,0.00,0.00,0.00
553927,0.00,0.00,0.00
553947,0.00,0.00,0.00
553967,-13.00,-21.00,-10.00
553987,0.00,0.00,0.00
554007,0.00,0.00,0.00
554027,0.00,0.00,0.00
554047,0.00,0.00,0.00
554067,-14.00,-22.00,-2.00
554087,0.00,0.00,0.00
554107,0.00,0.00,0.00
554127,0.00,0.00,0.00
554147,0.00,0.00,0.00
554167,-16.00,-20.00,-9.00
554187,0.00,0.00,0.00
554207,0.00,0.00,0.00
554227,0.00,0.00,0.00
554247,-15.00,-19.00,-6.00
554267,0.00,0.00,0.00
554287,0.00,0.00,0.00
554307,0.00,0.00,0.00
554327,0.00,0.00,0.00
554347,-14.00,-20.00,-9.00
554367,0.00,0.00,0.00
554387,0.00,0.00,0.00
554407,0.00,0.00,0.00
554427,0.00,0.00,0.00
554447,-15.00,-22.00,-8.00
554467,0.00,0.00,0.00
554487,0.00,0.00,0.00
554507,0.00,0.00,0.00
554527,0.00,0.00,0.00
554547,-11.00,-21.00,-6.00
554567,0.00,0.00,0.00
554587,0.00,0.00,0.00
554607,0.00,0.00,0.00
554627,0.00,0.00,0.00
554647,-14.00,-22.00,-5.00
554667,0.00,0.00,0.00
554687,0.00,0.00,0.00
554707,0.00,0.00,0.00
554727,0.00,0.00,0.00
554747,-14.00,-20.00,-7.00
554767,0.00,0.00,0.00
554787,0.00,0.00,0.00
554807,0.00,0.00,0.00
554827,0.00,0.00,0.00
554847,-13.00,-22.00,-4.00
554867,0.00,0.00,0.00
554887,0.00,0.00,0.00
554907,0.00,0.00,0.00
554927,0.00,0.00,0.00
554947,-16.00,-21.00,-10.00
554967,0.00,0.00,0.00
554987,0.00,0.00,0.00
555007,0.00,0.00,0.00
555027,0.00,0.00,0.00
555047,-15.00,-20.00,-11.00
555067,0.00,0.00,0.00
555087,0.00,0.00,0.00
555107,0.00,0.00,0.00
555127,0.00,0.00,0.00
555147,-15.00,-20.00,-7.00
555167,0.00,0.00,0.00
555187,0.00,0.00,0.00
555207,0.00,0.00,0.00
555227,0.00,0.00,0.00
555247,-16.00,-24.00,-15.00
555267,0.00,0.00,0.00
555287,0.00,0.00,0.00
555307,0.00,0.00,0.00
555327,0.00,0.00,0.00
555347,-13.00,-23.00,-10.00
555367,0.00,0.00,0.00
555387,0.00,0.00,0.00
555407,0.00,0.00,0.00
555427,0.00,0.00,0.00
555447,-15.00,-22.00,-11.00
555467,0.00,0.00,0.00
555487,0.00,0.00,0.00
555507,0.00,0.00,0.00
555527,0.00,0.00,0.00
555547,-15.00,-22.00,-6.00
555567,0.00,0.00,0.00
555587,0.00,0.00,0.00
555607,0.00,0.00,0.00
555627,0.00,0.00,0.00
555647,-17.00,-22.00,-3.00
555667,0.00,0.00,0.00
555687,0.00,0.00,0.00
555707,0.00,0.00,0.00
555727,0.00,0.00,0.00
555747,-13.00,-21.00,-5.00
555767,0.00,0.00,0.00
555787,0.00,0.00,0.00
555807,0.00,0.00,0.00
555827,0.00,0.00,0.00
555847,-14.00,-20.00,-8.00
555867,0.00,0.00,0.00
555887,0.00,0.00,0.00
555907,0.00,0.00,0.00
555927,0.00,0.00,0.00
555947,-14.00,-22.00,-10.00
555967,0.00,0.00,0.00
555987,0.00,0.00,0.00
556007,0.00,0.00,0.00
556027,0.00,0.00,0.00
556047,-15.00,-21.00,-6.00
556067,0.00,0.00,0.00
556087,0.00,0.00,0.00
556107,0.00,0.00,0.00
556127,0.00,0.00,0.00
556147,-16.00,-21.00,-9.00
556167,0.00,0.00,0.00
556187,0.00,0.00,0.00
556207,0.00,0.00,0.00
556227,0.00,0.00,0.00
556247,-13.00,-21.00,-6.00
556267,0.00,0.00,0.00
556287,0.00,0.00,0.00
556307,0.00,0.00,0.00
556327,0.00,0.00,0.00
556347,-15.00,-21.00,-12.00
556367,0.00,0.00,0.00
556387,0.00,0.00,0.00
556407,0.00,0.00,0.00
556427,-15.00,-20.00,-9.00
556447,0.00,0.00,0.00
556467,0.00,0.00,0.00
556487,0.00,0.00,0.00
556507,0.00,0.00,0.00
556527,-16.00,-25.00,-5.00
556547,0.00,0.00,0.00
556567,0.00,0.00,0.00
556587,0.00,0.00,0.00
556607,0.00,0.00,0.00
556627,-14.00,-20.00,-3.00
556647,0.00,0.00,0.00
556667,0.00,0.00,0.00
556687,0.00,0.00,0.00
556707,0.00,0.00,0.00
556727,-13.00,-19.00,-12.00
556747,0.00,0.00,0.00
556767,0.00,0.00,0.00
556787,0.00,0.00,0.00
556807,0.00,0.00,0.00
556827,-16.00,-21.00,-10.00
556847,0.00,0.00,0.00
556867,0.00,0.00,0.00
556887,0.00,0.00,0.00
556907,0.00,0.00,0.00
556927,-16.00,-19.00,-14.00
556947,0.00,0.00,0.00
556967,0.00,0.00,0.00
556987,0.00,0.00,0.00
557007,0.00,0.00,0.00
557027,-14.00,-19.00,-9.00
557047,0.00,0.00,0.00
557067,0.00,0.00,0.00
557087,0.00,0.00,0.00
557107,0.00,0.00,0.00
557127,-14.00,-22.00,-5.00
557147,0.00,0.00,0.00
557167,0.00,0.00,0.00
557187,0.00,0.00,0.00
557207,0.00,0.00,0.00
557227,-17.00,-21.00,-5.00
557247,0.00,0.00,0.00
557267,0.00,0.00,0.00
557287,0.00,0.00,0.00
557307,0.00,0.00,0.00
557327,-14.00,-24.00,-5.00
557347,0.00,0.00,0.00
557367,0.00,0.00,0.00
557387,0.00,0.00,0.00
557407,0.00,0.00,0.00
557427,-16.00,-21.00,-10.00
557447,0.00,0.00,0.00
557467,0.00,0.00,0.00
557487,0.00,0.00,0.00
557507,0.00,0.00,0.00
557527,-16.00,-20.00,-11.00
557547,0.00,0.00,0.00
557567,0.00,0.00,0.00
557587,0.00,0.00,0.00
557607,0.00,0.00,0.00
557627,-16.00,-22.00,-8.00
557647,0.00,0.00,0.00
557667,0.00,0.00,0.00
557687,0.00,0.00,0.00
557707,0.00,0.00,0.00
557727,-16.00,-21.00,-6.00
557747,0.00,0.00,0.00
557767,0.00,0.00,0.00
557787,0.00,0.00,0.00
557807,0.00,0.00,0.00
557827,-14.00,-21.00,-10.00
557847,0.00,0.00,0.00
557867,0.00,0.00,0.00
557887,0.00,0.00,0.00
557907,0.00,0.00,0.00
557927,-15.00,-22.00,-7.00
557947,0.00,0.00,0.00
557967,0.00,0.00,0.00
557987,0.00,0.00,0.00
558007,0.00,0.00,0.00
558027,-15.00,-21.00,-12.00
558047,0.00,0.00,0.00
558067,0.00,0.00,0.00
558087,0.00,0.00,0.00
558107,0.00,0.00,0.00
558127,-16.00,-21.00,-7.00
558147,0.00,0.00,0.00
558167,0.00,0.00,0.00
558187,0.00,0.00,0.00
558207,0.00,0.00,0.00
558227,-17.00,-23.00,-12.00
558247,0.00,0.00,0.00
558267,0.00,0.00,0.00
558287,0.00,0.00,0.00
558307,0.00,0.00,0.00
558327,-14.00,-22.00,-12.00
558347,0.00,0.00,0.00
558367,0.00,0.00,0.00
558387,0.00,0.00,0.00
558407,0.00,0.00,0.00
558427,-16.00,-19.00,-6.00
558447,0.00,0.00,0.00
558467,0.00,0.00,0.00
558487,0.00,0.00,0.00
558507,-14.00,-21.00,-10.00
558527,0.00,0.00,0.00
558547,0.00,0.00,0.00
558567,0.00,0.00,0.00
558587,0.00,0.00,0.00
558607,-16.00,-19.00,-10.00
558627,0.00,0.00,0.00
558647,0.00,0.00,0.00
558667,0.00,0.00,0.00
558687,0.00,0.00,0.00
558707,-15.00,-20.00,-10.00
558727,0.00,0.00,0.00
558747,0.00,0.00,0.00
558767,0.00,0.00,0.00
558787,0.00,0.00,0.00
558807,-12.00,-20.00,-9.00
558827,0.00,0.00,0.00
558847,0.00,0.00,0.00
558867,0.00,0.00,0.00
558887,0.00,0.00,0.00
558907,-19.00,-22.00,-8.00
558927,0.00,0.00,0.00
558947,0.00,0.00,0.00
558967,0.00,0.00,0.00
558987,0.00,0.00,0.00
559007,-17.00,-22.00,-9.00
559027,0.00,0.00,0.00
559047,0.00,0.00,0.00
559067,0.00,0.00,0.00
559087,0.00,0.00,0.00
559107,-16.00,-22.00,-14.00
559127,0.00,0.00,0.00
559147,0.00,0.00,0.00
559167,0.00,0.00,0.00
559187,0.00,0.00,0.00
559207,-16.00,-19.00,-11.00
559227,0.00,0.00,0.00
559247,0.00,0.00,0.00
559267,0.00,0.00,0.00
559287,0.00,0.00,0.00
559307,-16.00,-21.00,-14.00
559327,0.00,0.00,0.00
559347,0.00,0.00,0.00
559367,0.00,0.00,0.00
559387,0.00,0.00,0.00
559407,-17.00,-22.00,-11.00
559427,0.00,0.00,0.00
559447,0.00,0.00,0.00
559467,0.00,0.00,0.00
559487,0.00,0.00,0.00
559507,-14.00,-22.00,-16.00
559527,0.00,0.00,0.00
559547,0.00,0.00,0.00
559567,0.00,0.00,0.00
559587,0.00,0.00,0.00
559607,-15.00,-22.00,-6.00
559627,0.00,0.00,0.00
559647,0.00,0.00,0.00
559667,0.00,0.00,0.00
559687,0.00,0.00,0.00
