time_ms,ax,ay,az
673947,0.96,-0.12,-0.27
673967,0.97,-0.11,-0.27
673987,0.98,-0.08,-0.27
674007,0.95,-0.13,-0.32
674027,0.94,-0.18,-0.27
674047,0.96,-0.13,-0.26
674067,0.97,-0.13,-0.23
674087,0.96,-0.13,-0.25
674107,0.96,-0.13,-0.25
674127,0.96,-0.14,-0.27
674147,0.96,-0.12,-0.30
674167,0.96,-0.10,-0.30
674187,0.96,-0.10,-0.32
674207,0.95,-0.10,-0.34
674227,0.95,-0.11,-0.32
674247,0.97,-0.09,-0.27
674267,0.98,-0.09,-0.23
674287,0.97,-0.12,-0.23
674307,0.95,-0.15,-0.25
674327,0.95,-0.14,-0.26
674347,0.96,-0.14,-0.29
674367,0.96,-0.11,-0.28
674387,0.97,-0.10,-0.27
674407,0.96,-0.10,-0.28
674427,0.97,-0.09,-0.24
674447,0.97,-0.10,-0.23
674467,0.96,-0.12,-0.25
674487,0.96,-0.12,-0.25
674507,0.96,-0.10,-0.24
674527,0.97,-0.10,-0.25
674547,0.97,-0.10,-0.25
674567,0.96,-0.10,-0.22
674587,0.97,-0.10,-0.22
674607,0.97,-0.10,-0.23
674627,0.97,-0.11,-0.23
674647,0.96,-0.11,-0.23
674667,0.97,-0.10,-0.25
674687,0.98,-0.10,-0.25
674707,0.97,-0.07,-0.24
674727,0.97,-0.08,-0.27
674747,0.96,-0.08,-0.37
674767,0.93,-0.13,-0.31
674787,0.94,-0.08,-0.22
674807,0.96,-0.06,-0.28
674827,0.97,-0.11,-0.35
674847,0.99,-0.05,-0.35
674867,0.96,-0.04,-0.23
674887,0.98,-0.08,-0.28
674907,0.96,-0.04,-0.27
674927,0.94,-0.12,-0.23
674947,0.95,-0.07,-0.30
674967,0.97,-0.05,-0.31
674987,0.98,-0.03,-0.29
675007,0.96,-0.04,-0.26
675027,0.94,-0.09,-0.32
675047,0.95,-0.08,-0.33
675067,0.98,-0.04,-0.27
675087,0.97,-0.05,-0.28
675107,0.97,-0.06,-0.25
675127,0.98,-0.04,-0.19
675147,0.99,-0.02,-0.23
675167,0.96,-0.03,-0.20
675187,0.95,-0.09,-0.18
675207,0.99,-0.02,-0.23
675227,1.02,0.04,-0.27
675247,0.98,-0.01,-0.24
675267,0.96,-0.07,-0.24
675287,0.98,-0.03,-0.28
675307,1.00,-0.10,-0.25
675327,0.98,-0.14,-0.20
675347,0.98,-0.14,-0.19
675367,0.98,-0.14,-0.18
675387,0.98,-0.10,-0.21
675407,0.98,-0.11,-0.20
675427,0.98,-0.12,-0.17
675447,0.99,-0.12,-0.17
675467,1.01,-0.08,-0.13
675487,1.01,-0.08,-0.12
675507,0.99,-0.09,-0.11
675527,0.99,-0.11,-0.10
675547,0.98,-0.14,-0.09
675567,0.98,-0.11,-0.05
675587,0.99,-0.11,-0.03
675607,0.99,-0.12,-0.02
675627,1.00,-0.10,0.00
675647,1.01,-0.10,-0.05
675667,1.01,-0.06,-0.02
675687,0.99,-0.07,-0.05
675707,1.01,-0.09,-0.12
675727,1.00,-0.09,-0.11
675747,0.99,-0.11,-0.09
675767,1.00,-0.12,-0.13
675787,0.99,-0.09,-0.10
675807,1.02,-0.08,-0.13
675827,0.99,-0.08,-0.12
675847,0.98,-0.10,-0.09
675867,1.02,-0.08,-0.15
675887,1.02,-0.05,-0.03
675907,0.98,-0.05,0.00
675927,1.01,-0.11,-0.12
675947,1.01,-0.13,-0.14
675967,0.99,-0.12,-0.03
675987,0.99,-0.07,-0.03
676007,0.99,-0.07,-0.02
676027,0.98,-0.07,0.01
676047,1.03,-0.04,-0.03
676067,1.04,-0.01,-0.04
676087,0.96,-0.07,0.01
676107,0.94,-0.09,0.01
676127,1.00,-0.04,0.03
676147,1.10,0.01,-0.05
676167,1.09,-0.12,-0.19
676187,0.97,-0.17,-0.14
676207,0.92,-0.24,-0.16
676227,0.96,-0.23,-0.23
676247,1.00,-0.18,-0.14
676267,1.01,-0.12,-0.09
676287,1.00,-0.04,0.00
676307,0.97,-0.04,0.02
676327,0.98,-0.14,-0.08
676347,1.04,-0.05,-0.03
676367,1.04,0.01,0.01
676387,1.01,0.06,0.10
676407,0.98,0.02,0.06
