time_ms,gx,gy,gz
673947,7.14,3.85,0.06
673967,5.37,2.20,0.37
673987,5.92,3.72,-2.75
674007,0.31,0.67,-6.29
674027,-0.85,1.04,-1.71
674047,-3.23,1.22,0.79
674067,-4.27,3.11,-0.37
674087,-3.78,5.00,0.67
674107,-5.00,4.94,0.61
674127,-2.01,5.62,3.11
674147,-2.01,3.72,3.60
674167,-3.05,1.95,1.95
674187,-2.50,1.16,0.98
674207,0.67,-2.56,2.44
674227,2.08,-7.75,3.85
674247,1.22,-10.56,3.60
674267,0.79,-7.57,-0.18
674287,2.56,-3.36,-3.23
674307,6.47,-1.95,-0.67
674327,6.71,-2.44,1.71
674347,5.98,-2.93,3.91
674367,1.40,-4.70,4.21
674387,-0.55,-4.58,3.23
674407,-1.10,-6.65,3.48
674427,-0.67,-7.45,2.69
674447,0.55,-4.46,1.10
674467,0.85,-2.87,1.34
674487,2.44,-3.30,3.97
674507,2.56,-2.87,3.78
674527,2.32,-0.79,3.60
674547,3.23,-2.81,3.60
674567,3.05,-1.28,3.66
674587,2.14,1.46,3.17
674607,1.04,2.87,2.44
674627,-0.55,5.49,1.46
674647,2.56,8.73,4.03
674667,4.76,10.31,4.46
674687,7.93,12.51,5.43
674707,8.12,15.62,3.42
674727,9.64,20.63,2.20
674747,2.75,13.61,-0.49
674767,-3.66,2.56,1.77
674787,1.65,7.87,7.20
674807,3.48,10.74,4.70
674827,6.59,4.64,8.12
674847,6.41,-6.23,9.22
674867,1.40,-6.65,-0.73
674887,12.27,-5.25,1.65
674907,7.93,-11.78,-1.53
674927,10.07,-4.58,3.05
674947,16.30,-3.60,10.31
674967,13.49,-5.92,9.28
674987,10.93,-8.91,8.24
675007,11.05,-5.98,4.88
675027,9.95,-1.53,2.87
675047,10.31,-8.85,9.22
675067,5.86,-13.55,11.96
675087,0.06,-13.73,9.22
675107,-4.03,-18.25,8.30
675127,-5.49,-16.11,6.84
675147,-8.67,-12.70,3.72
675167,-15.75,-15.62,-1.65
675187,-20.75,-10.62,-3.78
675207,-16.11,-1.71,5.19
675227,-23.07,-2.38,1.34
675247,-34.48,-9.28,-10.93
675267,-44.68,-9.28,-15.56
675287,-52.43,-10.13,-13.79
675307,-64.76,-19.47,-20.63
675327,-56.82,-23.19,-18.19
675347,-43.27,-19.78,-11.66
675367,-32.17,-16.30,-6.41
675387,-24.90,-15.14,-1.71
675407,-24.78,-22.58,-0.55
675427,-29.48,-27.16,0.43
675447,-30.46,-27.40,1.71
675467,-20.94,-30.70,4.64
675487,-12.57,-30.94,2.44
675507,-8.54,-30.52,1.40
675527,-10.50,-29.05,0.67
675547,-9.77,-27.10,1.46
675567,-8.06,-24.35,5.62
675587,-6.71,-18.43,6.23
675607,-2.44,-10.50,8.12
675627,4.52,-2.69,9.58
675647,12.63,5.98,9.40
675667,18.31,7.51,8.91
675687,15.08,13.92,1.95
675707,10.68,14.04,-1.40
675727,6.35,4.70,-0.73
675747,1.28,1.16,-2.75
675767,2.08,1.46,-0.24
675787,2.08,-2.87,1.46
675807,5.37,-3.97,2.69
675827,4.39,-9.52,2.32
675847,2.32,-11.23,2.20
675867,4.88,-11.11,5.43
675887,6.77,-26.00,9.83
675907,7.51,-17.40,3.66
675927,6.77,-3.91,-1.53
675947,2.08,-12.45,0.92
675967,-1.65,-21.67,5.00
675987,2.26,-16.36,8.91
676007,5.49,-16.78,10.80
676027,9.58,-17.76,13.49
676047,11.60,-11.84,14.10
676067,11.90,-9.83,9.70
676087,10.74,-10.50,3.23
676107,13.18,-6.29,6.41
676127,15.38,-1.04,9.52
676147,16.85,7.63,2.44
676167,18.86,2.62,-7.63
676187,16.85,-11.60,-5.25
676207,6.23,-1.65,-6.71
676227,-0.43,4.76,0.24
676247,-6.96,-3.60,7.20
676267,-8.91,-5.43,10.86
676287,-8.48,-7.08,11.17
676307,-8.97,7.08,-0.73
676327,-14.77,15.44,-6.35
676347,-14.71,4.82,6.65
676367,-15.26,-2.69,10.93
676387,-16.05,-5.62,6.47
676407,-16.48,2.75,-2.01
676427,-15.87,1.04,0.18
676447,-14.22,-4.03,10.13
676467,-13.79,-4.58,10.25
676487,-10.50,-5.13,8.61
676507,-7.51,-3.48,7.08
676527,-3.60,-7.39,9.16
676547,3.78,-12.15,10.31
676567,7.75,-0.18,-2.99
676587,10.56,14.34,-14.95
676607,15.32,16.17,-13.61
676627,18.43,13.37,-7.14
676647,21.73,9.89,-0.55
676667,27.04,9.28,2.99
676687,33.75,8.97,9.52
676707,31.49,3.60,11.29
676727,26.00,1.83,10.01
676747,20.87,4.46,6.59
676767,8.18,6.16,-1.22
676787,-0.55,6.84,-5.19
676807,-3.30,9.09,-6.59
676827,-10.01,8.36,-10.13
676847,-11.23,7.08,-8.24
676867,-6.59,4.70,-2.14
676887,-6.71,3.17,-0.43
676907,-11.78,2.69,-1.89
676927,-11.54,0.12,-0.12
676947,-6.59,0.24,2.56
676967,-0.43,0.49,4.33
676987,0.92,1.04,3.36
677007,-8.06,-0.55,-2.14
677027,-12.33,-0.55,-8.30
677047,-3.48,1.16,-6.71
677067,-2.56,1.28,-9.40
677087,-0.49,3.36,-10.62
677107,1.34,4.33,-8.00
677127,-2.26,4.64,-9.52
677147,-5.80,3.17,-10.07
677167,-7.32,0.85,-8.00
677187,-9.09,-2.62,-5.37
677207,-7.45,-4.03,-2.14
677227,-8.06,-3.36,-2.81
677247,-8.18,-0.73,-2.93
677267,-5.98,-0.31,-0.43
677287,-4.76,0.43,0.00
677307,-5.86,-0.92,1.28
677327,-10.50,-1.46,2.08
677347,-10.01,5.07,2.75
677367,-7.81,3.97,-0.49
677387,-6.23,4.27,-5.31
677407,-7.69,4.21,-5.80
677427,-6.41,4.03,-4.09
677447,-4.33,2.20,-5.25
677467,-5.74,1.34,-6.84
677487,-3.91,0.61,-5.00
677507,-3.42,3.17,-9.70
677527,-0.18,6.16,-10.01
677547,1.71,3.11,-8.36
677567,2.38,0.43,-6.29
677587,1.83,1.71,-4.94
677607,1.04,1.28,-1.77
677627,-4.21,-3.23,-2.26
677647,-6.41,-5.49,-1.34
677667,-7.45,-6.29,-0.85
677687,-9.52,-7.39,-3.78
677707,-5.31,-4.88,-0.37
677727,-2.26,-1.83,1.34
677747,-0.61,-3.05,1.34
677767,-1.40,-0.31,-1.04
677787,-2.14,-0.79,0.49
677807,-5.55,-0.49,1.04
677827,-6.59,-0.67,0.18
677847,-4.27,2.14,-0.92
677867,0.31,5.31,1.28
677887,3.60,4.46,1.89
677907,2.20,6.59,-0.31
677927,0.85,7.69,-0.18
677947,2.14,7.08,0.55
677967,0.92,3.78,1.16
677987,-0.73,0.92,3.91
678007,-0.18,-0.55,8.36
678027,1.04,-2.99,9.58
678047,-3.11,-8.61,4.09
678067,-1.16,-5.31,3.23
678087,3.36,-2.75,5.31
678107,2.56,-2.99,3.97
678127,4.03,1.71,2.26
678147,5.80,3.48,0.24
678167,6.65,2.32,-1.10
678187,8.24,2.50,-1.46
678207,7.08,2.56,-1.95
678227,4.15,2.01,-0.61
678247,3.05,-1.22,3.66
678267,-0.31,-4.21,3.60
678287,-2.20,-4.64,2.20
678307,-2.56,-2.81,0.61
678327,-4.39,-0.43,-3.42
678347,-4.58,1.95,-6.41
678367,-1.77,4.52,-5.92
678387,-0.24,5.68,-7.02
678407,0.92,5.80,-6.71
678427,-1.22,4.52,-6.84
678447,-2.50,3.66,-6.23
678467,-2.08,5.00,-5.68
678487,-4.64,4.82,-6.90
678507,-3.66,5.80,-5.25
678527,-1.89,6.71,-4.09
678547,-1.71,6.04,-4.46
678567,-0.24,4.76,-0.67
678587,-0.61,3.78,0.55
678607,0.98,4.15,0.61
678627,5.31,3.30,1.53
