time_ms,mx,my,mz
673947,0.00,0.00,0.00
673967,0.00,0.00,0.00
673987,0.00,0.00,0.00
674007,0.00,0.00,0.00
674027,5.00,-59.00,-34.00
674047,0.00,0.00,0.00
674067,0.00,0.00,0.00
674087,0.00,0.00,0.00
674107,0.00,0.00,0.00
674127,4.00,-58.00,-34.00
674147,0.00,0.00,0.00
674167,0.00,0.00,0.00
674187,0.00,0.00,0.00
674207,6.00,-59.00,-38.00
674227,0.00,0.00,0.00
674247,0.00,0.00,0.00
674267,0.00,0.00,0.00
674287,0.00,0.00,0.00
674307,6.00,-58.00,-35.00
674327,0.00,0.00,0.00
674347,0.00,0.00,0.00
674367,0.00,0.00,0.00
674387,0.00,0.00,0.00
674407,5.00,-61.00,-37.00
674427,0.00,0.00,0.00
674447,0.00,0.00,0.00
674467,0.00,0.00,0.00
674487,0.00,0.00,0.00
674507,3.00,-58.00,-34.00
674527,0.00,0.00,0.00
674547,0.00,0.00,0.00
674567,0.00,0.00,0.00
674587,0.00,0.00,0.00
674607,4.00,-59.00,-35.00
674627,0.00,0.00,0.00
674647,0.00,0.00,0.00
674667,0.00,0.00,0.00
674687,0.00,0.00,0.00
674707,3.00,-60.00,-38.00
674727,0.00,0.00,0.00
674747,0.00,0.00,0.00
674767,0.00,0.00,0.00
674787,0.00,0.00,0.00
674807,6.00,-60.00,-34.00
674827,0.00,0.00,0.00
674847,0.00,0.00,0.00
674867,0.00,0.00,0.00
674887,0.00,0.00,0.00
674907,7.00,-57.00,-38.00
674927,0.00,0.00,0.00
674947,0.00,0.00,0.00
674967,0.00,0.00,0.00
674987,0.00,0.00,0.00
675007,10.00,-58.00,-35.00
675027,0.00,0.00,0.00
675047,0.00,0.00,0.00
675067,0.00,0.00,0.00
675087,0.00,0.00,0.00
675107,8.00,-58.00,-32.00
675127,0.00,0.00,0.00
675147,0.00,0.00,0.00
675167,0.00,0.00,0.00
675187,0.00,0.00,0.00
675207,7.00,-60.00,-35.00
675227,0.00,0.00,0.00
675247,0.00,0.00,0.00
675267,0.00,0.00,0.00
675287,0.00,0.00,0.00
675307,8.00,-60.00,-32.00
675327,0.00,0.00,0.00
675347,0.00,0.00,0.00
675367,0.00,0.00,0.00
675387,0.00,0.00,0.00
675407,7.00,-61.00,-32.00
675427,0.00,0.00,0.00
675447,0.00,0.00,0.00
675467,0.00,0.00,0.00
675487,0.00,0.00,0.00
675507,4.00,-60.00,-24.00
675527,0.00,0.00,0.00
675547,0.00,0.00,0.00
675567,0.00,0.00,0.00
675587,0.00,0.00,0.00
675607,3.00,-60.00,-25.00
675627,0.00,0.00,0.00
675647,0.00,0.00,0.00
675667,0.00,0.00,0.00
675687,0.00,0.00,0.00
675707,6.00,-60.00,-25.00
675727,0.00,0.00,0.00
675747,0.00,0.00,0.00
675767,0.00,0.00,0.00
675787,0.00,0.00,0.00
675807,5.00,-59.00,-25.00
675827,0.00,0.00,0.00
675847,0.00,0.00,0.00
675867,0.00,0.00,0.00
675887,0.00,0.00,0.00
675907,4.00,-59.00,-25.00
675927,0.00,0.00,0.00
675947,0.00,0.00,0.00
675967,0.00,0.00,0.00
675987,0.00,0.00,0.00
676007,6.00,-59.00,-27.00
676027,0.00,0.00,0.00
676047,0.00,0.00,0.00
676067,0.00,0.00,0.00
676087,0.00,0.00,0.00
676107,9.00,-60.00,-25.00
676127,0.00,0.00,0.00
676147,0.00,0.00,0.00
676167,0.00,0.00,0.00
676187,0.00,0.00,0.00
676207,7.00,-61.00,-23.00
676227,0.00,0.00,0.00
676247,0.00,0.00,0.00
676267,0.00,0.00,0.00
676287,5.00,-63.00,-21.00
676307,0.00,0.00,0.00
676327,0.00,0.00,0.00
676347,0.00,0.00,0.00
676367,0.00,0.00,0.00
676387,8.00,-61.00,-22.00
676407,0.00,0.00,0.00
676427,0.00,0.00,0.00
676447,0.00,0.00,0.00
676467,0.00,0.00,0.00
676487,6.00,-61.00,-29.00
676507,0.00,0.00,0.00
676527,0.00,0.00,0.00
676547,0.00,0.00,0.00
676567,0.00,0.00,0.00
676587,6.00,-63.00,-27.00
676607,0.00,0.00,0.00
676627,0.00,0.00,0.00
676647,0.00,0.00,0.00
676667,0.00,0.00,0.00
676687,7.00,-59.00,-27.00
676707,0.00,0.00,0.00
676727,0.00,0.00,0.00
676747,0.00,0.00,0.00
676767,0.00,0.00,0.00
676787,8.00,-60.00,-27.00
676807,0.00,0.00,0.00
676827,0.00,0.00,0.00
676847,0.00,0.00,0.00
676867,0.00,0.00,0.00
676887,7.00,-64.00,-25.00
676907,0.00,0.00,0.00
676927,0.00,0.00,0.00
676947,0.00,0.00,0.00
676967,0.00,0.00,0.00
676987,5.00,-60.00,-24.00
677007,0.00,0.00,0.00
677027,0.00,0.00,0.00
677047,0.00,0.00,0.00
677067,0.00,0.00,0.00
677087,7.00,-64.00,-24.00
677107,0.00,0.00,0.00
677127,0.00,0.00,0.00
677147,0.00,0.00,0.00
677167,0.00,0.00,0.00
677187,7.00,-61.00,-26.00
677207,0.00,0.00,0.00
677227,0.00,0.00,0.00
677247,0.00,0.00,0.00
677267,0.00,0.00,0.00
677287,5.00,-62.00,-30.00
677307,0.00,0.00,0.00
677327,0.00,0.00,0.00
677347,0.00,0.00,0.00
677367,0.00,0.00,0.00
677387,4.00,-62.00,-25.00
677407,0.00,0.00,0.00
677427,0.00,0.00,0.00
677447,0.00,0.00,0.00
677467,0.00,0.00,0.00
677487,5.00,-61.00,-29.00
677507,0.00,0.00,0.00
677527,0.00,0.00,0.00
677547,0.00,0.00,0.00
677567,0.00,0.00,0.00
677587,5.00,-61.00,-29.00
677607,0.00,0.00,0.00
677627,0.00,0.00,0.00
677647,0.00,0.00,0.00
677667,0.00,0.00,0.00
677687,4.00,-62.00,-27.00
677707,0.00,0.00,0.00
677727,0.00,0.00,0.00
677747,0.00,0.00,0.00
677767,0.00,0.00,0.00
677787,4.00,-61.00,-22.00
677807,0.00,0.00,0.00
677827,0.00,0.00,0.00
677847,0.00,0.00,0.00
677867,0.00,0.00,0.00
677887,2.00,-61.00,-29.00
677907,0.00,0.00,0.00
677927,0.00,0.00,0.00
677947,0.00,0.00,0.00
677967,0.00,0.00,0.00
677987,4.00,-61.00,-25.00
678007,0.00,0.00,0.00
678027,0.00,0.00,0.00
678047,0.00,0.00,0.00
678067,0.00,0.00,0.00
678087,5.00,-61.00,-24.00
678107,0.00,0.00,0.00
678127,0.00,0.00,0.00
678147,0.00,0.00,0.00
678167,0.00,0.00,0.00
678187,4.00,-60.00,-28.00
678207,0.00,0.00,0.00
678227,0.00,0.00,0.00
678247,0.00,0.00,0.00
678267,0.00,0.00,0.00
678287,7.00,-61.00,-28.00
678307,0.00,0.00,0.00
678327,0.00,0.00,0.00
678347,0.00,0.00,0.00
678367,6.00,-61.00,-29.00
678387,0.00,0.00,0.00
678407,0.00,0.00,0.00
678427,0.00,0.00,0.00
678447,0.00,0.00,0.00
