time_ms,ax,ay,az
837147,-0.97,-0.02,-0.08
837167,-0.98,-0.02,-0.09
837187,-0.98,-0.02,-0.09
837207,-0.98,-0.02,-0.09
837227,-0.97,-0.01,-0.09
837247,-0.98,-0.01,-0.08
837267,-0.98,-0.01,-0.08
837287,-0.97,-0.01,-0.08
837307,-0.98,-0.01,-0.08
837327,-0.98,-0.01,-0.08
837347,-0.98,-0.01,-0.08
837367,-0.98,-0.02,-0.08
837387,-0.98,-0.02,-0.08
837407,-0.98,-0.02,-0.08
837427,-0.98,-0.02,-0.08
837447,-0.98,-0.02,-0.08
837467,-0.98,-0.02,-0.08
837487,-0.98,-0.02,-0.08
837507,-0.98,-0.02,-0.08
837527,-0.98,-0.02,-0.08
837547,-0.98,-0.03,-0.07
837567,-0.98,-0.03,-0.07
837587,-0.98,-0.03,-0.06
837607,-0.98,-0.03,-0.06
837627,-0.98,-0.03,-0.06
837647,-0.98,-0.03,-0.06
837667,-0.98,-0.03,-0.06
837687,-0.98,-0.03,-0.05
837707,-0.98,-0.03,-0.06
837727,-0.98,-0.03,-0.06
837747,-0.98,-0.03,-0.06
837767,-0.98,-0.03,-0.06
837787,-0.98,-0.03,-0.05
837807,-0.98,-0.04,-0.05
837827,-0.98,-0.03,-0.06
837847,-0.98,-0.03,-0.06
837867,-0.98,-0.03,-0.06
837887,-0.98,-0.03,-0.06
837907,-0.98,-0.03,-0.06
837927,-0.98,-0.03,-0.06
837947,-0.98,-0.03,-0.06
837967,-0.98,-0.03,-0.06
837987,-0.98,-0.03,-0.06
838007,-0.98,-0.03,-0.06
838027,-0.98,-0.03,-0.06
838047,-0.98,-0.04,-0.06
838067,-0.98,-0.04,-0.06
838087,-0.98,-0.04,-0.06
838107,-0.98,-0.04,-0.06
838127,-0.98,-0.04,-0.06
838147,-0.98,-0.03,-0.06
838167,-0.98,-0.03,-0.06
838187,-0.98,-0.03,-0.06
838207,-0.98,-0.03,-0.06
838227,-0.98,-0.03,-0.06
838247,-0.98,-0.03,-0.06
838267,-0.98,-0.04,-0.06
838287,-0.98,-0.04,-0.06
838307,-0.98,-0.04,-0.05
838327,-0.98,-0.04,-0.05
838347,-0.98,-0.04,-0.05
838367,-0.98,-0.03,-0.05
838387,-0.98,-0.03,-0.05
838407,-0.98,-0.03,-0.05
838427,-0.98,-0.03,-0.06
838447,-0.98,-0.03,-0.06
838467,-0.98,-0.04,-0.07
838487,-0.98,-0.04,-0.07
838507,-0.98,-0.04,-0.07
838527,-0.98,-0.04,-0.07
838547,-0.98,-0.04,-0.07
838567,-0.98,-0.04,-0.07
838587,-0.98,-0.03,-0.07
838607,-0.98,-0.03,-0.07
838627,-0.98,-0.04,-0.06
838647,-0.98,-0.04,-0.06
838667,-0.98,-0.04,-0.06
838687,-0.98,-0.04,-0.06
838707,-0.98,-0.04,-0.05
838727,-0.98,-0.04,-0.05
838747,-0.98,-0.04,-0.05
838767,-0.98,-0.05,-0.05
838787,-0.98,-0.05,-0.06
838807,-0.98,-0.05,-0.06
838827,-0.98,-0.06,-0.06
838847,-0.98,-0.06,-0.07
838867,-0.98,-0.06,-0.06
838887,-0.97,-0.06,-0.06
838907,-0.98,-0.05,-0.06
838927,-0.98,-0.05,-0.06
838947,-0.98,-0.04,-0.06
838967,-0.98,-0.03,-0.06
838987,-0.97,-0.03,-0.06
839007,-0.98,-0.04,-0.07
839027,-0.98,-0.04,-0.06
839047,-0.98,-0.04,-0.06
839067,-0.98,-0.05,-0.06
839087,-0.98,-0.05,-0.06
839107,-0.97,-0.05,-0.05
839127,-0.98,-0.05,-0.06
839147,-0.98,-0.05,-0.06
839167,-0.98,-0.04,-0.06
839187,-0.97,-0.04,-0.06
839207,-0.98,-0.04,-0.06
839227,-0.98,-0.04,-0.06
839247,-0.98,-0.04,-0.06
839267,-0.97,-0.04,-0.06
839287,-0.98,-0.04,-0.06
839307,-0.97,-0.04,-0.06
839327,-0.98,-0.04,-0.06
839347,-0.98,-0.04,-0.05
839367,-0.97,-0.04,-0.05
839387,-0.98,-0.04,-0.05
839407,-0.98,-0.04,-0.06
839427,-0.98,-0.04,-0.06
839447,-0.98,-0.04,-0.06
839467,-0.98,-0.05,-0.06
839487,-0.98,-0.05,-0.05
839507,-0.98,-0.04,-0.05
839527,-0.98,-0.04,-0.05
839547,-0.98,-0.04,-0.05
839567,-0.97,-0.04,-0.05
839587,-0.98,-0.04,-0.06
839607,-0.98,-0.04,-0.06
839627,-0.98,-0.04,-0.06
