time_ms,gx,gy,gz
837147,-1.40,-0.06,0.92
837167,-4.82,-1.10,-0.92
837187,-4.39,-1.34,-2.08
837207,-4.46,0.55,-2.75
837227,-5.74,2.93,-3.11
837247,-4.39,4.27,-3.11
837267,-2.20,4.15,-2.69
837287,-1.16,3.17,-1.34
837307,-0.85,1.53,0.31
837327,1.10,0.49,2.01
837347,3.42,0.06,3.48
837367,4.39,0.43,4.39
837387,4.64,1.59,4.88
837407,5.31,2.38,4.70
837427,4.94,2.81,4.15
837447,3.48,3.11,3.11
837467,2.69,3.05,2.50
837487,2.56,3.54,2.38
837507,2.26,4.88,2.50
837527,2.56,6.71,2.81
837547,1.89,8.06,2.99
837567,1.34,8.61,2.93
837587,0.92,8.00,2.75
837607,0.37,6.77,2.62
837627,0.55,5.00,2.14
837647,0.43,3.72,1.71
837667,-0.92,3.30,1.71
837687,-1.89,2.93,1.71
837707,-1.46,1.59,1.28
837727,-0.06,1.04,0.98
837747,0.55,1.34,0.73
837767,0.31,1.40,0.37
837787,-0.49,0.73,0.00
837807,-1.53,-0.31,-0.67
837827,-2.81,-1.10,-1.28
837847,-2.69,-1.53,-1.53
837867,-1.65,-1.65,-1.28
837887,0.37,-1.59,-0.79
837907,0.85,-1.77,-0.67
837927,-0.79,-1.16,-0.37
837947,-1.10,-1.16,0.00
837967,1.34,-0.55,0.92
837987,3.17,0.43,2.01
838007,3.72,1.04,2.75
838027,3.30,0.49,2.93
838047,1.71,-0.18,2.26
838067,-1.53,-0.67,1.28
838087,-3.85,-0.79,0.49
838107,-5.13,-0.67,-0.37
838127,-5.49,-0.61,-1.10
838147,-5.19,0.18,-1.46
838167,-4.58,1.10,-1.34
838187,-3.11,1.65,-0.67
838207,-2.01,2.32,0.18
838227,-0.92,2.75,1.22
838247,-0.79,2.75,1.83
838267,-0.85,2.50,1.77
838287,-0.24,2.01,1.40
838307,0.73,1.28,0.92
838327,0.79,0.24,-0.06
838347,0.37,-0.85,-0.92
838367,-0.31,-1.89,-1.10
838387,-0.43,-2.93,-0.79
838407,-1.16,-4.58,-0.61
838427,-2.32,-5.62,0.18
838447,-3.23,-5.31,1.34
838467,-3.97,-4.94,1.71
838487,-2.62,-4.21,1.34
838507,-2.01,-2.62,0.85
838527,-1.95,-0.79,0.37
838547,-0.92,0.43,-0.06
838567,-0.18,1.40,-0.31
838587,0.24,3.54,0.24
838607,1.59,5.49,1.10
838627,5.68,6.10,1.53
838647,8.48,5.74,1.77
838667,9.95,5.49,2.14
838687,11.29,5.19,2.81
838707,11.35,4.21,4.03
838727,8.48,2.20,5.19
838747,3.78,-0.31,6.23
838767,0.85,-3.17,6.59
838787,1.71,-4.52,6.23
838807,1.53,-3.85,5.74
838827,-0.37,-2.32,4.15
838847,-1.10,-0.73,1.34
838867,-1.59,0.12,-2.50
838887,-3.91,0.31,-5.86
838907,-5.43,0.00,-7.81
838927,-5.49,-0.49,-7.87
838947,-5.55,-0.79,-6.53
838967,-4.58,-0.67,-4.27
838987,-1.95,-0.79,-1.71
839007,2.20,0.18,0.92
839027,4.52,1.83,3.23
839047,3.36,2.69,4.09
839067,3.48,3.36,2.99
839087,3.48,3.48,0.67
839107,1.34,2.01,-0.92
839127,-0.85,0.43,-1.59
839147,-0.73,0.06,-1.71
839167,-2.62,-0.49,-1.95
839187,-3.97,-1.04,-2.32
839207,-2.38,-1.16,-1.95
839227,-0.06,-0.31,-0.43
839247,-0.85,1.53,0.73
839267,-1.04,3.30,0.24
839287,-0.49,3.11,-1.22
839307,-1.28,2.56,-1.71
839327,-2.44,2.08,-0.98
839347,-1.04,1.22,-0.06
839367,-0.92,0.24,0.55
839387,-1.59,-0.12,0.79
839407,-0.12,-0.06,1.46
839427,1.04,0.37,2.38
839447,1.10,1.65,2.69
839467,0.31,2.50,1.10
839487,-0.37,1.89,-1.22
839507,-0.92,0.73,-2.08
839527,-1.10,0.06,-1.22
839547,-1.59,-0.55,0.12
839567,-1.53,-1.28,0.73
839587,-0.49,-1.71,0.85
839607,1.65,-0.49,1.71
839627,0.73,0.55,2.69
839647,0.37,1.89,2.08
839667,-0.18,2.56,0.00
839687,-1.83,1.65,-2.20
839707,-3.23,0.00,-3.05
839727,-3.05,-1.40,-2.38
839747,-3.23,-2.26,-1.40
839767,-4.27,-2.32,-0.92
839787,-1.71,-2.01,-0.43
839807,0.61,-1.04,0.92
839827,-0.06,1.04,2.14
839847,1.59,2.75,1.71
839867,1.89,2.93,-0.06
839887,0.85,2.38,-1.04
839907,-0.92,1.04,-0.98
839927,-1.04,-0.55,-0.73
839947,-1.77,-1.59,-0.92
839967,-2.14,-2.14,-0.92
839987,-0.49,-2.32,-0.73
840007,-0.92,-1.77,0.00
840027,-1.22,-0.73,0.12
840047,-0.85,0.31,-0.85
840067,-1.28,1.16,-1.65
840087,-1.40,1.10,-1.71
840107,-0.43,0.73,-0.98
840127,-0.31,0.67,-0.24
840147,-0.98,0.06,0.00
840167,0.12,-0.55,0.00
840187,-0.12,-0.49,1.04
840207,-0.31,0.61,1.83
840227,0.67,1.83,1.04
840247,0.31,2.14,-0.55
840267,-0.31,2.01,-1.16
840287,-0.12,0.98,-0.85
840307,-0.92,-0.12,-0.37
840327,-2.75,-1.28,-0.37
840347,-0.98,-2.01,-0.43
840367,0.37,-1.16,0.67
840387,-0.12,1.16,1.83
840407,0.79,3.48,1.65
840427,1.83,3.97,0.06
840447,1.04,2.87,-1.10
840467,-0.37,1.28,-0.85
840487,-1.22,-0.79,-0.43
840507,-2.08,-2.44,0.00
840527,-1.71,-2.87,0.24
840547,1.04,-1.04,1.40
840567,1.16,1.34,2.62
840587,1.10,2.99,2.26
840607,1.89,3.60,0.31
840627,0.61,3.11,-1.59
840647,-1.77,1.89,-2.20
840667,-2.26,0.24,-1.59
840687,-2.81,-1.95,-0.85
840707,-3.66,-3.66,-0.61
840727,-2.01,-3.60,0.12
840747,0.12,-1.59,1.83
840767,1.22,1.22,2.99
840787,2.38,3.17,2.26
840807,2.14,4.27,0.18
840827,0.18,4.33,-1.34
840847,-1.71,2.44,-1.83
840867,-2.44,-0.79,-1.71
840887,-3.30,-3.30,-1.22
840907,-3.23,-4.09,-0.73
840927,-2.81,-3.30,0.31
840947,-0.43,-0.31,2.08
840967,1.83,3.23,2.62
840987,3.42,5.13,1.53
841007,3.05,5.92,-0.31
841027,1.16,5.80,-1.04
841047,-1.28,4.39,-0.73
841067,-1.77,3.42,-0.43
841087,-1.16,1.53,0.31
841107,-0.37,0.24,0.92
841127,0.24,0.18,1.34
841147,0.67,0.79,1.59
841167,0.73,1.34,1.46
841187,0.55,1.95,1.22
841207,0.73,2.14,0.61
841227,-0.12,1.83,-0.06
841247,-0.92,2.26,-0.12
841267,-1.10,2.56,0.49
841287,-0.85,2.14,0.43
841307,-0.18,1.53,0.18
841327,-0.79,1.28,-0.31
841347,-1.89,1.77,-0.37
841367,-1.10,2.14,-0.49
841387,-0.18,2.32,-0.12
841407,-0.49,2.26,0.24
841427,0.55,2.44,0.79
841447,1.28,2.50,1.28
841467,1.34,2.56,1.53
841487,1.34,3.17,1.46
841507,1.16,3.36,1.10
841527,0.79,3.23,0.49
841547,0.18,3.05,0.18
841567,-0.92,2.01,-0.12
841587,-1.34,0.61,-0.18
841607,-1.40,-0.92,-0.43
841627,-0.79,-1.89,-0.37
841647,-1.10,-2.14,0.31
841667,-1.16,-2.14,1.10
841687,0.49,-1.53,1.46
841707,1.53,-0.79,1.83
841727,1.40,-0.61,2.56
841747,1.10,-1.77,2.62
841767,0.00,-4.15,1.95
841787,-3.42,-5.62,1.28
841807,-5.49,-5.92,0.37
841827,-5.62,-5.74,-0.61
841847,-5.74,-4.21,-1.46
841867,-5.25,-2.20,-2.38
841887,-4.64,-0.67,-3.11
841907,-4.58,0.49,-2.99
841927,-4.27,1.77,-2.38
841947,-2.38,2.87,-1.46
841967,0.06,4.09,0.12
841987,2.69,5.92,2.20
842007,5.74,7.63,4.03
842027,7.87,8.91,5.13
842047,8.36,9.40,5.43
842067,8.24,8.36,4.82
842087,7.32,6.77,4.27
842107,5.43,4.76,3.60
