time_ms,mx,my,mz
837147,47.00,23.00,-38.00
837167,0.00,0.00,0.00
837187,0.00,0.00,0.00
837207,0.00,0.00,0.00
837227,0.00,0.00,0.00
837247,52.00,25.00,-38.00
837267,0.00,0.00,0.00
837287,0.00,0.00,0.00
837307,0.00,0.00,0.00
837327,0.00,0.00,0.00
837347,50.00,23.00,-36.00
837367,0.00,0.00,0.00
837387,0.00,0.00,0.00
837407,0.00,0.00,0.00
837427,0.00,0.00,0.00
837447,48.00,22.00,-39.00
837467,0.00,0.00,0.00
837487,0.00,0.00,0.00
837507,0.00,0.00,0.00
837527,0.00,0.00,0.00
837547,51.00,21.00,-36.00
837567,0.00,0.00,0.00
837587,0.00,0.00,0.00
837607,0.00,0.00,0.00
837627,0.00,0.00,0.00
837647,48.00,22.00,-36.00
837667,0.00,0.00,0.00
837687,0.00,0.00,0.00
837707,0.00,0.00,0.00
837727,0.00,0.00,0.00
837747,49.00,23.00,-38.00
837767,0.00,0.00,0.00
837787,0.00,0.00,0.00
837807,0.00,0.00,0.00
837827,0.00,0.00,0.00
837847,50.00,22.00,-32.00
837867,0.00,0.00,0.00
837887,0.00,0.00,0.00
837907,0.00,0.00,0.00
837927,0.00,0.00,0.00
837947,49.00,22.00,-34.00
837967,0.00,0.00,0.00
837987,0.00,0.00,0.00
838007,0.00,0.00,0.00
838027,0.00,0.00,0.00
838047,49.00,22.00,-38.00
838067,0.00,0.00,0.00
838087,0.00,0.00,0.00
838107,0.00,0.00,0.00
838127,0.00,0.00,0.00
838147,49.00,23.00,-38.00
838167,0.00,0.00,0.00
838187,0.00,0.00,0.00
838207,0.00,0.00,0.00
838227,0.00,0.00,0.00
838247,45.00,22.00,-33.00
838267,0.00,0.00,0.00
838287,0.00,0.00,0.00
838307,0.00,0.00,0.00
838327,0.00,0.00,0.00
838347,48.00,22.00,-33.00
838367,0.00,0.00,0.00
838387,0.00,0.00,0.00
838407,0.00,0.00,0.00
838427,51.00,21.00,-38.00
838447,0.00,0.00,0.00
838467,0.00,0.00,0.00
838487,0.00,0.00,0.00
838507,0.00,0.00,0.00
838527,47.00,23.00,-38.00
838547,0.00,0.00,0.00
838567,0.00,0.00,0.00
838587,0.00,0.00,0.00
838607,0.00,0.00,0.00
838627,49.00,19.00,-35.00
838647,0.00,0.00,0.00
838667,0.00,0.00,0.00
838687,0.00,0.00,0.00
838707,0.00,0.00,0.00
838727,50.00,22.00,-37.00
838747,0.00,0.00,0.00
838767,0.00,0.00,0.00
838787,0.00,0.00,0.00
838807,0.00,0.00,0.00
838827,49.00,23.00,-33.00
838847,0.00,0.00,0.00
838867,0.00,0.00,0.00
838887,0.00,0.00,0.00
838907,0.00,0.00,0.00
838927,47.00,22.00,-37.00
838947,0.00,0.00,0.00
838967,0.00,0.00,0.00
838987,0.00,0.00,0.00
839007,0.00,0.00,0.00
839027,50.00,24.00,-37.00
839047,0.00,0.00,0.00
839067,0.00,0.00,0.00
839087,0.00,0.00,0.00
839107,0.00,0.00,0.00
839127,45.00,23.00,-36.00
839147,0.00,0.00,0.00
839167,0.00,0.00,0.00
839187,0.00,0.00,0.00
839207,0.00,0.00,0.00
839227,47.00,23.00,-39.00
839247,0.00,0.00,0.00
839267,0.00,0.00,0.00
839287,0.00,0.00,0.00
839307,0.00,0.00,0.00
839327,48.00,22.00,-38.00
839347,0.00,0.00,0.00
839367,0.00,0.00,0.00
839387,0.00,0.00,0.00
839407,0.00,0.00,0.00
839427,49.00,23.00,-29.00
839447,0.00,0.00,0.00
839467,0.00,0.00,0.00
839487,0.00,0.00,0.00
839507,0.00,0.00,0.00
839527,48.00,25.00,-33.00
839547,0.00,0.00,0.00
839567,0.00,0.00,0.00
839587,0.00,0.00,0.00
839607,0.00,0.00,0.00
839627,45.00,23.00,-38.00
839647,0.00,0.00,0.00
839667,0.00,0.00,0.00
839687,0.00,0.00,0.00
839707,0.00,0.00,0.00
839727,48.00,24.00,-31.00
839747,0.00,0.00,0.00
839767,0.00,0.00,0.00
839787,0.00,0.00,0.00
839807,0.00,0.00,0.00
839827,47.00,21.00,-36.00
839847,0.00,0.00,0.00
839867,0.00,0.00,0.00
839887,0.00,0.00,0.00
839907,0.00,0.00,0.00
839927,47.00,22.00,-36.00
839947,0.00,0.00,0.00
839967,0.00,0.00,0.00
839987,0.00,0.00,0.00
840007,0.00,0.00,0.00
840027,50.00,23.00,-39.00
840047,0.00,0.00,0.00
840067,0.00,0.00,0.00
840087,0.00,0.00,0.00
840107,0.00,0.00,0.00
840127,49.00,23.00,-38.00
840147,0.00,0.00,0.00
840167,0.00,0.00,0.00
840187,0.00,0.00,0.00
840207,0.00,0.00,0.00
840227,49.00,20.00,-38.00
840247,0.00,0.00,0.00
840267,0.00,0.00,0.00
840287,0.00,0.00,0.00
840307,0.00,0.00,0.00
840327,46.00,22.00,-32.00
840347,0.00,0.00,0.00
840367,0.00,0.00,0.00
840387,0.00,0.00,0.00
840407,0.00,0.00,0.00
840427,48.00,22.00,-36.00
840447,0.00,0.00,0.00
840467,0.00,0.00,0.00
840487,0.00,0.00,0.00
840507,48.00,25.00,-35.00
840527,0.00,0.00,0.00
840547,0.00,0.00,0.00
840567,0.00,0.00,0.00
840587,0.00,0.00,0.00
840607,48.00,24.00,-39.00
840627,0.00,0.00,0.00
840647,0.00,0.00,0.00
840667,0.00,0.00,0.00
840687,0.00,0.00,0.00
840707,48.00,22.00,-37.00
840727,0.00,0.00,0.00
840747,0.00,0.00,0.00
840767,0.00,0.00,0.00
840787,0.00,0.00,0.00
840807,50.00,21.00,-40.00
840827,0.00,0.00,0.00
840847,0.00,0.00,0.00
840867,0.00,0.00,0.00
840887,0.00,0.00,0.00
840907,47.00,23.00,-37.00
840927,0.00,0.00,0.00
840947,0.00,0.00,0.00
840967,0.00,0.00,0.00
840987,0.00,0.00,0.00
841007,49.00,22.00,-37.00
841027,0.00,0.00,0.00
841047,0.00,0.00,0.00
841067,0.00,0.00,0.00
841087,0.00,0.00,0.00
841107,48.00,21.00,-35.00
841127,0.00,0.00,0.00
841147,0.00,0.00,0.00
841167,0.00,0.00,0.00
841187,0.00,0.00,0.00
841207,49.00,18.00,-30.00
841227,0.00,0.00,0.00
841247,0.00,0.00,0.00
841267,0.00,0.00,0.00
841287,0.00,0.00,0.00
841307,46.00,23.00,-38.00
841327,0.00,0.00,0.00
841347,0.00,0.00,0.00
841367,0.00,0.00,0.00
841387,0.00,0.00,0.00
841407,49.00,21.00,-39.00
841427,0.00,0.00,0.00
841447,0.00,0.00,0.00
841467,0.00,0.00,0.00
841487,0.00,0.00,0.00
841507,48.00,23.00,-33.00
841527,0.00,0.00,0.00
841547,0.00,0.00,0.00
841567,0.00,0.00,0.00
841587,0.00,0.00,0.00
841607,47.00,22.00,-34.00
841627,0.00,0.00,0.00
841647,0.00,0.00,0.00
841667,0.00,0.00,0.00
841687,0.00,0.00,0.00
841707,45.00,23.00,-36.00
841727,0.00,0.00,0.00
841747,0.00,0.00,0.00
841767,0.00,0.00,0.00
841787,0.00,0.00,0.00
841807,46.00,24.00,-35.00
841827,0.00,0.00,0.00
841847,0.00,0.00,0.00
841867,0.00,0.00,0.00
841887,0.00,0.00,0.00
841907,48.00,21.00,-36.00
841927,0.00,0.00,0.00
841947,0.00,0.00,0.00
841967,0.00,0.00,0.00
841987,0.00,0.00,0.00
842007,49.00,24.00,-37.00
842027,0.00,0.00,0.00
842047,0.00,0.00,0.00
842067,0.00,0.00,0.00
842087,0.00,0.00,0.00
842107,48.00,22.00,-35.00
842127,0.00,0.00,0.00
842147,0.00,0.00,0.00
842167,0.00,0.00,0.00
842187,0.00,0.00,0.00
842207,46.00,22.00,-31.00
842227,0.00,0.00,0.00
842247,0.00,0.00,0.00
842267,0.00,0.00,0.00
842287,0.00,0.00,0.00
842307,48.00,22.00,-34.00
842327,0.00,0.00,0.00
842347,0.00,0.00,0.00
842367,0.00,0.00,0.00
842387,0.00,0.00,0.00
842407,46.00,24.00,-34.00
842427,0.00,0.00,0.00
842447,0.00,0.00,0.00
842467,0.00,0.00,0.00
842487,0.00,0.00,0.00
842507,49.00,23.00,-34.00
842527,0.00,0.00,0.00
842547,0.00,0.00,0.00
842567,0.00,0.00,0.00
842587,48.00,23.00,-35.00
842607,0.00,0.00,0.00
842627,0.00,0.00,0.00
842647,0.00,0.00,0.00
842667,0.00,0.00,0.00
842687,47.00,20.00,-38.00
842707,0.00,0.00,0.00
842727,0.00,0.00,0.00
842747,0.00,0.00,0.00
842767,0.00,0.00,0.00
842787,48.00,21.00,-40.00
842807,0.00,0.00,0.00
842827,0.00,0.00,0.00
842847,0.00,0.00,0.00
842867,0.00,0.00,0.00
842887,53.00,19.00,-39.00
842907,0.00,0.00,0.00
842927,0.00,0.00,0.00
842947,0.00,0.00,0.00
842967,0.00,0.00,0.00
842987,52.00,19.00,-42.00
843007,0.00,0.00,0.00
843027,0.00,0.00,0.00
843047,0.00,0.00,0.00
843067,0.00,0.00,0.00
843087,51.00,20.00,-37.00
843107,0.00,0.00,0.00
843127,0.00,0.00,0.00
843147,0.00,0.00,0.00
843167,0.00,0.00,0.00
843187,49.00,20.00,-39.00
843207,0.00,0.00,0.00
843227,0.00,0.00,0.00
843247,0.00,0.00,0.00
843267,0.00,0.00,0.00
843287,52.00,22.00,-34.00
843307,0.00,0.00,0.00
843327,0.00,0.00,0.00
843347,0.00,0.00,0.00
843367,0.00,0.00,0.00
843387,50.00,20.00,-31.00
843407,0.00,0.00,0.00
843427,0.00,0.00,0.00
843447,0.00,0.00,0.00
843467,0.00,0.00,0.00
843487,49.00,21.00,-34.00
843507,0.00,0.00,0.00
843527,0.00,0.00,0.00
843547,0.00,0.00,0.00
843567,0.00,0.00,0.00
843587,49.00,24.00,-38.00
843607,0.00,0.00,0.00
843627,0.00,0.00,0.00
843647,0.00,0.00,0.00
843667,0.00,0.00,0.00
843687,49.00,22.00,-38.00
843707,0.00,0.00,0.00
843727,0.00,0.00,0.00
843747,0.00,0.00,0.00
843767,0.00,0.00,0.00
843787,51.00,22.00,-34.00
843807,0.00,0.00,0.00
843827,0.00,0.00,0.00
843847,0.00,0.00,0.00
843867,0.00,0.00,0.00
843887,47.00,20.00,-30.00
843907,0.00,0.00,0.00
843927,0.00,0.00,0.00
843947,0.00,0.00,0.00
843967,0.00,0.00,0.00
843987,48.00,22.00,-39.00
844007,0.00,0.00,0.00
844027,0.00,0.00,0.00
844047,0.00,0.00,0.00
844067,0.00,0.00,0.00
844087,51.00,23.00,-36.00
844107,0.00,0.00,0.00
844127,0.00,0.00,0.00
844147,0.00,0.00,0.00
844167,0.00,0.00,0.00
844187,49.00,23.00,-40.00
844207,0.00,0.00,0.00
844227,0.00,0.00,0.00
844247,0.00,0.00,0.00
844267,0.00,0.00,0.00
844287,48.00,22.00,-39.00
844307,0.00,0.00,0.00
844327,0.00,0.00,0.00
844347,0.00,0.00,0.00
844367,0.00,0.00,0.00
844387,50.00,22.00,-36.00
844407,0.00,0.00,0.00
844427,0.00,0.00,0.00
844447,0.00,0.00,0.00
844467,0.00,0.00,0.00
844487,51.00,23.00,-33.00
844507,0.00,0.00,0.00
844527,0.00,0.00,0.00
844547,0.00,0.00,0.00
844567,0.00,0.00,0.00
844587,47.00,23.00,-37.00
844607,0.00,0.00,0.00
844627,0.00,0.00,0.00
844647,0.00,0.00,0.00
844667,50.00,22.00,-36.00
844687,0.00,0.00,0.00
844707,0.00,0.00,0.00
844727,0.00,0.00,0.00
844747,0.00,0.00,0.00
844767,52.00,22.00,-36.00
844787,0.00,0.00,0.00
844807,0.00,0.00,0.00
844827,0.00,0.00,0.00
844847,0.00,0.00,0.00
844867,51.00,24.00,-37.00
844887,0.00,0.00,0.00
844907,0.00,0.00,0.00
844927,0.00,0.00,0.00
844947,0.00,0.00,0.00
844967,50.00,22.00,-34.00
844987,0.00,0.00,0.00
845007,0.00,0.00,0.00
845027,0.00,0.00,0.00
845047,0.00,0.00,0.00
845067,50.00,24.00,-34.00
845087,0.00,0.00,0.00
845107,0.00,0.00,0.00
845127,0.00,0.00,0.00
845147,0.00,0.00,0.00
845167,51.00,22.00,-35.00
845187,0.00,0.00,0.00
845207,0.00,0.00,0.00
845227,0.00,0.00,0.00
845247,0.00,0.00,0.00
845267,52.00,22.00,-38.00
845287,0.00,0.00,0.00
845307,0.00,0.00,0.00
845327,0.00,0.00,0.00
845347,0.00,0.00,0.00
845367,49.00,22.00,-37.00
845387,0.00,0.00,0.00
845407,0.00,0.00,0.00
845427,0.00,0.00,0.00
845447,0.00,0.00,0.00
845467,50.00,21.00,-32.00
845487,0.00,0.00,0.00
845507,0.00,0.00,0.00
845527,0.00,0.00,0.00
845547,0.00,0.00,0.00
