time_ms,ax,ay,az
143467,0.02,-0.03,1.00
143487,0.02,-0.02,1.00
143507,0.02,-0.01,0.99
143527,0.02,-0.01,1.00
143547,0.01,-0.02,1.00
143567,0.01,-0.04,0.98
143587,0.01,-0.05,1.01
143607,-0.07,-0.05,1.03
143627,-0.08,0.01,1.01
143647,0.17,0.06,0.99
143667,0.04,0.03,1.00
143687,-0.01,0.05,1.00
143707,-0.00,0.03,0.99
143727,-0.01,-0.10,1.00
143747,0.01,-0.08,0.99
143767,0.02,0.01,1.00
143787,0.01,-0.01,1.00
143807,0.01,-0.01,1.00
143827,0.00,-0.00,1.00
143847,0.00,-0.01,1.00
143867,0.01,-0.09,1.00
143887,0.02,-0.09,1.00
143907,0.01,0.02,1.00
143927,-0.00,0.08,1.00
143947,0.00,0.06,1.00
143967,0.01,-0.02,1.00
143987,0.01,-0.08,1.00
144007,-0.04,-0.30,1.01
144027,0.03,-0.48,0.98
144047,-0.00,0.04,1.00
144067,-0.05,0.39,1.01
144087,-0.04,0.42,0.99
144107,0.01,0.22,0.99
144127,-0.09,-0.02,1.01
144147,0.04,0.21,1.00
144167,0.06,0.44,0.99
144187,-0.01,0.29,1.01
144207,-0.08,-0.01,1.02
144227,-0.06,-0.23,1.02
144247,-0.02,-0.35,1.06
144267,-0.03,-0.46,1.00
144287,-0.03,-0.38,1.01
144307,-0.06,-0.08,1.00
144327,0.01,0.19,0.99
144347,-0.00,0.33,0.98
144367,-0.01,0.35,0.94
144387,-0.02,0.31,0.93
144407,-0.01,0.22,1.01
144427,-0.01,0.25,0.99
144447,-0.10,0.37,0.98
144467,-0.11,0.39,1.01
144487,-0.11,0.37,1.14
144507,-0.09,0.42,1.22
144527,-0.09,0.45,1.11
144547,-0.09,0.39,0.87
144567,-0.00,0.32,0.77
144587,0.03,0.27,0.84
144607,0.02,0.19,0.89
144627,0.03,0.11,0.85
144647,0.05,0.06,0.82
144667,0.01,0.12,0.88
144687,-0.04,0.21,0.99
144707,-0.04,0.24,1.01
144727,-0.08,0.32,1.03
144747,-0.08,0.38,1.16
144767,-0.02,0.14,1.01
144787,0.07,-0.26,0.74
144807,0.11,0.47,0.72
144827,0.09,0.90,0.86
144847,0.01,0.69,1.13
144867,0.00,0.35,1.12
144887,-0.15,-0.07,0.85
144907,-0.09,-0.10,0.68
144927,0.13,-0.16,0.97
144947,0.01,-0.15,1.08
144967,-0.04,-0.27,0.93
144987,0.01,-0.33,1.14
145007,0.09,-0.13,0.93
145027,0.16,-0.04,0.87
145047,0.07,-0.24,1.01
145067,0.04,-0.23,0.94
145087,0.09,-0.11,1.05
145107,0.06,-0.11,0.88
145127,0.10,-0.14,0.92
145147,0.10,-0.03,1.14
145167,0.05,-0.11,1.06
145187,0.07,-0.09,0.91
145207,0.04,-0.04,0.92
145227,0.02,-0.12,1.01
145247,0.07,-0.05,1.03
145267,0.08,-0.04,1.06
145287,-0.00,-0.12,1.02
145307,-0.04,-0.22,0.91
145327,-0.07,-0.22,0.92
145347,-0.15,-0.21,1.01
145367,-0.16,-0.42,1.07
145387,0.13,-0.38,1.15
145407,0.12,0.16,1.03
145427,0.16,-0.00,0.68
145447,0.08,-0.18,1.04
145467,0.08,-0.16,1.12
145487,0.13,-0.13,0.84
145507,0.16,0.01,0.86
145527,0.09,-0.03,1.05
145547,0.10,-0.04,1.15
145567,0.08,-0.01,1.12
145587,0.07,-0.05,0.91
145607,0.07,-0.06,0.91
145627,0.05,-0.06,1.06
145647,0.04,-0.02,1.04
145667,0.05,-0.00,0.96
145687,0.04,-0.04,0.96
145707,0.06,-0.06,0.98
145727,0.09,0.02,1.05
145747,0.10,-0.01,0.98
145767,0.11,-0.06,0.97
145787,0.11,-0.06,0.99
145807,0.12,-0.04,0.97
145827,0.15,-0.04,0.98
145847,0.11,-0.05,0.99
145867,0.10,-0.06,0.98
145887,0.08,-0.07,1.03
145907,0.09,-0.07,0.98
145927,0.10,-0.06,0.97
145947,0.11,-0.05,1.01
145967,0.10,-0.04,0.98
145987,0.11,-0.06,0.99
146007,0.11,-0.05,0.99
146027,0.10,-0.07,0.98
146047,0.09,-0.08,1.00
146067,0.10,-0.07,1.00
146087,0.17,-0.09,1.00
146107,0.14,0.09,0.90
146127,0.06,-0.09,0.93
146147,0.03,-0.19,1.05
146167,0.03,-0.18,1.01
146187,0.03,-0.16,0.98
146207,0.03,-0.17,0.99
146227,0.03,-0.17,1.01
146247,0.01,-0.16,0.99
146267,0.00,-0.17,1.00
146287,0.01,-0.19,0.99
146307,0.02,-0.14,0.98
146327,0.01,-0.13,1.01
146347,0.01,-0.16,1.04
146367,0.02,-0.14,0.98
146387,0.02,-0.11,0.98
146407,0.02,-0.13,1.00
146427,0.02,-0.11,1.00
146447,0.02,-0.10,0.99
146467,0.03,-0.09,0.98
146487,0.02,-0.10,0.99
146507,0.02,-0.11,0.99
146527,0.02,-0.10,1.00
146547,0.02,-0.08,1.01
146567,0.02,-0.08,1.00
146587,0.02,-0.07,1.00
146607,0.03,-0.07,1.00
146627,0.03,-0.06,1.02
146647,0.03,-0.06,1.00
146667,0.04,-0.07,1.00
146687,0.05,-0.02,1.03
146707,0.06,-0.04,1.00
146727,0.07,-0.03,0.96
146747,0.06,-0.02,0.97
146767,0.06,-0.01,1.02
146787,0.08,-0.03,0.98
146807,0.08,0.04,1.00
146827,0.08,0.00,0.97
146847,0.08,0.04,1.00
146867,0.09,0.03,1.00
146887,0.08,0.05,1.00
146907,0.09,0.03,0.97
146927,0.08,0.08,0.99
146947,0.11,0.05,0.99
146967,0.12,0.07,1.00
146987,0.11,0.10,1.00
147007,0.11,0.09,0.97
147027,0.12,0.11,1.01
147047,0.12,0.11,0.97
147067,0.12,0.13,0.98
147087,0.12,0.11,0.98
147107,0.13,0.12,0.96
147127,0.11,0.14,1.01
147147,0.12,0.12,1.00
147167,0.12,0.18,1.00
147187,0.11,0.09,0.96
147207,0.11,0.12,1.03
147227,0.19,0.06,1.01
147247,0.14,0.01,0.94
147267,0.04,0.12,0.96
147287,0.10,-0.06,1.05
147307,0.10,0.04,0.97
147327,0.14,0.01,0.96
147347,0.13,-0.01,1.00
147367,0.13,-0.00,0.99
147387,0.12,0.00,0.99
147407,0.11,-0.02,0.99
147427,0.11,-0.04,1.00
147447,0.11,-0.04,1.00
147467,0.12,-0.02,0.98
147487,0.11,-0.01,0.99
147507,0.11,-0.03,1.00
147527,0.12,0.01,0.99
147547,0.11,0.00,1.00
147567,0.11,-0.01,1.00
147587,0.12,0.00,0.98
147607,0.12,0.01,0.99
147627,0.12,0.01,0.98
147647,0.11,0.01,0.99
147667,0.10,0.01,0.98
147687,0.11,0.02,1.00
147707,0.10,0.03,1.00
147727,0.11,0.03,0.99
147747,0.10,0.04,1.01
147767,0.10,0.04,1.00
