time_ms,gx,gy,gz
143467,-1.95,-0.67,-9.03
143487,-1.77,-0.24,-5.19
143507,-1.65,-0.98,-3.05
143527,-2.50,-2.26,-3.54
143547,-2.50,-2.75,-2.56
143567,2.32,-2.44,0.18
143587,4.39,-8.30,10.01
143607,-18.86,-8.67,24.23
143627,-7.51,-0.49,52.31
143647,15.56,4.52,61.16
143667,4.76,0.73,24.11
143687,-3.11,0.31,7.87
143707,2.75,0.49,-5.92
143727,5.31,-0.43,-13.61
143747,-2.56,-0.06,5.43
143767,-4.39,-0.49,9.03
143787,-5.49,-0.79,-0.92
143807,-10.74,-1.28,-3.17
143827,-3.48,-0.12,-1.46
143847,0.61,0.37,-2.99
143867,0.24,0.06,-17.88
143887,-0.31,0.31,-5.25
143907,-0.31,0.43,25.09
143927,0.00,0.31,21.36
143947,-0.06,0.31,7.20
143967,-0.12,0.31,-1.59
143987,-0.24,0.24,-3.30
144007,-0.92,-1.83,2.38
144027,-9.34,-6.77,33.08
144047,7.51,6.53,127.56
144067,4.09,6.90,121.40
144087,5.43,0.43,55.66
144107,-2.87,-0.31,-1.53
144127,4.03,2.20,-7.14
144147,3.42,5.00,-13.37
144167,0.00,-2.81,-85.27
144187,-5.00,-3.72,-162.41
144207,-8.67,-6.59,-186.71
144227,-1.65,-13.73,-165.16
144247,-64.58,-12.88,-113.59
144267,-113.34,-2.44,-46.94
144287,-80.93,5.74,43.40
144307,-79.83,12.51,89.90
144327,-84.53,16.24,101.20
144347,-81.73,12.70,83.44
144367,-67.81,7.02,51.45
144387,-62.44,1.71,18.25
144407,-60.85,-3.78,15.75
144427,-66.41,-12.94,39.43
144447,-51.94,-29.72,51.82
144467,-45.96,-51.39,39.49
144487,-21.79,-41.75,26.79
144507,-24.05,-6.47,21.73
144527,-17.76,34.48,3.36
144547,-2.56,46.87,-14.89
144567,2.50,19.04,-17.52
144587,10.93,1.10,-25.09
144607,20.51,4.58,-29.79
144627,26.79,5.55,-27.04
144647,32.78,-0.92,-14.77
144667,16.17,-14.65,9.64
144687,-0.61,-16.42,17.46
144707,4.52,-2.81,17.64
144727,-18.92,8.18,21.48
144747,-50.66,38.21,13.37
144767,-57.68,80.32,21.79
144787,-128.60,63.17,109.01
144807,-67.69,33.02,166.32
144827,68.73,9.16,89.23
144847,254.52,38.82,-7.20
144867,421.94,76.78,-47.61
144887,433.90,73.79,-30.03
144907,205.02,18.13,-16.30
144927,95.09,-33.39,-9.22
144947,93.93,-16.36,-9.28
144967,47.67,-21.42,-11.66
144987,19.71,-15.93,3.17
145007,-1.28,13.18,10.56
145027,-44.80,3.17,-10.93
145047,-35.58,6.84,-18.01
145067,-30.21,2.69,-4.21
145087,6.71,2.56,-5.92
145107,7.87,4.27,-8.91
145127,-19.10,-22.03,-5.43
145147,-4.15,-10.13,-13.61
145167,0.06,17.88,-27.16
145187,-5.25,9.58,-22.83
145207,-20.51,-11.78,-31.98
145227,-42.72,-11.17,-34.42
145247,-45.23,5.07,-30.03
145267,-39.86,20.87,-29.42
145287,-19.78,37.84,-23.25
145307,-5.68,34.73,-6.35
145327,7.26,22.71,7.39
145347,-3.23,29.42,-1.34
145367,17.82,29.17,3.54
145387,34.61,-5.37,61.95
145407,23.50,22.16,48.46
145427,2.08,7.75,5.80
145447,-41.38,-26.73,12.51
145467,-17.33,-4.76,26.25
145487,-3.23,-12.70,41.93
145507,-26.06,-38.94,44.31
145527,-44.80,-35.40,29.91
145547,-4.94,-9.22,26.25
145567,20.63,25.76,14.28
145587,8.18,30.76,4.03
145607,-10.31,6.16,0.98
145627,-13.61,-0.31,2.93
145647,-15.08,11.05,0.73
145667,-21.91,11.29,-5.31
145687,-16.48,9.34,-8.00
145707,-13.55,5.62,-2.01
145727,-6.53,9.95,-4.27
145747,0.85,13.37,-11.23
145767,-3.17,7.45,-7.14
145787,-0.92,6.53,-1.95
145807,6.53,4.82,-2.38
145827,9.34,-1.95,-3.17
145847,12.15,-1.53,-6.59
145867,17.58,-4.88,-4.82
145887,14.28,-1.28,-2.93
145907,11.29,2.50,0.79
145927,-2.08,-0.67,1.10
145947,-4.70,-1.34,1.65
145967,-2.38,-1.46,-0.79
145987,-1.65,-3.97,-0.85
146007,5.25,-3.60,-2.50
146027,10.07,-5.80,-4.52
146047,10.07,-6.35,-3.05
146067,9.34,-6.16,-2.75
146087,38.64,-5.19,6.84
146107,50.84,-14.40,-6.77
146127,33.75,-37.29,-26.06
146147,39.67,-29.30,-17.33
146167,36.80,-20.57,-9.46
146187,20.81,-20.08,-6.77
146207,12.08,-19.90,-4.39
146227,18.62,-15.81,-0.55
146247,5.98,-11.05,1.71
146267,-8.67,-8.36,0.00
146287,-8.79,-8.42,3.11
146307,-17.82,-10.19,2.44
146327,-29.97,-8.12,-2.32
146347,-21.48,1.10,-3.23
146367,-10.56,5.13,0.92
146387,-15.20,1.59,-0.31
146407,-15.44,3.60,0.73
146427,-14.28,5.49,1.46
146447,-14.95,5.37,0.06
146467,-19.65,2.99,-2.32
146487,-14.77,2.01,-4.09
146507,-7.51,2.56,-2.08
146527,-10.56,2.69,-1.22
146547,-16.85,4.39,-1.83
146567,-20.32,5.07,-2.50
146587,-19.29,7.63,-3.36
146607,-14.16,8.24,-3.23
146627,-14.34,10.93,-4.39
146647,-20.87,14.16,-3.85
146667,-25.76,13.24,-1.34
146687,-30.88,18.86,-2.14
146707,-27.47,23.80,-3.78
146727,-21.12,17.27,-2.75
146747,-26.67,9.95,-2.14
146767,-35.71,13.37,-4.03
146787,-25.45,13.12,1.10
146807,-29.05,10.86,0.24
146827,-31.86,10.68,-1.65
146847,-29.30,5.74,1.28
146867,-18.19,8.85,-0.61
146887,-13.67,9.64,0.55
146907,-13.12,12.15,0.00
146927,-19.84,8.67,2.20
146947,-34.97,8.79,-1.95
146967,-24.17,9.28,0.06
146987,-19.17,7.87,1.46
147007,-31.31,6.77,-2.01
147027,-31.80,5.74,-2.62
147047,-21.73,7.81,-2.44
147067,-19.10,3.17,-3.17
147087,-16.78,1.10,-4.58
147107,-11.78,-0.92,-2.01
147127,-8.79,-5.13,-0.98
147147,-1.89,-1.83,-2.62
147167,10.74,-0.73,-3.17
147187,34.24,-1.46,-12.57
147207,52.12,-3.85,-9.77
147227,48.71,4.21,-14.10
147247,88.01,15.99,7.69
147267,64.76,7.81,13.92
147287,28.32,0.37,-7.32
147307,22.34,6.35,1.16
147327,12.39,3.54,-6.35
147347,18.86,-0.85,-6.47
147367,12.88,-2.38,-2.20
147387,19.41,-2.62,-1.53
147407,22.95,-3.05,-3.11
147427,14.22,-3.11,-1.22
147447,0.79,-2.69,1.22
147467,-5.98,-2.38,3.05
147487,-10.01,-3.11,2.44
147507,-19.47,-4.21,2.26
147527,-17.46,-3.60,5.13
147547,-11.78,-3.23,2.32
147567,-13.67,-1.95,1.16
147587,-12.33,-1.22,3.30
147607,-9.34,-2.99,2.81
147627,-5.86,-2.93,2.69
147647,-9.70,-4.58,4.21
147667,-9.52,-6.29,5.19
147687,-9.52,-8.54,5.19
147707,-7.45,-8.00,6.77
147727,-5.07,-4.88,8.12
147747,-5.92,-4.27,9.28
147767,-1.16,-2.26,7.69
147787,6.65,-1.71,6.71
147807,5.62,-4.82,5.80
147827,2.44,-4.03,7.45
147847,3.54,-2.20,8.79
147867,-0.55,-3.42,8.24
147887,-4.52,-4.09,7.14
147907,-8.30,-4.88,6.53
147927,-9.28,-7.51,8.54
147947,-8.42,-8.79,11.23
147967,-10.01,-9.09,11.72
147987,-10.62,-9.58,12.63
148007,-11.23,-11.66,11.35
148027,-18.80,-15.99,9.16
148047,-14.28,-16.60,11.66
148067,-15.26,-15.62,13.24
148087,-12.02,-13.00,9.89
148107,-5.13,-10.50,7.57
148127,-4.70,-8.30,6.04
148147,-2.26,-5.55,2.01
148167,5.62,-1.77,1.59
148187,8.97,-2.26,1.95
148207,6.53,-5.13,-0.43
148227,4.27,-4.15,-0.24
148247,4.76,-3.48,2.32
148267,6.84,-4.21,0.18
148287,6.35,-5.49,-1.40
148307,9.28,-8.12,-1.77
148327,9.70,-13.00,-2.20
148347,5.43,-13.67,0.61
148367,5.00,-9.77,0.55
148387,6.65,-8.12,0.06
148407,10.86,-3.48,-2.56
148427,8.48,0.12,-2.56
148447,3.05,1.16,0.73
148467,8.85,3.66,-0.49
148487,13.24,5.43,-3.97
148507,16.17,8.06,-3.66
148527,12.94,8.61,-2.38
148547,11.17,7.14,-1.59
148567,12.82,9.70,-1.77
148587,12.33,11.72,-2.08
148607,8.91,14.47,-3.54
148627,-0.85,15.93,-4.88
148647,-10.93,9.70,-4.58
148667,-12.39,7.57,-1.53
148687,-5.31,11.41,1.28
148707,-6.77,9.52,-1.53
148727,-8.12,7.63,-3.72
148747,-2.08,10.68,0.31
148767,-2.93,7.93,0.12
148787,-4.88,3.17,0.06
148807,-3.05,4.21,1.46
148827,-0.98,5.25,1.71
148847,-3.97,1.71,1.59
148867,-3.91,1.04,2.99
148887,-1.22,1.46,2.44
148907,-2.56,1.53,2.08
148927,-3.72,4.52,2.20
