time_ms,mx,my,mz
143467,0.00,0.00,0.00
143487,0.00,0.00,0.00
143507,0.00,0.00,0.00
143527,53.00,-22.00,15.00
143547,0.00,0.00,0.00
143567,0.00,0.00,0.00
143587,0.00,0.00,0.00
143607,0.00,0.00,0.00
143627,53.00,-22.00,17.00
143647,0.00,0.00,0.00
143667,0.00,0.00,0.00
143687,0.00,0.00,0.00
143707,0.00,0.00,0.00
143727,52.00,-22.00,14.00
143747,0.00,0.00,0.00
143767,0.00,0.00,0.00
143787,0.00,0.00,0.00
143807,0.00,0.00,0.00
143827,52.00,-22.00,15.00
143847,0.00,0.00,0.00
143867,0.00,0.00,0.00
143887,0.00,0.00,0.00
143907,0.00,0.00,0.00
143927,54.00,-20.00,12.00
143947,0.00,0.00,0.00
143967,0.00,0.00,0.00
143987,0.00,0.00,0.00
144007,0.00,0.00,0.00
144027,55.00,-19.00,12.00
144047,0.00,0.00,0.00
144067,0.00,0.00,0.00
144087,0.00,0.00,0.00
144107,0.00,0.00,0.00
144127,53.00,-19.00,22.00
144147,0.00,0.00,0.00
144167,0.00,0.00,0.00
144187,0.00,0.00,0.00
144207,0.00,0.00,0.00
144227,54.00,-22.00,14.00
144247,0.00,0.00,0.00
144267,0.00,0.00,0.00
144287,0.00,0.00,0.00
144307,0.00,0.00,0.00
144327,60.00,-22.00,12.00
144347,0.00,0.00,0.00
144367,0.00,0.00,0.00
144387,0.00,0.00,0.00
144407,0.00,0.00,0.00
144427,64.00,-20.00,12.00
144447,0.00,0.00,0.00
144467,0.00,0.00,0.00
144487,0.00,0.00,0.00
144507,0.00,0.00,0.00
144527,65.00,-18.00,4.00
144547,0.00,0.00,0.00
144567,0.00,0.00,0.00
144587,0.00,0.00,0.00
144607,0.00,0.00,0.00
144627,65.00,-19.00,4.00
144647,0.00,0.00,0.00
144667,0.00,0.00,0.00
144687,0.00,0.00,0.00
144707,0.00,0.00,0.00
144727,63.00,-18.00,6.00
144747,0.00,0.00,0.00
144767,0.00,0.00,0.00
144787,0.00,0.00,0.00
144807,0.00,0.00,0.00
144827,65.00,-18.00,0.00
144847,0.00,0.00,0.00
144867,0.00,0.00,0.00
144887,0.00,0.00,0.00
144907,0.00,0.00,0.00
144927,50.00,-17.00,10.00
144947,0.00,0.00,0.00
144967,0.00,0.00,0.00
144987,0.00,0.00,0.00
145007,0.00,0.00,0.00
145027,46.00,-20.00,18.00
145047,0.00,0.00,0.00
145067,0.00,0.00,0.00
145087,0.00,0.00,0.00
145107,47.00,-21.00,17.00
145127,0.00,0.00,0.00
145147,0.00,0.00,0.00
145167,0.00,0.00,0.00
145187,0.00,0.00,0.00
145207,49.00,-22.00,17.00
145227,0.00,0.00,0.00
145247,0.00,0.00,0.00
145267,0.00,0.00,0.00
145287,0.00,0.00,0.00
145307,47.00,-24.00,12.00
145327,0.00,0.00,0.00
145347,0.00,0.00,0.00
145367,0.00,0.00,0.00
145387,0.00,0.00,0.00
145407,49.00,-25.00,14.00
145427,0.00,0.00,0.00
145447,0.00,0.00,0.00
145467,0.00,0.00,0.00
145487,0.00,0.00,0.00
145507,51.00,-24.00,12.00
145527,0.00,0.00,0.00
145547,0.00,0.00,0.00
145567,0.00,0.00,0.00
145587,0.00,0.00,0.00
145607,50.00,-23.00,13.00
145627,0.00,0.00,0.00
145647,0.00,0.00,0.00
145667,0.00,0.00,0.00
145687,0.00,0.00,0.00
145707,46.00,-25.00,13.00
145727,0.00,0.00,0.00
145747,0.00,0.00,0.00
145767,0.00,0.00,0.00
145787,0.00,0.00,0.00
145807,51.00,-25.00,15.00
