time_ms,ax,ay,az
1187149,-0.35,0.00,-0.95
1187169,-0.34,0.00,-0.95
1187189,-0.33,0.01,-0.96
1187209,-0.33,-0.00,-0.95
1187229,-0.33,0.00,-0.95
1187249,-0.35,0.01,-0.94
1187269,-0.35,0.01,-0.94
1187289,-0.34,0.01,-0.95
1187309,-0.34,-0.00,-0.94
1187329,-0.35,0.00,-0.94
1187349,-0.35,0.00,-0.94
1187369,-0.35,0.00,-0.94
1187389,-0.36,0.00,-0.94
1187409,-0.37,0.01,-0.94
1187429,-0.34,0.01,-0.94
1187449,-0.33,-0.01,-0.95
1187469,-0.33,0.01,-0.94
1187489,-0.34,0.00,-0.94
1187509,-0.34,0.01,-0.95
1187529,-0.34,0.01,-0.95
1187549,-0.35,0.00,-0.94
1187569,-0.33,0.01,-0.95
1187589,-0.32,0.01,-0.96
1187609,-0.33,0.00,-0.96
1187629,-0.35,-0.00,-0.95
1187649,-0.34,0.00,-0.96
1187669,-0.34,0.01,-0.96
1187689,-0.36,0.02,-0.94
1187709,-0.36,-0.00,-0.93
1187729,-0.35,0.05,-0.94
1187749,-0.33,0.05,-0.95
1187769,-0.34,0.05,-0.94
1187789,-0.35,0.04,-0.94
1187809,-0.36,0.04,-0.93
1187829,-0.36,0.04,-0.92
1187849,-0.36,0.05,-0.94
1187869,-0.37,0.04,-0.93
1187889,-0.38,0.04,-0.92
1187909,-0.39,0.05,-0.92
1187929,-0.38,0.03,-0.94
1187949,-0.39,0.04,-0.92
1187969,-0.42,0.03,-0.92
1187989,-0.38,0.02,-0.93
1188009,-0.38,0.04,-0.93
1188029,-0.39,0.03,-0.93
1188049,-0.38,0.04,-0.93
1188069,-0.38,0.06,-0.95
1188089,-0.37,0.05,-0.95
1188109,-0.37,0.07,-0.93
1188129,-0.39,0.07,-0.91
1188149,-0.40,0.04,-0.91
1188169,-0.43,0.05,-0.91
1188189,-0.44,0.04,-0.91
1188209,-0.46,0.05,-0.88
1188229,-0.46,0.02,-0.89
1188249,-0.46,0.05,-0.89
1188269,-0.48,0.09,-0.87
1188289,-0.48,0.01,-0.87
1188309,-0.50,0.07,-0.85
1188329,-0.50,0.04,-0.85
1188349,-0.46,0.02,-0.88
1188369,-0.45,0.05,-0.90
1188389,-0.48,0.09,-0.88
1188409,-0.52,0.05,-0.85
1188429,-0.51,0.00,-0.87
1188449,-0.50,-0.03,-0.87
1188469,-0.49,0.02,-0.89
1188489,-0.51,0.04,-0.88
1188509,-0.54,0.05,-0.85
1188529,-0.52,0.02,-0.86
1188549,-0.51,0.02,-0.87
1188569,-0.52,-0.24,-0.88
1188589,-0.55,-0.05,-0.84
1188609,-0.58,0.19,-0.81
1188629,-0.56,0.09,-0.83
1188649,-0.56,0.03,-0.83
1188669,-0.53,0.03,-0.85
1188689,-0.55,0.05,-0.83
1188709,-0.58,0.08,-0.79
1188729,-0.60,0.09,-0.78
1188749,-0.59,0.16,-0.78
1188769,-0.59,-0.18,-0.81
1188789,-0.60,-0.07,-0.80
1188809,-0.59,0.09,-0.79
1188829,-0.58,0.01,-0.81
1188849,-0.60,0.00,-0.80
1188869,-0.61,-0.01,-0.81
1188889,-0.58,0.02,-0.82
1188909,-0.59,0.05,-0.81
1188929,-0.60,0.06,-0.79
1188949,-0.59,-0.09,-0.81
1188969,-0.57,0.01,-0.83
1188989,-0.59,-0.01,-0.81
1189009,-0.61,-0.02,-0.80
1189029,-0.60,-0.01,-0.80
1189049,-0.59,-0.01,-0.80
1189069,-0.59,-0.01,-0.81
1189089,-0.61,-0.02,-0.80
1189109,-0.63,-0.02,-0.78
1189129,-0.64,-0.02,-0.78
1189149,-0.62,-0.02,-0.79
1189169,-0.62,-0.03,-0.79
1189189,-0.66,-0.01,-0.76
1189209,-0.66,-0.01,-0.76
1189229,-0.66,-0.03,-0.72
1189249,-0.66,-0.03,-0.71
1189269,-0.66,-0.04,-0.71
1189289,-0.68,-0.05,-0.71
1189309,-0.67,-0.05,-0.72
1189329,-0.67,-0.06,-0.72
1189349,-0.67,-0.06,-0.73
1189369,-0.66,-0.06,-0.74
1189389,-0.66,-0.06,-0.75
1189409,-0.65,-0.06,-0.75
1189429,-0.65,-0.06,-0.75
1189449,-0.64,-0.06,-0.75
1189469,-0.63,-0.06,-0.75
1189489,-0.63,-0.07,-0.76
1189509,-0.62,-0.07,-0.77
1189529,-0.60,-0.08,-0.78
1189549,-0.59,-0.07,-0.79
1189569,-0.55,-0.07,-0.81
1189589,-0.58,-0.09,-0.80
1189609,-0.55,-0.07,-0.84
1189629,-0.52,-0.09,-0.85
1189649,-0.50,-0.11,-0.85
1189669,-0.47,-0.11,-0.86
1189689,-0.45,-0.11,-0.89
1189709,-0.43,-0.11,-0.93
1189729,-0.41,-0.11,-0.94
1189749,-0.39,-0.13,-0.94
1189769,-0.38,-0.13,-0.94
1189789,-0.37,-0.12,-0.93
1189809,-0.36,-0.11,-0.94
1189829,-0.35,-0.10,-0.96
1189849,-0.35,-0.10,-0.96
1189869,-0.34,-0.10,-0.94
1189889,-0.34,-0.10,-0.95
1189909,-0.34,-0.09,-0.96
1189929,-0.34,-0.08,-0.96
1189949,-0.34,-0.09,-0.96
1189969,-0.35,-0.09,-0.96
1189989,-0.36,-0.08,-0.97
1190009,-0.37,-0.07,-0.96
1190029,-0.39,-0.07,-0.93
1190049,-0.41,-0.07,-0.92
1190069,-0.43,-0.07,-0.90
1190089,-0.45,-0.06,-0.89
1190109,-0.47,-0.05,-0.88
1190129,-0.49,-0.06,-0.87
1190149,-0.50,-0.06,-0.86
1190169,-0.52,-0.05,-0.85
1190189,-0.53,-0.05,-0.84
1190209,-0.55,-0.05,-0.83
1190229,-0.56,-0.06,-0.81
1190249,-0.58,-0.06,-0.80
1190269,-0.59,-0.05,-0.80
1190289,-0.60,-0.05,-0.79
1190309,-0.61,-0.05,-0.79
1190329,-0.62,-0.05,-0.78
1190349,-0.63,-0.04,-0.77
1190369,-0.64,-0.04,-0.76
1190389,-0.65,-0.04,-0.75
1190409,-0.65,-0.04,-0.75
1190429,-0.66,-0.03,-0.74
1190449,-0.67,-0.02,-0.74
1190469,-0.67,-0.02,-0.73
1190489,-0.67,-0.02,-0.73
1190509,-0.68,-0.02,-0.72
1190529,-0.67,-0.01,-0.73
1190549,-0.67,-0.02,-0.73
1190569,-0.70,-0.01,-0.71
1190589,-0.68,-0.01,-0.73
1190609,-0.71,-0.01,-0.71
1190629,-0.68,-0.01,-0.73
1190649,-0.68,-0.01,-0.72
1190669,-0.68,-0.01,-0.72
1190689,-0.69,-0.01,-0.72
1190709,-0.69,-0.01,-0.72
1190729,-0.69,-0.01,-0.72
1190749,-0.70,0.00,-0.71
1190769,-0.71,0.00,-0.71
1190789,-0.69,0.00,-0.72
1190809,-0.69,-0.00,-0.72
1190829,-0.69,-0.01,-0.71
1190849,-0.69,-0.01,-0.71
1190869,-0.69,-0.01,-0.71
1190889,-0.70,-0.00,-0.70
1190909,-0.71,-0.00,-0.70
1190929,-0.71,-0.01,-0.70
1190949,-0.72,-0.00,-0.69
1190969,-0.71,-0.00,-0.70
1190989,-0.72,-0.00,-0.68
1191009,-0.72,-0.00,-0.68
1191029,-0.72,-0.01,-0.68
1191049,-0.73,-0.00,-0.67
1191069,-0.73,0.00,-0.67
1191089,-0.72,-0.00,-0.66
1191109,-0.71,-0.02,-0.67
1191129,-0.70,-0.01,-0.68
1191149,-0.69,-0.00,-0.70
1191169,-0.68,-0.01,-0.72
1191189,-0.66,-0.02,-0.75
1191209,-0.66,-0.02,-0.75
1191229,-0.65,-0.02,-0.76
1191249,-0.64,-0.01,-0.79
1191269,-0.62,-0.01,-0.80
1191289,-0.61,-0.01,-0.80
1191309,-0.61,-0.01,-0.81
1191329,-0.59,-0.01,-0.81
1191349,-0.59,-0.02,-0.81
1191369,-0.58,-0.02,-0.82
1191389,-0.58,-0.02,-0.82
1191409,-0.57,-0.01,-0.82
1191429,-0.57,-0.01,-0.82
1191449,-0.56,-0.02,-0.82
1191469,-0.55,-0.01,-0.83
1191489,-0.55,-0.02,-0.84
1191509,-0.54,-0.02,-0.84
1191529,-0.54,-0.03,-0.83
1191549,-0.52,-0.03,-0.85
1191569,-0.50,-0.02,-0.86
1191589,-0.48,-0.03,-0.87
1191609,-0.52,-0.04,-0.85
1191629,-0.49,-0.03,-0.88
1191649,-0.47,-0.03,-0.89
1191669,-0.46,-0.03,-0.90
1191689,-0.45,-0.03,-0.91
1191709,-0.44,-0.04,-0.91
1191729,-0.43,-0.04,-0.92
1191749,-0.43,-0.03,-0.92
1191769,-0.42,-0.03,-0.92
1191789,-0.42,-0.04,-0.91
1191809,-0.42,-0.03,-0.91
1191829,-0.42,-0.04,-0.91
1191849,-0.42,-0.04,-0.91
1191869,-0.44,-0.04,-0.90
1191889,-0.45,-0.03,-0.90
1191909,-0.41,-0.04,-0.91
1191929,-0.42,-0.03,-0.92
1191949,-0.44,-0.04,-0.90
1191969,-0.39,-0.03,-0.92
1191989,-0.38,-0.03,-0.92
1192009,-0.40,-0.04,-0.91
1192029,-0.41,-0.04,-0.90
1192049,-0.40,-0.04,-0.91
1192069,-0.39,-0.04,-0.92
1192089,-0.39,-0.04,-0.93
1192109,-0.38,-0.03,-0.94
1192129,-0.38,-0.05,-0.94
1192149,-0.38,-0.05,-0.94
1192169,-0.37,-0.04,-0.94
1192189,-0.37,-0.04,-0.95
1192209,-0.37,-0.04,-0.95
1192229,-0.37,-0.05,-0.94
1192249,-0.37,-0.05,-0.94
1192269,-0.37,-0.04,-0.94
1192289,-0.38,-0.04,-0.94
1192309,-0.39,-0.04,-0.94
1192329,-0.39,-0.04,-0.93
1192349,-0.40,-0.04,-0.93
1192369,-0.41,-0.04,-0.92
1192389,-0.42,-0.04,-0.91
1192409,-0.42,-0.04,-0.91
1192429,-0.43,-0.04,-0.90
1192449,-0.44,-0.04,-0.90
1192469,-0.45,-0.03,-0.91
1192489,-0.45,-0.03,-0.90
1192509,-0.46,-0.03,-0.90
1192529,-0.47,-0.04,-0.89
1192549,-0.49,-0.03,-0.88
1192569,-0.50,-0.03,-0.88
1192589,-0.51,-0.02,-0.87
1192609,-0.52,-0.02,-0.85
1192629,-0.54,-0.03,-0.84
1192649,-0.55,-0.02,-0.84
1192669,-0.57,-0.02,-0.83
1192689,-0.58,-0.02,-0.81
