time_ms,gx,gy,gz
1187149,-5.62,-2.81,-5.80
1187169,-6.84,-0.85,-5.74
1187189,-1.59,1.16,-3.97
1187209,-2.62,2.44,-4.52
1187229,-1.46,2.75,-2.87
1187249,-2.26,3.23,-2.87
1187269,-3.42,3.85,-3.36
1187289,1.77,4.58,-0.73
1187309,3.91,3.78,1.71
1187329,1.89,1.10,2.50
1187349,0.18,-0.49,1.34
1187369,0.92,-0.67,0.31
1187389,-0.92,-0.55,-2.62
1187409,-5.31,-0.18,-7.14
1187429,-1.95,0.85,-7.69
1187449,3.97,-0.37,-2.81
1187469,0.67,-4.70,-1.28
1187489,-3.66,-8.30,-3.78
1187509,-2.44,-8.30,-4.21
1187529,1.40,-5.86,-1.46
1187549,-0.18,-6.65,-2.32
1187569,0.00,-9.58,-6.16
1187589,-1.46,-7.63,-4.33
1187609,0.00,-3.05,-3.36
1187629,-4.03,1.22,-6.16
1187649,5.62,7.02,-5.86
1187669,18.86,15.08,0.06
1187689,22.71,18.07,0.31
1187709,16.60,17.58,1.22
1187729,8.12,15.93,0.00
1187749,6.84,15.44,-3.05
1187769,11.29,14.77,-1.95
1187789,10.74,11.72,-0.92
1187809,7.93,7.93,1.95
1187829,1.46,4.15,1.71
1187849,2.93,2.14,1.65
1187869,5.00,1.22,1.16
1187889,1.95,0.79,-1.22
1187909,-1.22,1.22,-4.76
1187929,-0.43,1.22,-5.25
1187949,-1.59,1.34,-6.35
1187969,-5.00,3.23,-6.71
1187989,-4.15,5.86,-7.08
1188009,-10.99,7.57,-10.38
1188029,-16.85,10.74,-9.83
1188049,-12.63,16.78,-4.15
1188069,-8.24,22.52,-3.05
1188089,3.60,29.05,2.62
1188109,11.96,31.13,4.64
1188129,5.86,28.99,0.55
1188149,2.14,25.63,2.69
1188169,1.40,25.82,6.59
1188189,7.20,27.16,9.22
1188209,6.96,26.61,6.23
1188229,2.93,24.29,4.33
1188249,6.04,22.77,5.19
1188269,4.33,22.34,-2.69
1188289,0.79,19.59,-4.88
1188309,-4.64,15.44,-5.68
1188329,-18.68,9.58,-11.05
1188349,-19.41,4.76,-6.35
1188369,-7.26,1.40,2.87
1188389,-4.15,1.04,-2.99
1188409,-11.23,2.32,-8.54
1188429,-17.94,3.85,-11.96
1188449,-14.04,5.74,-4.64
1188469,-6.77,7.87,1.59
1188489,1.34,12.45,1.40
