time_ms,mx,my,mz
1187149,0.00,0.00,0.00
1187169,0.00,0.00,0.00
1187189,0.00,0.00,0.00
1187209,0.00,0.00,0.00
1187229,50.00,-10.00,-64.00
1187249,0.00,0.00,0.00
1187269,0.00,0.00,0.00
1187289,0.00,0.00,0.00
1187309,0.00,0.00,0.00
1187329,52.00,-6.00,-64.00
1187349,0.00,0.00,0.00
1187369,0.00,0.00,0.00
1187389,0.00,0.00,0.00
1187409,0.00,0.00,0.00
1187429,51.00,-8.00,-67.00
1187449,0.00,0.00,0.00
1187469,0.00,0.00,0.00
1187489,0.00,0.00,0.00
1187509,0.00,0.00,0.00
1187529,51.00,-8.00,-66.00
1187549,0.00,0.00,0.00
1187569,0.00,0.00,0.00
1187589,0.00,0.00,0.00
1187609,0.00,0.00,0.00
1187629,53.00,-7.00,-61.00
1187649,0.00,0.00,0.00
1187669,0.00,0.00,0.00
1187689,0.00,0.00,0.00
1187709,0.00,0.00,0.00
1187729,53.00,-8.00,-62.00
1187749,0.00,0.00,0.00
1187769,0.00,0.00,0.00
1187789,0.00,0.00,0.00
1187809,0.00,0.00,0.00
1187829,53.00,-9.00,-63.00
1187849,0.00,0.00,0.00
1187869,0.00,0.00,0.00
1187889,0.00,0.00,0.00
1187909,0.00,0.00,0.00
1187929,52.00,-5.00,-62.00
1187949,0.00,0.00,0.00
1187969,0.00,0.00,0.00
1187989,0.00,0.00,0.00
1188009,0.00,0.00,0.00
1188029,52.00,-5.00,-63.00
1188049,0.00,0.00,0.00
1188069,0.00,0.00,0.00
1188089,0.00,0.00,0.00
1188109,0.00,0.00,0.00
1188129,52.00,-4.00,-62.00
1188149,0.00,0.00,0.00
1188169,0.00,0.00,0.00
1188189,0.00,0.00,0.00
1188209,0.00,0.00,0.00
1188229,53.00,-2.00,-64.00
1188249,0.00,0.00,0.00
1188269,0.00,0.00,0.00
1188289,0.00,0.00,0.00
1188309,0.00,0.00,0.00
1188329,54.00,0.00,-63.00
1188349,0.00,0.00,0.00
1188369,0.00,0.00,0.00
1188389,0.00,0.00,0.00
1188409,0.00,0.00,0.00
1188429,53.00,-4.00,-55.00
1188449,0.00,0.00,0.00
1188469,0.00,0.00,0.00
1188489,0.00,0.00,0.00
1188509,0.00,0.00,0.00
1188529,52.00,0.00,-59.00
1188549,0.00,0.00,0.00
1188569,0.00,0.00,0.00
1188589,0.00,0.00,0.00
1188609,51.00,3.00,-61.00
1188629,0.00,0.00,0.00
1188649,0.00,0.00,0.00
1188669,0.00,0.00,0.00
1188689,0.00,0.00,0.00
1188709,54.00,0.00,-55.00
1188729,0.00,0.00,0.00
1188749,0.00,0.00,0.00
1188769,0.00,0.00,0.00
1188789,0.00,0.00,0.00
1188809,52.00,1.00,-60.00
1188829,0.00,0.00,0.00
1188849,0.00,0.00,0.00
1188869,0.00,0.00,0.00
1188889,0.00,0.00,0.00
1188909,52.00,3.00,-61.00
1188929,0.00,0.00,0.00
1188949,0.00,0.00,0.00
1188969,0.00,0.00,0.00
1188989,0.00,0.00,0.00
1189009,51.00,0.00,-60.00
1189029,0.00,0.00,0.00
1189049,0.00,0.00,0.00
1189069,0.00,0.00,0.00
1189089,0.00,0.00,0.00
1189109,51.00,2.00,-52.00
1189129,0.00,0.00,0.00
1189149,0.00,0.00,0.00
1189169,0.00,0.00,0.00
1189189,0.00,0.00,0.00
1189209,48.00,5.00,-54.00
