time_ms,ax,ay,az
1017418,0.65,-0.12,-0.77
1017438,0.66,-0.10,-0.77
1017458,0.66,-0.10,-0.75
1017478,0.66,-0.11,-0.76
1017498,0.65,-0.12,-0.76
1017518,0.64,-0.13,-0.77
1017538,0.65,-0.12,-0.77
1017558,0.66,-0.10,-0.76
1017578,0.66,-0.10,-0.75
1017598,0.66,-0.10,-0.76
1017618,0.65,-0.11,-0.76
1017638,0.66,-0.11,-0.78
1017658,0.66,-0.12,-0.76
1017678,0.66,-0.11,-0.74
1017698,0.67,-0.11,-0.75
1017718,0.66,-0.11,-0.75
1017738,0.67,-0.10,-0.75
1017758,0.68,-0.09,-0.75
1017778,0.67,-0.10,-0.74
1017798,0.66,-0.11,-0.75
1017818,0.66,-0.11,-0.77
1017838,0.68,-0.11,-0.78
1017858,0.68,-0.10,-0.77
1017878,0.65,-0.12,-0.75
1017898,0.67,-0.12,-0.75
1017918,0.67,-0.11,-0.73
1017938,0.63,-0.13,-0.69
1017958,0.64,-0.16,-0.75
1017978,0.66,-0.16,-0.77
1017998,0.64,-0.17,-0.74
1018018,0.65,-0.15,-0.74
1018038,0.68,-0.12,-0.73
1018058,0.69,-0.10,-0.74
1018078,0.68,-0.10,-0.74
1018098,0.68,-0.10,-0.73
1018118,0.70,-0.09,-0.74
1018138,0.69,-0.10,-0.73
1018158,0.69,-0.11,-0.73
1018178,0.69,-0.11,-0.72
1018198,0.67,-0.13,-0.75
1018218,0.66,-0.13,-0.74
1018238,0.66,-0.13,-0.74
1018258,0.68,-0.11,-0.75
1018278,0.68,-0.10,-0.74
1018298,0.68,-0.09,-0.74
1018318,0.69,-0.09,-0.73
1018338,0.69,-0.10,-0.73
1018358,0.68,-0.12,-0.75
1018378,0.66,-0.14,-0.75
1018398,0.66,-0.14,-0.75
1018418,0.67,-0.13,-0.74
1018438,0.67,-0.13,-0.73
1018458,0.67,-0.11,-0.74
1018478,0.67,-0.11,-0.76
1018498,0.67,-0.11,-0.75
1018518,0.67,-0.11,-0.74
1018538,0.67,-0.12,-0.74
1018558,0.67,-0.12,-0.74
1018578,0.68,-0.12,-0.75
1018598,0.68,-0.12,-0.73
1018618,0.67,-0.13,-0.73
1018638,0.68,-0.12,-0.74
1018658,0.66,-0.14,-0.74
1018678,0.65,-0.14,-0.76
1018698,0.66,-0.13,-0.77
1018718,0.64,-0.13,-0.76
1018738,0.66,-0.11,-0.76
1018758,0.68,-0.10,-0.74
1018778,0.68,-0.10,-0.74
1018798,0.67,-0.12,-0.75
1018818,0.65,-0.14,-0.75
1018838,0.65,-0.15,-0.76
1018858,0.65,-0.14,-0.76
1018878,0.66,-0.14,-0.75
1018898,0.67,-0.12,-0.74
1018918,0.69,-0.10,-0.74
1018938,0.67,-0.13,-0.73
1018958,0.66,-0.14,-0.75
