time_ms,gx,gy,gz
1017418,-0.49,0.37,0.85
1017438,-1.16,-0.61,0.37
1017458,-1.89,-0.61,-1.10
1017478,-2.01,0.31,-1.77
1017498,-1.40,-0.18,-1.40
1017518,-0.37,-1.46,0.18
1017538,0.43,-2.87,2.14
1017558,-0.55,-3.30,1.28
1017578,-0.37,-2.32,0.12
1017598,-0.06,-1.53,-0.73
1017618,0.18,-1.89,-0.73
1017638,0.67,-3.36,-0.43
1017658,1.65,-5.37,0.67
1017678,2.44,-5.68,1.10
1017698,2.69,-4.46,0.43
1017718,2.93,-3.36,-0.06
1017738,3.05,-3.17,-0.43
1017758,1.46,-2.75,-2.62
1017778,0.85,-0.49,-4.70
1017798,1.71,0.06,-4.64
1017818,-0.31,-1.10,-4.15
1017838,-3.85,-1.59,-4.21
1017858,-8.00,-1.04,-6.04
1017878,-10.25,-0.73,-5.80
1017898,-10.74,-2.26,-4.58
1017918,-10.99,-3.11,-5.62
1017938,-4.58,-0.85,-4.64
1017958,2.20,-0.98,-0.61
1017978,3.72,-4.15,2.93
1017998,1.71,-4.64,6.10
1018018,2.44,-5.19,10.07
1018038,1.22,-5.43,10.68
1018058,-0.12,-4.03,8.85
1018078,-1.28,-3.66,7.32
1018098,-1.16,-2.14,6.47
1018118,-0.85,-0.79,4.27
1018138,-1.83,-0.31,2.01
1018158,-1.77,2.69,0.06
1018178,-2.01,2.87,-1.53
1018198,-0.55,3.36,-0.92
1018218,-1.59,1.77,0.73
1018238,-0.31,0.67,3.05
1018258,0.92,0.49,4.09
1018278,-0.67,0.92,2.56
1018298,-1.95,1.59,0.92
1018318,-3.48,3.54,-1.59
1018338,-3.78,5.19,-4.09
1018358,-3.78,5.68,-5.07
1018378,-3.78,4.58,-4.94
1018398,-4.27,3.11,-3.17
1018418,-1.59,1.83,-1.34
1018438,-0.49,1.22,-0.24
1018458,0.12,1.10,0.67
1018478,0.79,0.79,0.06
1018498,0.98,-0.12,0.00
1018518,1.16,-0.61,-0.31
1018538,1.28,-0.06,-1.22
1018558,1.16,0.98,-1.40
1018578,0.06,1.46,-1.28
1018598,-0.98,0.98,-2.32
1018618,-0.85,2.44,-2.87
1018638,-0.61,3.78,-2.81
1018658,-0.61,3.97,-3.17
1018678,0.79,2.75,-1.10
1018698,0.85,0.85,0.73
1018718,-1.53,0.00,1.46
1018738,-1.40,-0.37,2.87
1018758,-1.83,-1.10,2.08
1018778,-2.44,1.28,-0.31
1018798,-2.44,3.11,-2.62
1018818,-3.66,3.97,-4.15
1018838,-3.48,2.87,-2.81
1018858,-2.20,0.98,-0.37
1018878,-1.59,-0.67,1.10
1018898,-1.46,-0.31,1.46
1018918,-1.28,1.04,-0.24
1018938,-2.08,2.14,-3.17
1018958,-1.53,3.36,-3.30
1018978,-0.92,2.62,-2.38
1018998,-1.28,0.92,-1.40
1019018,-0.55,0.61,0.85
1019038,-0.67,0.43,1.71
1019058,-1.34,0.55,0.49
1019078,-1.10,1.59,-0.85
1019098,-1.04,2.01,-2.38
1019118,-1.22,1.71,-2.62
1019138,-0.79,1.04,-1.10
1019158,-1.16,0.12,-0.43
1019178,-0.49,-0.37,0.31
1019198,0.43,-1.10,1.16
1019218,0.43,-1.16,1.71
1019238,0.18,-1.40,1.34
1019258,0.24,-1.16,-0.12
1019278,0.37,-0.18,-0.92
1019298,0.43,0.85,-1.34
1019318,0.00,1.10,-1.95
1019338,-0.18,1.89,-1.46
1019358,0.00,1.77,-1.28
1019378,-0.37,1.46,-1.10
1019398,-0.61,1.34,-0.31
1019418,-0.06,0.92,0.37
1019438,0.00,0.37,-0.31
1019458,-0.61,0.67,-0.92
1019478,-0.43,0.49,0.12
1019498,-0.24,-0.67,1.40
1019518,-0.06,-1.16,1.77
1019538,1.04,-1.53,2.01
1019558,1.04,-1.65,1.59
1019578,0.67,-1.40,0.31
1019598,1.28,-0.79,-0.31
1019618,1.59,-0.49,-0.37
1019638,1.34,-0.67,-0.49
1019658,1.10,-1.10,-0.37
1019678,0.92,-0.55,-0.49
1019698,0.24,-0.18,-0.92
1019718,0.24,0.49,-0.73
1019738,0.85,0.43,0.12
1019758,0.61,0.00,-0.37
1019778,0.67,0.24,-1.46
