time_ms,mx,my,mz
1017418,0.00,0.00,0.00
1017438,1.00,-48.00,-53.00
1017458,0.00,0.00,0.00
1017478,0.00,0.00,0.00
1017498,0.00,0.00,0.00
1017518,0.00,0.00,0.00
1017538,0.00,-50.00,-54.00
1017558,0.00,0.00,0.00
1017578,0.00,0.00,0.00
1017598,0.00,0.00,0.00
1017618,0.00,0.00,0.00
1017638,3.00,-47.00,-52.00
1017658,0.00,0.00,0.00
1017678,0.00,0.00,0.00
1017698,0.00,0.00,0.00
1017718,0.00,0.00,0.00
1017738,2.00,-48.00,-58.00
1017758,0.00,0.00,0.00
1017778,0.00,0.00,0.00
1017798,0.00,0.00,0.00
1017818,0.00,0.00,0.00
1017838,0.00,-49.00,-54.00
1017858,0.00,0.00,0.00
1017878,0.00,0.00,0.00
1017898,0.00,0.00,0.00
1017918,0.00,0.00,0.00
1017938,1.00,-50.00,-58.00
1017958,0.00,0.00,0.00
1017978,0.00,0.00,0.00
1017998,0.00,0.00,0.00
1018018,0.00,0.00,0.00
1018038,0.00,-49.00,-57.00
1018058,0.00,0.00,0.00
1018078,0.00,0.00,0.00
1018098,0.00,0.00,0.00
1018118,0.00,0.00,0.00
1018138,0.00,-50.00,-50.00
1018158,0.00,0.00,0.00
1018178,0.00,0.00,0.00
1018198,0.00,0.00,0.00
1018218,0.00,0.00,0.00
1018238,0.00,-50.00,-52.00
1018258,0.00,0.00,0.00
1018278,0.00,0.00,0.00
1018298,0.00,0.00,0.00
1018318,0.00,0.00,0.00
1018338,2.00,-49.00,-56.00
1018358,0.00,0.00,0.00
1018378,0.00,0.00,0.00
1018398,0.00,0.00,0.00
1018418,0.00,0.00,0.00
1018438,2.00,-49.00,-56.00
1018458,0.00,0.00,0.00
1018478,0.00,0.00,0.00
1018498,0.00,0.00,0.00
1018518,0.00,0.00,0.00
1018538,0.00,-50.00,-59.00
1018558,0.00,0.00,0.00
1018578,0.00,0.00,0.00
1018598,0.00,0.00,0.00
1018618,0.00,0.00,0.00
1018638,0.00,-50.00,-58.00
1018658,0.00,0.00,0.00
1018678,0.00,0.00,0.00
1018698,0.00,0.00,0.00
1018718,0.00,0.00,0.00
1018738,0.00,-49.00,-60.00
1018758,0.00,0.00,0.00
1018778,0.00,0.00,0.00
1018798,0.00,0.00,0.00
1018818,2.00,-48.00,-56.00
1018838,0.00,0.00,0.00
1018858,0.00,0.00,0.00
1018878,0.00,0.00,0.00
1018898,0.00,0.00,0.00
1018918,0.00,-50.00,-57.00
1018938,0.00,0.00,0.00
1018958,0.00,0.00,0.00
1018978,0.00,0.00,0.00
1018998,0.00,0.00,0.00
1019018,0.00,-49.00,-58.00
1019038,0.00,0.00,0.00
1019058,0.00,0.00,0.00
1019078,0.00,0.00,0.00
1019098,0.00,0.00,0.00
1019118,-2.00,-48.00,-56.00
1019138,0.00,0.00,0.00
1019158,0.00,0.00,0.00
1019178,0.00,0.00,0.00
1019198,0.00,0.00,0.00
1019218,0.00,-49.00,-55.00
1019238,0.00,0.00,0.00
1019258,0.00,0.00,0.00
1019278,0.00,0.00,0.00
1019298,0.00,0.00,0.00
1019318,0.00,-49.00,-56.00
1019338,0.00,0.00,0.00
1019358,0.00,0.00,0.00
1019378,0.00,0.00,0.00
1019398,0.00,0.00,0.00
1019418,-1.00,-48.00,-51.00
1019438,0.00,0.00,0.00
1019458,0.00,0.00,0.00
1019478,0.00,0.00,0.00
1019498,0.00,0.00,0.00
1019518,2.00,-48.00,-53.00
1019538,0.00,0.00,0.00
1019558,0.00,0.00,0.00
1019578,0.00,0.00,0.00
1019598,0.00,0.00,0.00
1019618,2.00,-48.00,-50.00
1019638,0.00,0.00,0.00
1019658,0.00,0.00,0.00
1019678,0.00,0.00,0.00
1019698,0.00,0.00,0.00
1019718,0.00,-49.00,-58.00
1019738,0.00,0.00,0.00
1019758,0.00,0.00,0.00
1019778,0.00,0.00,0.00
1019798,0.00,0.00,0.00
1019818,0.00,-48.00,-53.00
1019838,0.00,0.00,0.00
1019858,0.00,0.00,0.00
1019878,0.00,0.00,0.00
1019898,0.00,0.00,0.00
1019918,0.00,-50.00,-51.00
1019938,0.00,0.00,0.00
1019958,0.00,0.00,0.00
1019978,0.00,0.00,0.00
1019998,0.00,0.00,0.00
1020018,2.00,-48.00,-54.00
1020038,0.00,0.00,0.00
1020058,0.00,0.00,0.00
1020078,0.00,0.00,0.00
1020098,0.00,0.00,0.00
1020118,0.00,-48.00,-50.00
1020138,0.00,0.00,0.00
1020158,0.00,0.00,0.00
1020178,0.00,0.00,0.00
1020198,0.00,0.00,0.00
1020218,0.00,-49.00,-58.00
1020238,0.00,0.00,0.00
1020258,0.00,0.00,0.00
1020278,0.00,0.00,0.00
1020298,0.00,0.00,0.00
1020318,2.00,-48.00,-56.00
1020338,0.00,0.00,0.00
1020358,0.00,0.00,0.00
1020378,0.00,0.00,0.00
1020398,0.00,0.00,0.00
1020418,0.00,-50.00,-57.00
1020438,0.00,0.00,0.00
1020458,0.00,0.00,0.00
1020478,0.00,0.00,0.00
1020498,0.00,0.00,0.00
1020518,-1.00,-49.00,-55.00
1020538,0.00,0.00,0.00
1020558,0.00,0.00,0.00
1020578,0.00,0.00,0.00
1020598,0.00,0.00,0.00
1020618,2.00,-50.00,-55.00
1020638,0.00,0.00,0.00
1020658,0.00,0.00,0.00
1020678,0.00,0.00,0.00
1020698,0.00,0.00,0.00
1020718,0.00,-48.00,-55.00
1020738,0.00,0.00,0.00
1020758,0.00,0.00,0.00
1020778,0.00,0.00,0.00
1020798,0.00,0.00,0.00
1020818,0.00,-48.00,-58.00
1020838,0.00,0.00,0.00
1020858,0.00,0.00,0.00
1020878,0.00,0.00,0.00
1020898,0.00,-49.00,-53.00
1020918,0.00,0.00,0.00
1020938,0.00,0.00,0.00
1020958,0.00,0.00,0.00
1020978,0.00,0.00,0.00
1020998,1.00,-49.00,-53.00
1021018,0.00,0.00,0.00
1021038,0.00,0.00,0.00
1021058,0.00,0.00,0.00
1021078,0.00,0.00,0.00
1021098,1.00,-48.00,-49.00
1021118,0.00,0.00,0.00
1021138,0.00,0.00,0.00
1021158,0.00,0.00,0.00
1021178,0.00,0.00,0.00
1021198,0.00,-48.00,-52.00
1021218,0.00,0.00,0.00
