time_ms,ax,ay,az
1436049,-0.33,-0.88,-0.34
1436069,-0.33,-0.88,-0.34
1436089,-0.33,-0.89,-0.34
1436109,-0.33,-0.87,-0.34
1436129,-0.33,-0.89,-0.34
1436149,-0.32,-0.88,-0.34
1436169,-0.31,-0.88,-0.35
1436189,-0.30,-0.88,-0.34
1436209,-0.30,-0.88,-0.34
1436229,-0.30,-0.89,-0.35
1436249,-0.30,-0.88,-0.35
1436269,-0.30,-0.89,-0.36
1436289,-0.31,-0.87,-0.35
1436309,-0.31,-0.87,-0.35
1436329,-0.31,-0.89,-0.37
1436349,-0.29,-0.86,-0.35
1436369,-0.27,-0.85,-0.35
1436389,-0.28,-0.87,-0.35
1436409,-0.28,-0.87,-0.37
1436429,-0.28,-0.89,-0.40
1436449,-0.26,-0.92,-0.42
1436469,-0.26,-0.85,-0.35
1436489,-0.26,-0.88,-0.38
1436509,-0.28,-0.89,-0.37
1436529,-0.29,-0.88,-0.37
1436549,-0.30,-0.87,-0.37
1436569,-0.30,-0.88,-0.37
1436589,-0.29,-0.88,-0.37
1436609,-0.29,-0.88,-0.36
1436629,-0.29,-0.89,-0.36
1436649,-0.29,-0.88,-0.36
1436669,-0.28,-0.86,-0.36
1436689,-0.29,-0.88,-0.36
1436709,-0.28,-0.89,-0.38
1436729,-0.27,-0.85,-0.39
1436749,-0.26,-0.87,-0.40
1436769,-0.27,-0.88,-0.41
1436789,-0.27,-0.87,-0.42
1436809,-0.27,-0.86,-0.39
1436829,-0.28,-0.86,-0.38
1436849,-0.28,-0.84,-0.35
1436869,-0.30,-0.91,-0.42
1436889,-0.28,-0.88,-0.44
1436909,-0.29,-0.81,-0.37
1436929,-0.29,-0.85,-0.36
1436949,-0.27,-0.89,-0.44
1436969,-0.29,-0.90,-0.43
1436989,-0.29,-0.82,-0.37
1437009,-0.27,-0.91,-0.41
1437029,-0.24,-0.84,-0.43
1437049,-0.25,-0.80,-0.36
1437069,-0.25,-0.92,-0.44
1437089,-0.24,-0.89,-0.48
1437109,-0.22,-0.85,-0.47
1437129,-0.22,-0.87,-0.51
1437149,-0.17,-0.86,-0.52
1437169,-0.19,-0.86,-0.47
1437189,-0.19,-0.91,-0.41
1437209,-0.18,-0.89,-0.42
1437229,-0.17,-0.93,-0.45
1437249,-0.17,-0.93,-0.44
1437269,-0.16,-0.95,-0.39
1437289,-0.16,-0.95,-0.43
1437309,-0.14,-0.99,-0.41
1437329,-0.08,-1.00,-0.40
1437349,-0.03,-0.85,-0.40
1437369,0.01,-0.84,-0.42
1437389,0.01,-0.91,-0.42
1437409,0.02,-0.96,-0.39
1437429,0.06,-0.87,-0.44
1437449,0.07,-0.78,-0.43
1437469,0.08,-0.86,-0.40
1437489,0.08,-0.89,-0.42
1437509,0.05,-0.85,-0.35
1437529,0.05,-0.96,-0.36
1437549,0.04,-0.97,-0.36
1437569,0.03,-0.87,-0.31
1437589,0.02,-0.93,-0.27
1437609,-0.03,-0.93,-0.29
1437629,-0.05,-1.01,-0.24
1437649,-0.02,-1.00,-0.24
1437669,0.03,-0.92,-0.32
1437689,0.06,-0.95,-0.34
1437709,0.07,-0.93,-0.32
1437729,0.08,-0.95,-0.37
1437749,0.03,-0.91,-0.31
1437769,-0.02,-0.97,-0.29
1437789,-0.04,-0.97,-0.29
1437809,-0.03,-0.96,-0.29
1437829,-0.02,-0.98,-0.31
