time_ms,gx,gy,gz
1436049,2.93,-1.89,3.05
1436069,3.72,-3.11,3.97
1436089,3.97,-3.97,5.00
1436109,3.91,-4.70,5.31
1436129,5.00,-5.37,6.77
1436149,6.10,-5.92,7.81
1436169,5.68,-6.71,7.75
1436189,5.13,-7.57,7.69
1436209,5.07,-7.08,6.65
1436229,4.46,-7.14,5.68
1436249,3.30,-7.14,4.58
1436269,1.59,-7.81,4.58
1436289,3.85,-8.42,6.16
1436309,5.74,-7.57,6.84
1436329,6.10,-8.00,7.87
1436349,6.90,-8.85,9.77
1436369,6.90,-6.10,7.63
1436389,8.79,-5.25,5.68
1436409,10.19,-3.60,4.58
1436429,6.84,-0.73,0.24
1436449,1.04,-0.06,-1.59
1436469,-1.40,-2.62,0.06
1436489,-4.82,0.67,-5.43
1436509,-4.76,-0.49,-5.92
1436529,-3.91,-1.77,-4.03
1436549,-3.05,-2.08,-4.21
1436569,-2.20,-1.83,-4.70
1436589,-2.50,-1.40,-3.91
1436609,-1.40,-2.50,-1.28
1436629,0.92,-3.17,0.92
1436649,3.72,-3.17,2.99
1436669,7.45,-3.85,4.09
1436689,9.40,-3.91,2.44
1436709,8.97,-2.20,2.14
1436729,10.62,-2.14,2.99
1436749,11.41,-0.98,0.00
1436769,12.45,0.06,-1.28
1436789,7.93,0.43,-3.72
1436809,6.10,-0.73,-4.76
1436829,3.72,0.24,-5.07
1436849,4.15,1.53,-2.87
1436869,1.16,6.23,-4.03
1436889,-2.81,2.44,1.16
1436909,1.46,-4.39,5.31
1436929,1.28,-3.05,0.55
1436949,0.85,-2.32,0.61
1436969,6.53,-13.12,8.42
1436989,13.98,-18.92,14.28
1437009,18.98,-16.85,13.31
1437029,25.51,-22.46,22.89
1437049,28.99,-29.60,22.95
1437069,24.66,-23.62,16.30
1437089,28.93,-25.57,26.31
1437109,28.20,-31.07,32.41
1437129,11.78,-29.30,26.61
1437149,-12.33,-22.77,18.13
1437169,-26.49,-20.32,15.75
1437189,-26.79,-15.26,15.75
1437209,-50.35,-3.42,19.10
1437229,-51.88,-1.16,26.37
1437249,-45.72,-7.93,39.98
1437269,-29.60,-14.40,50.23
1437289,-15.62,-16.05,62.81
1437309,-1.40,-22.34,68.79
1437329,8.54,-21.00,71.47
1437349,12.94,-17.15,73.06
1437369,5.13,-13.85,58.65
1437389,-9.40,-12.45,41.87
1437409,-6.29,-11.23,43.40
1437429,-10.93,-6.23,51.45
1437449,-15.75,-6.04,37.66
1437469,-22.89,-4.58,13.67
1437489,-32.47,-2.38,3.78
1437509,-32.65,-3.30,-4.94
1437529,-38.27,0.37,-17.03
1437549,-49.87,-0.18,-18.13
1437569,-45.35,-2.26,-15.08
1437589,-31.98,-0.06,-16.91
1437609,-30.88,3.97,-18.80
1437629,-43.52,6.47,-34.97
1437649,-23.01,8.36,-15.93
1437669,3.17,9.52,6.65
1437689,10.74,5.49,4.70
1437709,8.73,2.99,-3.17
1437729,5.92,2.26,-6.71
1437749,5.19,-2.38,-9.77
1437769,2.99,-2.38,-14.53
1437789,14.95,-3.36,-9.16
1437809,29.91,-4.09,-5.00
1437829,33.02,-2.14,-3.36
1437849,25.88,-0.79,-1.83
1437869,24.35,-0.67,0.18
1437889,28.44,0.92,-0.31
1437909,31.74,1.53,0.24
1437929,42.18,3.91,4.58
1437949,48.65,5.74,6.04
1437969,42.54,1.53,5.43
1437989,43.03,0.18,3.85
1438009,50.23,2.01,2.69
1438029,45.59,3.97,1.89
1438049,43.27,1.95,5.19
1438069,51.70,3.11,4.76
1438089,56.88,3.17,5.00
1438109,53.71,3.97,4.52
1438129,45.90,3.30,2.50
1438149,45.72,4.09,4.27
1438169,49.32,3.30,1.83
1438189,41.44,5.86,1.83
1438209,33.39,5.25,4.58
1438229,26.12,6.16,0.18
1438249,16.11,6.23,-2.44
1438269,5.07,3.42,-3.72
1438289,-9.89,4.21,-7.08
1438309,-15.14,2.56,-7.08
1438329,-10.86,2.32,-3.78
1438349,-9.89,2.20,-3.11
1438369,-9.16,0.12,-2.01
1438389,-2.08,-0.92,-2.93
1438409,-1.16,0.79,-1.59
1438429,-0.85,0.79,0.67
1438449,0.49,1.40,-0.92
1438469,0.55,1.34,-1.65
1438489,0.31,0.12,-1.95
1438509,1.71,-0.31,-2.62
1438529,1.34,-0.18,-2.56
1438549,0.92,-0.85,0.06
1438569,0.67,0.24,0.73
1438589,2.32,0.67,0.98
1438609,5.00,0.24,0.98
1438629,10.25,-3.48,3.30
1438649,-1.04,-1.34,-6.41
1438669,5.92,-1.04,1.22
1438689,3.78,-0.92,-1.53
1438709,0.49,0.24,-1.59
1438729,4.70,1.71,-0.12
1438749,6.23,1.22,-1.65
1438769,7.20,1.04,-1.95
1438789,5.68,2.99,-4.88
1438809,4.27,2.99,-5.07
1438829,2.81,5.13,-9.58
1438849,-4.33,13.73,-23.25
1438869,-5.07,16.66,-34.42
1438889,2.20,10.07,-25.02
1438909,10.56,0.43,-9.46
1438929,8.48,5.49,-15.38
1438949,0.37,10.68,-25.39
1438969,-5.92,12.45,-31.92
1438989,-6.10,11.96,-31.13
1439009,-4.03,12.21,-33.08
1439029,-2.93,15.50,-35.95
1439049,1.28,13.37,-32.78
1439069,4.33,8.97,-28.56
1439089,8.12,9.58,-24.96
1439109,12.08,6.90,-20.94
1439129,6.77,8.42,-23.68
1439149,9.95,6.84,-22.03
1439169,9.22,9.34,-20.51
1439189,8.24,9.34,-19.17
1439209,11.23,5.74,-16.24
1439229,11.47,6.77,-14.28
1439249,0.55,10.44,-15.62
1439269,-15.56,11.96,-22.28
1439289,-21.12,14.89,-21.30
1439309,-22.28,14.83,-22.77
1439329,-18.49,15.50,-20.57
1439349,-18.55,15.69,-19.10
1439369,-36.01,19.35,-24.54
1439389,-36.93,20.02,-26.55
1439409,-24.60,18.01,-24.48
1439429,-22.46,15.14,-24.35
1439449,-21.30,12.27,-22.34
1439469,-20.45,9.77,-24.72
1439489,-20.94,9.89,-31.01
1439509,-18.68,9.34,-36.99
1439529,-12.27,9.64,-38.70
1439549,-5.74,10.44,-40.16
1439569,6.90,3.54,-33.57
1439589,11.72,0.18,-25.15
1439609,7.08,1.65,-25.94
1439629,11.17,0.98,-26.43
1439649,16.54,-0.49,-26.25
1439669,15.56,5.98,-30.94
1439689,8.06,18.49,-42.11
1439709,4.15,23.13,-44.37
1439729,3.66,22.09,-39.67
1439749,1.04,19.65,-38.94
1439769,-2.08,25.09,-39.79
1439789,-2.44,26.73,-46.08
1439809,2.32,21.97,-44.86
1439829,6.90,17.76,-37.11
1439849,13.06,12.15,-36.56
1439869,17.15,5.43,-35.10
1439889,18.80,9.52,-33.75
1439909,15.99,19.04,-35.22
1439929,32.29,7.63,-19.96
1439949,40.28,0.49,-20.45
1439969,46.14,-0.55,-23.44
1439989,46.45,3.23,-21.91
1440009,40.47,-1.89,-27.04
1440029,24.48,8.85,-22.46
1440049,14.65,16.11,-16.30
1440069,3.91,19.78,-15.50
1440089,-6.53,19.35,-21.36
1440109,-14.04,22.09,-27.34
1440129,-11.17,26.55,-25.57
1440149,-13.31,33.33,-26.43
1440169,-20.81,33.08,-28.99
1440189,-24.54,31.43,-31.80
1440209,-22.95,30.94,-29.48
1440229,-26.67,26.12,-29.36
1440249,-23.44,17.76,-25.82
1440269,-18.43,14.22,-18.68
1440289,-8.30,10.50,-11.23
1440309,-5.92,12.45,-9.95
1440329,-7.32,10.31,-8.42
1440349,-7.81,5.62,-6.35
1440369,-3.48,0.55,-3.23
1440389,-1.65,-2.32,-1.28
1440409,-1.40,-1.89,-1.34
1440429,1.34,2.62,-1.46
1440449,-3.30,8.73,-4.09
1440469,-11.54,12.21,-6.23
1440489,-5.43,1.22,-1.40
1440509,0.61,-3.05,3.97
1440529,0.37,-0.55,4.15
1440549,-1.28,3.05,1.10
1440569,-5.62,9.58,-1.59
1440589,-2.75,5.74,0.37
1440609,-1.22,1.65,2.99
1440629,-0.98,-2.56,5.86
1440649,0.00,-4.15,5.98
1440669,1.28,0.43,0.31
1440689,1.89,2.56,-1.10
1440709,2.75,0.92,0.61
1440729,2.99,-2.08,1.40
1440749,0.61,-0.24,0.98
1440769,0.31,3.11,-0.49
1440789,2.56,3.91,-1.59
1440809,0.73,4.76,-1.28
1440829,0.06,2.26,0.85
1440849,2.08,0.43,0.92
1440869,4.64,-1.71,1.95
1440889,4.82,-1.89,3.17
1440909,3.30,2.75,-0.06
1440929,4.21,4.21,-1.22
1440949,5.07,3.05,-1.28
1440969,6.16,-1.16,-0.06
1440989,6.29,-1.65,-0.37
1441009,3.54,0.55,-0.55
1441029,1.16,4.64,-2.62
1441049,2.01,2.69,-2.20
1441069,3.60,-0.67,-0.12
1441089,7.93,-5.68,5.80
1441109,3.66,-1.53,5.25
1441129,0.31,1.95,1.22
1441149,-0.12,1.89,0.55
1441169,0.55,1.10,1.16
1441189,1.22,1.89,-0.49
1441209,-0.18,1.77,-0.55
1441229,-1.95,1.65,0.24
1441249,-1.71,1.40,0.06
1441269,-0.92,1.04,-0.31
1441289,-1.04,1.10,0.12
1441309,-2.20,1.40,1.28
1441329,-1.28,1.16,1.28
1441349,1.04,1.65,0.67
1441369,1.22,1.59,0.85
1441389,1.95,0.31,1.89
1441409,4.76,-1.77,1.89
1441429,9.28,-5.43,5.86
1441449,12.70,-8.79,8.73
1441469,8.24,-5.37,6.71
1441489,4.82,-3.17,4.21
1441509,-0.43,1.59,1.34
1441529,-4.15,3.85,-3.30
1441549,-8.91,7.02,-6.53
1441569,-7.39,5.49,-4.64
1441589,-0.98,1.04,0.92
1441609,-3.17,1.53,0.43
1441629,-3.66,2.01,0.67
1441649,-2.81,2.14,1.28
1441669,-1.22,0.31,2.87
1441689,1.65,-1.95,2.56
1441709,4.15,-4.03,2.56
1441729,3.23,-2.75,1.59
1441749,2.26,-0.61,-1.46
1441769,1.77,-0.98,-1.77
1441789,1.34,-1.65,-1.28
1441809,1.40,-0.24,-1.71
1441829,1.77,0.98,-0.37
1441849,0.92,1.77,-0.24
1441869,0.31,0.73,1.28
1441889,0.79,0.85,0.92
1441909,1.34,2.56,0.55
1441929,0.61,4.09,1.16
1441949,-0.79,1.95,1.59
1441969,-1.34,1.65,0.37
1441989,-1.65,1.53,-0.18
1442009,-2.69,2.08,-0.37
1442029,-2.56,-0.67,1.53
1442049,-0.67,-1.16,2.14
