time_ms,mx,my,mz
1436049,0.00,0.00,0.00
1436069,0.00,0.00,0.00
1436089,-18.00,-8.00,-20.00
1436109,0.00,0.00,0.00
1436129,0.00,0.00,0.00
1436149,0.00,0.00,0.00
1436169,0.00,0.00,0.00
1436189,-24.00,-9.00,-20.00
1436209,0.00,0.00,0.00
1436229,0.00,0.00,0.00
1436249,0.00,0.00,0.00
1436269,0.00,0.00,0.00
1436289,-21.00,-7.00,-24.00
1436309,0.00,0.00,0.00
1436329,0.00,0.00,0.00
1436349,0.00,0.00,0.00
1436369,0.00,0.00,0.00
1436389,-18.00,-9.00,-21.00
1436409,0.00,0.00,0.00
1436429,0.00,0.00,0.00
1436449,0.00,0.00,0.00
1436469,0.00,0.00,0.00
1436489,-21.00,-7.00,-27.00
1436509,0.00,0.00,0.00
1436529,0.00,0.00,0.00
1436549,0.00,0.00,0.00
1436569,0.00,0.00,0.00
1436589,-21.00,-8.00,-22.00
1436609,0.00,0.00,0.00
1436629,0.00,0.00,0.00
1436649,0.00,0.00,0.00
1436669,0.00,0.00,0.00
1436689,-19.00,-8.00,-26.00
1436709,0.00,0.00,0.00
1436729,0.00,0.00,0.00
1436749,0.00,0.00,0.00
1436769,0.00,0.00,0.00
1436789,-20.00,-8.00,-15.00
1436809,0.00,0.00,0.00
1436829,0.00,0.00,0.00
1436849,0.00,0.00,0.00
1436869,0.00,0.00,0.00
1436889,-23.00,-9.00,-28.00
1436909,0.00,0.00,0.00
1436929,0.00,0.00,0.00
1436949,0.00,0.00,0.00
1436969,0.00,0.00,0.00
1436989,-23.00,-6.00,-26.00
1437009,0.00,0.00,0.00
1437029,0.00,0.00,0.00
1437049,0.00,0.00,0.00
1437069,0.00,0.00,0.00
1437089,-21.00,-10.00,-26.00
1437109,0.00,0.00,0.00
1437129,0.00,0.00,0.00
1437149,0.00,0.00,0.00
1437169,0.00,0.00,0.00
1437189,-21.00,-10.00,-30.00
1437209,0.00,0.00,0.00
1437229,0.00,0.00,0.00
1437249,0.00,0.00,0.00
1437269,0.00,0.00,0.00
1437289,-25.00,-17.00,-20.00
1437309,0.00,0.00,0.00
1437329,0.00,0.00,0.00
1437349,0.00,0.00,0.00
1437369,0.00,0.00,0.00
1437389,-23.00,-20.00,-31.00
1437409,0.00,0.00,0.00
1437429,0.00,0.00,0.00
1437449,0.00,0.00,0.00
1437469,0.00,0.00,0.00
1437489,-21.00,-25.00,-28.00
1437509,0.00,0.00,0.00
1437529,0.00,0.00,0.00
1437549,0.00,0.00,0.00
1437569,0.00,0.00,0.00
1437589,-22.00,-22.00,-25.00
1437609,0.00,0.00,0.00
1437629,0.00,0.00,0.00
1437649,0.00,0.00,0.00
1437669,0.00,0.00,0.00
1437689,-21.00,-22.00,-22.00
1437709,0.00,0.00,0.00
1437729,0.00,0.00,0.00
1437749,0.00,0.00,0.00
1437769,0.00,0.00,0.00
1437789,-20.00,-22.00,-20.00
1437809,0.00,0.00,0.00
1437829,0.00,0.00,0.00
1437849,0.00,0.00,0.00
1437869,0.00,0.00,0.00
1437889,-20.00,-21.00,-23.00
1437909,0.00,0.00,0.00
1437929,0.00,0.00,0.00
1437949,0.00,0.00,0.00
1437969,0.00,0.00,0.00
1437989,-21.00,-20.00,-24.00
1438009,0.00,0.00,0.00
1438029,0.00,0.00,0.00
1438049,0.00,0.00,0.00
1438069,-21.00,-20.00,-19.00
1438089,0.00,0.00,0.00
1438109,0.00,0.00,0.00
1438129,0.00,0.00,0.00
1438149,0.00,0.00,0.00
1438169,-20.00,-21.00,-31.00
1438189,0.00,0.00,0.00
1438209,0.00,0.00,0.00
1438229,0.00,0.00,0.00
1438249,0.00,0.00,0.00
1438269,-20.00,-22.00,-31.00
1438289,0.00,0.00,0.00
1438309,0.00,0.00,0.00
1438329,0.00,0.00,0.00
1438349,0.00,0.00,0.00
1438369,-22.00,-18.00,-28.00
1438389,0.00,0.00,0.00
1438409,0.00,0.00,0.00
1438429,0.00,0.00,0.00
1438449,0.00,0.00,0.00
1438469,-20.00,-20.00,-31.00
1438489,0.00,0.00,0.00
1438509,0.00,0.00,0.00
1438529,0.00,0.00,0.00
1438549,0.00,0.00,0.00
1438569,-22.00,-19.00,-35.00
1438589,0.00,0.00,0.00
1438609,0.00,0.00,0.00
1438629,0.00,0.00,0.00
1438649,0.00,0.00,0.00
1438669,-20.00,-20.00,-32.00
1438689,0.00,0.00,0.00
1438709,0.00,0.00,0.00
1438729,0.00,0.00,0.00
1438749,0.00,0.00,0.00
1438769,-21.00,-21.00,-35.00
1438789,0.00,0.00,0.00
1438809,0.00,0.00,0.00
1438829,0.00,0.00,0.00
1438849,0.00,0.00,0.00
1438869,-20.00,-18.00,-35.00
1438889,0.00,0.00,0.00
1438909,0.00,0.00,0.00
1438929,0.00,0.00,0.00
1438949,0.00,0.00,0.00
1438969,-20.00,-16.00,-30.00
1438989,0.00,0.00,0.00
1439009,0.00,0.00,0.00
1439029,0.00,0.00,0.00
1439049,0.00,0.00,0.00
1439069,-21.00,-14.00,-33.00
1439089,0.00,0.00,0.00
1439109,0.00,0.00,0.00
1439129,0.00,0.00,0.00
1439149,0.00,0.00,0.00
1439169,-20.00,-12.00,-30.00
1439189,0.00,0.00,0.00
1439209,0.00,0.00,0.00
1439229,0.00,0.00,0.00
1439249,0.00,0.00,0.00
1439269,-22.00,-11.00,-33.00
1439289,0.00,0.00,0.00
1439309,0.00,0.00,0.00
1439329,0.00,0.00,0.00
1439349,0.00,0.00,0.00
1439369,-19.00,-8.00,-35.00
1439389,0.00,0.00,0.00
1439409,0.00,0.00,0.00
1439429,0.00,0.00,0.00
1439449,0.00,0.00,0.00
1439469,-17.00,-7.00,-26.00
1439489,0.00,0.00,0.00
1439509,0.00,0.00,0.00
1439529,0.00,0.00,0.00
1439549,0.00,0.00,0.00
1439569,-17.00,-3.00,-28.00
1439589,0.00,0.00,0.00
1439609,0.00,0.00,0.00
1439629,0.00,0.00,0.00
1439649,0.00,0.00,0.00
1439669,-19.00,-1.00,-28.00
1439689,0.00,0.00,0.00
1439709,0.00,0.00,0.00
1439729,0.00,0.00,0.00
1439749,0.00,0.00,0.00
1439769,-15.00,1.00,-30.00
1439789,0.00,0.00,0.00
1439809,0.00,0.00,0.00
1439829,0.00,0.00,0.00
1439849,0.00,0.00,0.00
1439869,-13.00,5.00,-29.00
1439889,0.00,0.00,0.00
1439909,0.00,0.00,0.00
1439929,0.00,0.00,0.00
1439949,0.00,0.00,0.00
1439969,-12.00,5.00,-32.00
1439989,0.00,0.00,0.00
1440009,0.00,0.00,0.00
1440029,0.00,0.00,0.00
1440049,-12.00,6.00,-32.00
1440069,0.00,0.00,0.00
1440089,0.00,0.00,0.00
1440109,0.00,0.00,0.00
1440129,0.00,0.00,0.00
1440149,-8.00,8.00,-24.00
1440169,0.00,0.00,0.00
1440189,0.00,0.00,0.00
1440209,0.00,0.00,0.00
1440229,0.00,0.00,0.00
1440249,-8.00,11.00,-28.00
1440269,0.00,0.00,0.00
1440289,0.00,0.00,0.00
1440309,0.00,0.00,0.00
1440329,0.00,0.00,0.00
1440349,-5.00,11.00,-22.00
1440369,0.00,0.00,0.00
1440389,0.00,0.00,0.00
1440409,0.00,0.00,0.00
1440429,0.00,0.00,0.00
1440449,-6.00,11.00,-26.00
1440469,0.00,0.00,0.00
1440489,0.00,0.00,0.00
1440509,0.00,0.00,0.00
1440529,0.00,0.00,0.00
1440549,-7.00,11.00,-24.00
1440569,0.00,0.00,0.00
1440589,0.00,0.00,0.00
1440609,0.00,0.00,0.00
1440629,0.00,0.00,0.00
1440649,-7.00,12.00,-20.00
1440669,0.00,0.00,0.00
1440689,0.00,0.00,0.00
1440709,0.00,0.00,0.00
1440729,0.00,0.00,0.00
1440749,-6.00,13.00,-21.00
1440769,0.00,0.00,0.00
1440789,0.00,0.00,0.00
1440809,0.00,0.00,0.00
1440829,0.00,0.00,0.00
1440849,-8.00,9.00,-22.00
1440869,0.00,0.00,0.00
1440889,0.00,0.00,0.00
1440909,0.00,0.00,0.00
1440929,0.00,0.00,0.00
1440949,-8.00,10.00,-28.00
1440969,0.00,0.00,0.00
1440989,0.00,0.00,0.00
1441009,0.00,0.00,0.00
1441029,0.00,0.00,0.00
1441049,-6.00,12.00,-20.00
1441069,0.00,0.00,0.00
1441089,0.00,0.00,0.00
1441109,0.00,0.00,0.00
1441129,0.00,0.00,0.00
1441149,-5.00,11.00,-26.00
1441169,0.00,0.00,0.00
1441189,0.00,0.00,0.00
1441209,0.00,0.00,0.00
1441229,0.00,0.00,0.00
1441249,-7.00,11.00,-21.00
1441269,0.00,0.00,0.00
1441289,0.00,0.00,0.00
1441309,0.00,0.00,0.00
1441329,0.00,0.00,0.00
1441349,-7.00,11.00,-18.00
1441369,0.00,0.00,0.00
1441389,0.00,0.00,0.00
1441409,0.00,0.00,0.00
1441429,0.00,0.00,0.00
1441449,-7.00,9.00,-26.00
1441469,0.00,0.00,0.00
1441489,0.00,0.00,0.00
1441509,0.00,0.00,0.00
1441529,0.00,0.00,0.00
1441549,-7.00,10.00,-26.00
1441569,0.00,0.00,0.00
1441589,0.00,0.00,0.00
1441609,0.00,0.00,0.00
1441629,0.00,0.00,0.00
1441649,-9.00,11.00,-24.00
1441669,0.00,0.00,0.00
1441689,0.00,0.00,0.00
1441709,0.00,0.00,0.00
1441729,0.00,0.00,0.00
1441749,-7.00,11.00,-26.00
1441769,0.00,0.00,0.00
1441789,0.00,0.00,0.00
1441809,0.00,0.00,0.00
1441829,0.00,0.00,0.00
1441849,-7.00,12.00,-24.00
1441869,0.00,0.00,0.00
1441889,0.00,0.00,0.00
1441909,0.00,0.00,0.00
1441929,0.00,0.00,0.00
1441949,-7.00,10.00,-25.00
1441969,0.00,0.00,0.00
1441989,0.00,0.00,0.00
1442009,0.00,0.00,0.00
1442029,-7.00,10.00,-26.00
1442049,0.00,0.00,0.00
1442069,0.00,0.00,0.00
1442089,0.00,0.00,0.00
1442109,0.00,0.00,0.00
1442129,-7.00,11.00,-21.00
1442149,0.00,0.00,0.00
1442169,0.00,0.00,0.00
1442189,0.00,0.00,0.00
1442209,0.00,0.00,0.00
1442229,-6.00,11.00,-26.00
1442249,0.00,0.00,0.00
1442269,0.00,0.00,0.00
1442289,0.00,0.00,0.00
1442309,0.00,0.00,0.00
1442329,-7.00,10.00,-23.00
1442349,0.00,0.00,0.00
1442369,0.00,0.00,0.00
1442389,0.00,0.00,0.00
1442409,0.00,0.00,0.00
1442429,-6.00,11.00,-26.00
1442449,0.00,0.00,0.00
1442469,0.00,0.00,0.00
1442489,0.00,0.00,0.00
1442509,0.00,0.00,0.00
1442529,-8.00,9.00,-27.00
1442549,0.00,0.00,0.00
1442569,0.00,0.00,0.00
1442589,0.00,0.00,0.00
1442609,0.00,0.00,0.00
1442629,-10.00,11.00,-24.00
1442649,0.00,0.00,0.00
1442669,0.00,0.00,0.00
1442689,0.00,0.00,0.00
1442709,0.00,0.00,0.00
1442729,-11.00,8.00,-23.00
1442749,0.00,0.00,0.00
1442769,0.00,0.00,0.00
1442789,0.00,0.00,0.00
1442809,0.00,0.00,0.00
1442829,-12.00,5.00,-34.00
1442849,0.00,0.00,0.00
1442869,0.00,0.00,0.00
1442889,0.00,0.00,0.00
1442909,0.00,0.00,0.00
1442929,-13.00,2.00,-29.00
1442949,0.00,0.00,0.00
1442969,0.00,0.00,0.00
1442989,0.00,0.00,0.00
1443009,0.00,0.00,0.00
1443029,-15.00,-3.00,-29.00
1443049,0.00,0.00,0.00
1443069,0.00,0.00,0.00
1443089,0.00,0.00,0.00
1443109,0.00,0.00,0.00
1443129,-17.00,-8.00,-25.00
1443149,0.00,0.00,0.00
1443169,0.00,0.00,0.00
1443189,0.00,0.00,0.00
1443209,0.00,0.00,0.00
1443229,-15.00,-7.00,-28.00
1443249,0.00,0.00,0.00
1443269,0.00,0.00,0.00
1443289,0.00,0.00,0.00
1443309,0.00,0.00,0.00
1443329,-17.00,-11.00,-33.00
1443349,0.00,0.00,0.00
1443369,0.00,0.00,0.00
1443389,0.00,0.00,0.00
1443409,0.00,0.00,0.00
1443429,-17.00,-13.00,-35.00
1443449,0.00,0.00,0.00
1443469,0.00,0.00,0.00
1443489,0.00,0.00,0.00
1443509,0.00,0.00,0.00
1443529,-20.00,-16.00,-33.00
1443549,0.00,0.00,0.00
1443569,0.00,0.00,0.00
1443589,0.00,0.00,0.00
1443609,0.00,0.00,0.00
1443629,-20.00,-18.00,-34.00
1443649,0.00,0.00,0.00
1443669,0.00,0.00,0.00
1443689,0.00,0.00,0.00
1443709,0.00,0.00,0.00
1443729,-20.00,-21.00,-32.00
1443749,0.00,0.00,0.00
1443769,0.00,0.00,0.00
1443789,0.00,0.00,0.00
1443809,0.00,0.00,0.00
1443829,-18.00,-26.00,-29.00
