time_ms,ax,ay,az
1096898,-0.02,0.95,-0.28
1096918,-0.01,0.94,-0.29
1096938,-0.01,0.95,-0.29
1096958,-0.01,0.95,-0.29
1096978,-0.01,0.94,-0.29
1096998,-0.01,0.94,-0.29
1097018,-0.01,0.95,-0.28
1097038,-0.01,0.94,-0.28
1097058,-0.01,0.95,-0.29
1097078,-0.01,0.95,-0.29
1097098,-0.01,0.95,-0.29
1097118,-0.01,0.95,-0.29
1097138,-0.01,0.94,-0.28
1097158,-0.01,0.95,-0.28
1097178,-0.01,0.95,-0.29
1097198,-0.01,0.94,-0.29
1097218,-0.01,0.95,-0.29
1097238,-0.01,0.94,-0.29
1097258,-0.01,0.94,-0.29
1097278,-0.01,0.94,-0.29
1097298,-0.01,0.94,-0.29
1097318,-0.01,0.94,-0.29
1097338,-0.01,0.94,-0.29
1097358,-0.01,0.94,-0.29
1097378,-0.01,0.94,-0.29
1097398,-0.01,0.94,-0.29
1097418,-0.01,0.94,-0.29
1097438,-0.02,0.94,-0.29
1097458,-0.01,0.94,-0.30
1097478,-0.02,0.94,-0.29
1097498,-0.01,0.94,-0.29
1097518,-0.02,0.94,-0.31
1097538,-0.02,0.94,-0.29
1097558,-0.01,0.94,-0.30
1097578,-0.02,0.94,-0.31
1097598,-0.02,0.94,-0.31
1097618,-0.01,0.94,-0.31
1097638,-0.01,0.93,-0.33
1097658,-0.01,0.93,-0.33
1097678,-0.01,0.95,-0.30
1097698,-0.01,0.93,-0.34
1097718,-0.01,0.92,-0.35
1097738,-0.01,0.92,-0.36
1097758,-0.01,0.92,-0.35
1097778,-0.01,0.92,-0.35
1097798,-0.01,0.92,-0.36
1097818,-0.01,0.92,-0.37
1097838,-0.01,0.91,-0.37
1097858,-0.01,0.91,-0.39
1097878,-0.01,0.89,-0.42
1097898,-0.01,0.91,-0.39
1097918,-0.01,0.89,-0.42
1097938,-0.01,0.89,-0.44
1097958,-0.03,0.88,-0.46
1097978,-0.03,0.85,-0.51
1097998,-0.02,0.86,-0.55
1098018,-0.04,0.80,-0.57
1098038,-0.04,0.81,-0.56
1098058,-0.00,0.82,-0.53
1098078,-0.03,0.78,-0.58
1098098,-0.05,0.79,-0.64
1098118,-0.05,0.77,-0.69
1098138,-0.07,0.74,-0.68
1098158,-0.06,0.73,-0.69
1098178,-0.05,0.73,-0.69
1098198,-0.03,0.73,-0.70
1098218,-0.04,0.70,-0.70
1098238,-0.06,0.65,-0.72
1098258,-0.04,0.67,-0.77
1098278,-0.05,0.64,-0.75
1098298,-0.06,0.61,-0.75
1098318,-0.04,0.62,-0.78
1098338,-0.06,0.58,-0.81
1098358,-0.06,0.58,-0.82
1098378,-0.05,0.58,-0.84
1098398,-0.05,0.57,-0.81
1098418,-0.04,0.55,-0.83
1098438,-0.04,0.54,-0.85
1098458,-0.03,0.55,-0.84
1098478,-0.03,0.53,-0.83
1098498,-0.03,0.52,-0.84
1098518,-0.04,0.49,-0.87
1098538,-0.04,0.46,-0.89
1098558,-0.03,0.48,-0.89
1098578,-0.04,0.46,-0.89
1098598,-0.05,0.44,-0.89
1098618,-0.04,0.44,-0.89
1098638,-0.05,0.42,-0.89
1098658,-0.05,0.43,-0.90
1098678,-0.04,0.45,-0.92
1098698,-0.06,0.42,-0.91
1098718,-0.06,0.42,-0.91
1098738,-0.05,0.45,-0.88
1098758,-0.06,0.44,-0.90
1098778,-0.06,0.45,-0.91
1098798,-0.05,0.46,-0.90
1098818,-0.06,0.46,-0.91
1098838,-0.07,0.45,-0.89
1098858,-0.05,0.47,-0.88
1098878,-0.04,0.48,-0.87
1098898,-0.04,0.48,-0.88
1098918,-0.05,0.47,-0.89
1098938,-0.06,0.49,-0.87
1098958,-0.05,0.51,-0.87
1098978,-0.05,0.50,-0.87
1098998,-0.04,0.52,-0.85
1099018,-0.05,0.51,-0.86
1099038,-0.04,0.53,-0.84
1099058,-0.02,0.56,-0.83
1099078,-0.04,0.54,-0.84
1099098,-0.04,0.53,-0.84
1099118,-0.04,0.56,-0.80
1099138,-0.03,0.59,-0.80
1099158,-0.01,0.61,-0.78
1099178,-0.04,0.60,-0.76
1099198,-0.03,0.64,-0.77
1099218,-0.04,0.65,-0.75
1099238,-0.04,0.68,-0.71
1099258,-0.04,0.69,-0.71
1099278,-0.04,0.74,-0.69
1099298,-0.04,0.75,-0.69
1099318,-0.05,0.75,-0.65
1099338,-0.05,0.77,-0.68
1099358,-0.04,0.78,-0.66
1099378,-0.04,0.77,-0.62
1099398,-0.04,0.79,-0.61
1099418,-0.04,0.80,-0.59
1099438,-0.03,0.81,-0.58
1099458,-0.04,0.81,-0.58
1099478,-0.04,0.81,-0.58
1099498,-0.03,0.82,-0.56
1099518,-0.03,0.83,-0.55
1099538,-0.03,0.84,-0.53
1099558,-0.03,0.85,-0.52
1099578,-0.02,0.86,-0.48
1099598,-0.02,0.88,-0.46
1099618,-0.02,0.88,-0.45
1099638,-0.01,0.90,-0.43
1099658,-0.01,0.91,-0.40
1099678,-0.02,0.90,-0.41
1099698,-0.01,0.91,-0.38
1099718,0.00,0.92,-0.36
1099738,0.01,0.93,-0.33
1099758,0.00,0.94,-0.31
1099778,-0.01,0.94,-0.29
1099798,-0.01,0.95,-0.28
1099818,-0.01,0.96,-0.24
1099838,-0.01,0.99,-0.19
1099858,-0.00,0.97,-0.17
1099878,-0.00,0.95,-0.11
1099898,-0.00,0.96,-0.10
1099918,-0.01,0.99,-0.09
1099938,-0.01,0.98,-0.09
1099958,-0.01,0.97,-0.07
1099978,-0.01,0.98,-0.05
1099998,-0.01,1.00,-0.07
1100018,-0.01,0.98,-0.05
1100038,-0.02,0.98,-0.04
1100058,-0.00,0.98,-0.03
1100078,-0.01,0.99,-0.04
1100098,-0.01,0.98,-0.04
1100118,-0.01,0.98,-0.04
1100138,-0.01,0.97,-0.05
1100158,-0.00,0.97,-0.09
1100178,0.01,0.99,-0.14
1100198,0.03,0.98,-0.16
1100218,-0.00,0.97,-0.23
1100238,-0.00,0.96,-0.26
1100258,0.02,0.95,-0.27
1100278,0.02,0.94,-0.31
1100298,-0.01,0.92,-0.35
1100318,-0.01,0.91,-0.40
1100338,-0.02,0.89,-0.43
1100358,-0.04,0.87,-0.47
1100378,-0.04,0.85,-0.52
1100398,-0.04,0.83,-0.55
1100418,-0.02,0.80,-0.59
1100438,-0.04,0.80,-0.59
1100458,-0.06,0.79,-0.60
1100478,-0.05,0.77,-0.62
1100498,-0.04,0.76,-0.66
1100518,-0.05,0.74,-0.66
1100538,-0.06,0.72,-0.69
1100558,-0.05,0.70,-0.71
1100578,-0.05,0.70,-0.70
1100598,-0.06,0.71,-0.70
1100618,-0.06,0.69,-0.71
1100638,-0.05,0.69,-0.72
1100658,-0.06,0.67,-0.73
1100678,-0.07,0.66,-0.74
1100698,-0.08,0.65,-0.75
1100718,-0.08,0.65,-0.75
1100738,-0.09,0.62,-0.78
1100758,-0.08,0.60,-0.80
1100778,-0.06,0.62,-0.79
1100798,-0.09,0.60,-0.79
1100818,-0.09,0.59,-0.81
1100838,-0.08,0.60,-0.79
1100858,-0.08,0.60,-0.79
1100878,-0.09,0.57,-0.81
1100898,-0.09,0.59,-0.81
1100918,-0.11,0.59,-0.80
1100938,-0.09,0.56,-0.82
1100958,-0.07,0.56,-0.83
1100978,-0.09,0.56,-0.82
1100998,-0.10,0.55,-0.83
1101018,-0.09,0.54,-0.84
1101038,-0.09,0.54,-0.83
1101058,-0.10,0.54,-0.84
1101078,-0.10,0.54,-0.84
1101098,-0.09,0.54,-0.84
1101118,-0.10,0.52,-0.85
1101138,-0.10,0.51,-0.86
1101158,-0.10,0.50,-0.87
1101178,-0.10,0.52,-0.86
1101198,-0.10,0.54,-0.84
1101218,-0.09,0.55,-0.84
1101238,-0.09,0.57,-0.83
1101258,-0.08,0.60,-0.80
1101278,-0.08,0.63,-0.77
1101298,-0.07,0.65,-0.75
1101318,-0.06,0.68,-0.72
1101338,-0.05,0.70,-0.71
1101358,-0.04,0.72,-0.68
1101378,-0.04,0.74,-0.66
1101398,-0.04,0.76,-0.65
1101418,-0.04,0.78,-0.62
1101438,-0.04,0.78,-0.62
1101458,-0.03,0.80,-0.59
1101478,-0.02,0.81,-0.58
1101498,-0.02,0.82,-0.56
1101518,-0.02,0.84,-0.54
1101538,-0.01,0.85,-0.51
1101558,-0.02,0.86,-0.49
1101578,-0.01,0.87,-0.47
1101598,0.00,0.89,-0.46
1101618,0.00,0.90,-0.41
1101638,-0.00,0.91,-0.40
1101658,0.00,0.91,-0.38
1101678,-0.00,0.92,-0.36
1101698,0.00,0.93,-0.33
1101718,0.00,0.94,-0.31
1101738,0.00,0.95,-0.29
1101758,0.00,0.95,-0.27
1101778,-0.00,0.95,-0.25
1101798,0.00,0.96,-0.23
1101818,0.00,0.96,-0.21
1101838,0.00,0.96,-0.21
1101858,0.00,0.96,-0.21
1101878,0.00,0.96,-0.22
1101898,0.00,0.96,-0.22
1101918,0.00,0.96,-0.22
1101938,0.01,0.96,-0.23
1101958,0.01,0.96,-0.24
1101978,0.01,0.95,-0.27
1101998,0.02,0.94,-0.29
1102018,0.01,0.93,-0.32
1102038,-0.01,0.93,-0.33
1102058,-0.02,0.92,-0.37
1102078,-0.02,0.91,-0.40
1102098,-0.01,0.91,-0.40
1102118,-0.00,0.91,-0.38
1102138,-0.01,0.89,-0.43
1102158,-0.02,0.88,-0.47
1102178,-0.03,0.86,-0.50
1102198,-0.03,0.86,-0.51
1102218,-0.03,0.89,-0.52
1102238,-0.03,0.84,-0.52
1102258,-0.01,0.86,-0.52
1102278,-0.01,0.80,-0.46
1102298,-0.00,0.84,-0.61
1102318,-0.02,0.81,-0.54
1102338,-0.03,0.83,-0.57
1102358,-0.02,0.82,-0.58
1102378,-0.01,0.82,-0.59
1102398,-0.02,0.80,-0.61
1102418,-0.02,0.76,-0.61
1102438,-0.01,0.76,-0.64
1102458,-0.01,0.74,-0.63
1102478,-0.03,0.71,-0.67
1102498,-0.03,0.73,-0.68
1102518,-0.02,0.73,-0.69
1102538,-0.02,0.71,-0.67
1102558,-0.02,0.74,-0.67
1102578,-0.03,0.74,-0.67
1102598,-0.03,0.74,-0.67
1102618,-0.03,0.75,-0.67
1102638,-0.03,0.74,-0.65
1102658,-0.03,0.75,-0.65
1102678,-0.03,0.75,-0.66
1102698,-0.05,0.73,-0.58
1102718,-0.04,0.75,-0.70
1102738,-0.02,0.75,-0.64
1102758,-0.02,0.75,-0.64
1102778,-0.04,0.75,-0.60
1102798,-0.04,0.85,-0.67
1102818,-0.05,0.81,-0.59
1102838,-0.05,0.79,-0.60
1102858,-0.04,0.82,-0.55
1102878,-0.03,0.83,-0.55
1102898,-0.02,0.84,-0.52
1102918,-0.02,0.85,-0.50
1102938,-0.03,0.86,-0.50
1102958,-0.02,0.87,-0.48
1102978,-0.02,0.87,-0.47
1102998,-0.02,0.88,-0.45
1103018,-0.01,0.89,-0.43
1103038,-0.01,0.92,-0.37
1103058,-0.00,0.91,-0.38
1103078,-0.00,0.92,-0.35
1103098,0.00,0.93,-0.33
1103118,0.01,0.93,-0.34
1103138,0.01,0.93,-0.31
1103158,0.00,0.94,-0.31
1103178,0.01,0.94,-0.30
1103198,0.01,0.94,-0.30
1103218,0.01,0.94,-0.30
1103238,0.01,0.94,-0.29
1103258,0.01,0.94,-0.30
1103278,0.00,0.94,-0.30
1103298,0.01,0.94,-0.30
1103318,0.01,0.94,-0.32
1103338,0.01,0.93,-0.32
1103358,-0.00,0.92,-0.36
1103378,-0.01,0.91,-0.39
1103398,-0.01,0.90,-0.40
1103418,-0.03,0.89,-0.43
1103438,-0.02,0.87,-0.49
1103458,-0.04,0.88,-0.43
1103478,-0.02,0.87,-0.48
1103498,-0.04,0.84,-0.55
1103518,-0.04,0.82,-0.56
1103538,-0.03,0.82,-0.57
1103558,-0.03,0.83,-0.54
1103578,-0.03,0.82,-0.58
1103598,-0.02,0.81,-0.57
1103618,-0.01,0.79,-0.61
1103638,-0.02,0.82,-0.56
1103658,-0.04,0.82,-0.56
1103678,-0.03,0.82,-0.56
1103698,-0.03,0.81,-0.57
1103718,-0.02,0.82,-0.56
1103738,-0.03,0.81,-0.57
1103758,-0.04,0.81,-0.58
1103778,-0.04,0.81,-0.58
1103798,-0.03,0.80,-0.58
1103818,-0.03,0.80,-0.59
1103838,-0.03,0.80,-0.60
1103858,-0.04,0.79,-0.60
1103878,-0.04,0.79,-0.61
1103898,-0.04,0.77,-0.63
1103918,-0.04,0.78,-0.61
1103938,-0.04,0.77,-0.63
1103958,-0.04,0.77,-0.63
1103978,-0.04,0.75,-0.64
1103998,-0.05,0.75,-0.65
1104018,-0.04,0.76,-0.64
1104038,-0.05,0.73,-0.67
1104058,-0.06,0.75,-0.66
1104078,-0.06,0.73,-0.68
1104098,-0.06,0.73,-0.67
1104118,-0.05,0.74,-0.66
1104138,-0.05,0.73,-0.67
1104158,-0.05,0.73,-0.68
1104178,-0.05,0.75,-0.67
1104198,-0.05,0.75,-0.66
1104218,-0.07,0.71,-0.70
1104238,-0.06,0.76,-0.64
1104258,-0.04,0.77,-0.62
1104278,-0.03,0.80,-0.60
1104298,-0.03,0.80,-0.59
1104318,-0.03,0.82,-0.56
1104338,-0.03,0.82,-0.55
1104358,-0.02,0.83,-0.54
1104378,-0.02,0.84,-0.52
1104398,-0.02,0.86,-0.49
1104418,-0.01,0.86,-0.50
1104438,-0.01,0.86,-0.49
1104458,-0.01,0.87,-0.47
1104478,-0.01,0.89,-0.45
1104498,-0.01,0.90,-0.41
1104518,0.00,0.91,-0.39
1104538,0.00,0.92,-0.37
1104558,0.01,0.93,-0.34
1104578,0.01,0.93,-0.32
1104598,0.01,0.94,-0.31
1104618,0.01,0.94,-0.30
1104638,0.01,0.94,-0.29
1104658,0.01,0.94,-0.29
1104678,0.01,0.95,-0.28
1104698,0.01,0.95,-0.29
1104718,0.02,0.95,-0.29
1104738,0.01,0.95,-0.29
1104758,0.01,0.95,-0.28
1104778,0.01,0.95,-0.28
1104798,0.01,0.95,-0.27
1104818,0.01,0.95,-0.27
1104838,0.01,0.95,-0.27
1104858,0.01,0.95,-0.27
1104878,0.01,0.95,-0.26
1104898,0.01,0.95,-0.27
1104918,0.01,0.95,-0.27
1104938,0.01,0.95,-0.27
1104958,0.01,0.95,-0.28
1104978,0.01,0.94,-0.29
1104998,0.01,0.94,-0.30
1105018,0.01,0.94,-0.32
1105038,-0.00,0.92,-0.36
1105058,-0.00,0.91,-0.38
1105078,-0.03,0.91,-0.38
1105098,-0.01,0.90,-0.41
1105118,-0.00,0.89,-0.44
1105138,-0.00,0.88,-0.47
1105158,-0.01,0.87,-0.49
1105178,-0.02,0.86,-0.50
1105198,-0.02,0.85,-0.51
1105218,-0.03,0.84,-0.53
1105238,-0.03,0.84,-0.53
1105258,-0.03,0.83,-0.55
1105278,-0.03,0.82,-0.55
1105298,-0.04,0.82,-0.59
1105318,-0.04,0.81,-0.61
1105338,-0.04,0.79,-0.58
1105358,-0.04,0.78,-0.61
1105378,-0.04,0.78,-0.62
1105398,-0.03,0.77,-0.65
1105418,-0.04,0.74,-0.64
1105438,-0.04,0.72,-0.66
1105458,-0.04,0.72,-0.70
1105478,-0.04,0.71,-0.68
1105498,-0.05,0.70,-0.70
1105518,-0.06,0.71,-0.74
1105538,-0.06,0.69,-0.72
1105558,-0.06,0.67,-0.72
1105578,-0.05,0.67,-0.72
1105598,-0.05,0.67,-0.73
1105618,-0.06,0.68,-0.75
1105638,-0.06,0.66,-0.73
1105658,-0.06,0.67,-0.72
1105678,-0.06,0.67,-0.70
1105698,-0.07,0.72,-0.70
1105718,-0.07,0.75,-0.78
1105738,-0.07,0.75,-0.66
1105758,-0.07,0.76,-0.64
1105778,-0.04,0.80,-0.58
1105798,-0.02,0.82,-0.54
1105818,-0.03,0.86,-0.49
1105838,-0.02,0.83,-0.53
1105858,-0.02,0.87,-0.47
1105878,-0.02,0.88,-0.47
