time_ms,gx,gy,gz
1096898,-2.08,0.06,0.49
1096918,0.49,0.31,0.31
1096938,-1.71,0.00,0.12
1096958,-1.16,0.00,0.00
1096978,-0.55,0.18,0.00
1096998,0.06,0.49,-0.37
1097018,1.04,1.04,-0.85
1097038,1.16,1.04,-0.85
1097058,0.43,0.85,-0.43
1097078,-0.31,0.67,-0.12
1097098,-0.73,0.49,0.37
1097118,0.06,0.61,0.49
1097138,0.24,0.67,0.67
1097158,0.12,0.55,0.67
1097178,-0.79,0.37,0.85
1097198,-1.65,0.61,1.10
1097218,-2.62,0.79,1.34
1097238,-2.81,0.43,1.40
1097258,-1.65,0.49,0.79
1097278,-1.53,0.55,0.37
1097298,-1.89,0.37,0.37
1097318,-1.71,0.12,0.37
1097338,-1.46,0.18,0.31
1097358,-1.65,0.18,0.18
1097378,-1.77,0.12,0.00
1097398,-2.01,0.18,0.12
1097418,-2.81,0.31,0.12
1097438,-3.97,0.12,0.43
1097458,-4.46,0.67,0.67
1097478,-5.49,0.92,0.49
1097498,-3.17,3.30,-0.61
1097518,-5.07,2.75,-0.37
1097538,-7.45,1.28,0.18
1097558,-7.93,2.99,-0.61
1097578,-11.29,2.50,-0.92
1097598,-12.88,0.92,-1.65
1097618,-15.38,-0.24,-2.50
1097638,-15.87,0.31,-2.26
1097658,-17.58,-0.85,-1.77
1097678,-17.27,-0.67,-0.79
1097698,-10.50,8.48,-4.39
1097718,-12.21,6.84,-3.17
1097738,-13.55,5.74,-2.01
1097758,-14.77,2.44,-0.92
1097778,-16.91,1.83,-0.55
1097798,-19.41,2.87,-0.67
1097818,-22.95,3.36,-0.31
1097838,-26.00,3.66,0.06
1097858,-31.25,4.27,0.18
1097878,-35.03,1.95,1.77
1097898,-42.42,-3.05,5.19
1097918,-51.64,-0.85,5.62
1097938,-67.63,-0.24,7.93
1097958,-77.88,1.46,8.85
1097978,-78.86,2.01,9.58
1097998,-83.56,-2.50,9.70
1098018,-90.03,-9.46,8.00
1098038,-84.59,-14.77,15.08
1098058,-83.98,-10.01,20.69
1098078,-82.82,1.71,22.71
1098098,-70.01,6.84,24.11
1098118,-64.70,5.68,15.99
1098138,-57.31,-1.46,7.02
1098158,-45.35,-3.42,2.93
1098178,-44.01,-4.58,1.89
1098198,-55.91,-4.52,0.06
1098218,-66.65,-4.21,-2.56
1098238,-58.04,-2.08,-2.14
1098258,-54.93,-1.16,1.10
1098278,-71.04,-7.14,0.12
1098298,-65.92,-4.33,0.12
1098318,-53.10,0.73,0.18
1098338,-56.34,0.24,-1.53
1098358,-52.55,-0.67,0.12
1098378,-42.05,-1.83,0.18
1098398,-38.88,-4.27,-2.69
1098418,-33.08,-2.56,-4.09
1098438,-31.07,-2.69,-3.42
1098458,-36.87,-4.21,-2.32
1098478,-42.48,-2.93,-3.17
1098498,-40.71,1.89,-3.60
1098518,-44.62,5.19,-4.58
1098538,-41.56,5.68,-3.48
1098558,-35.28,2.99,0.06
1098578,-44.13,1.28,-1.10
1098598,-41.99,2.08,-0.92
1098618,-30.15,3.23,0.73
1098638,-23.74,4.58,0.61
1098658,-1.65,7.32,2.26
1098678,4.15,7.32,2.38
1098698,-5.55,5.07,0.06
1098718,-0.24,3.72,0.85
1098738,8.85,5.74,0.18
1098758,18.92,8.30,-1.22
1098778,24.66,5.74,-1.59
1098798,25.70,2.75,-3.30
1098818,18.92,-2.50,-3.85
1098838,17.09,-5.00,-2.69
1098858,18.25,-4.15,-0.55
1098878,16.66,-2.44,-1.22
1098898,15.38,-0.49,-1.22
1098918,11.72,-2.69,0.55
1098938,18.92,-4.33,1.95
1098958,25.76,-4.27,-1.28
1098978,28.75,-7.45,-3.17
1098998,29.97,-7.63,-3.48
1099018,31.37,-6.59,-2.99
1099038,34.79,-6.16,-3.11
1099058,36.07,-4.58,-5.00
1099078,35.71,-3.78,-6.47
1099098,43.21,-3.36,-4.15
1099118,54.32,-2.56,-1.89
1099138,63.29,0.98,-0.73
1099158,60.36,2.20,-1.40
1099178,70.50,6.04,0.61
1099198,76.90,7.93,3.11
1099218,72.51,5.37,3.85
1099238,78.12,7.57,4.58
1099258,87.65,8.91,6.29
1099278,76.35,7.51,4.03
1099298,60.55,6.59,3.36
1099318,51.88,6.23,3.11
1099338,50.23,1.53,1.10
1099358,43.64,-5.49,-5.07
1099378,42.97,-5.98,-5.68
1099398,42.97,-5.43,-6.04
1099418,37.96,-3.97,-6.47
1099438,32.23,-1.65,-6.90
1099458,32.53,-1.59,-6.90
1099478,37.72,-1.65,-7.26
