time_ms,mx,my,mz
1096898,0.00,0.00,0.00
1096918,0.00,0.00,0.00
1096938,0.00,0.00,0.00
1096958,0.00,0.00,0.00
1096978,63.00,-15.00,-61.00
1096998,0.00,0.00,0.00
1097018,0.00,0.00,0.00
1097038,0.00,0.00,0.00
1097058,0.00,0.00,0.00
1097078,64.00,-17.00,-60.00
1097098,0.00,0.00,0.00
1097118,0.00,0.00,0.00
1097138,0.00,0.00,0.00
1097158,0.00,0.00,0.00
1097178,64.00,-16.00,-59.00
1097198,0.00,0.00,0.00
1097218,0.00,0.00,0.00
1097238,0.00,0.00,0.00
1097258,0.00,0.00,0.00
1097278,62.00,-15.00,-60.00
1097298,0.00,0.00,0.00
1097318,0.00,0.00,0.00
1097338,0.00,0.00,0.00
1097358,0.00,0.00,0.00
1097378,62.00,-15.00,-66.00
1097398,0.00,0.00,0.00
1097418,0.00,0.00,0.00
1097438,0.00,0.00,0.00
1097458,0.00,0.00,0.00
1097478,66.00,-16.00,-60.00
1097498,0.00,0.00,0.00
1097518,0.00,0.00,0.00
1097538,0.00,0.00,0.00
1097558,0.00,0.00,0.00
1097578,62.00,-14.00,-62.00
1097598,0.00,0.00,0.00
1097618,0.00,0.00,0.00
1097638,0.00,0.00,0.00
1097658,0.00,0.00,0.00
1097678,61.00,-15.00,-58.00
1097698,0.00,0.00,0.00
1097718,0.00,0.00,0.00
1097738,0.00,0.00,0.00
1097758,0.00,0.00,0.00
1097778,59.00,-15.00,-62.00
1097798,0.00,0.00,0.00
1097818,0.00,0.00,0.00
1097838,0.00,0.00,0.00
1097858,0.00,0.00,0.00
1097878,59.00,-17.00,-65.00
1097898,0.00,0.00,0.00
1097918,0.00,0.00,0.00
1097938,0.00,0.00,0.00
1097958,0.00,0.00,0.00
1097978,54.00,-16.00,-71.00
1097998,0.00,0.00,0.00
1098018,0.00,0.00,0.00
1098038,0.00,0.00,0.00
1098058,0.00,0.00,0.00
1098078,46.00,-17.00,-74.00
1098098,0.00,0.00,0.00
1098118,0.00,0.00,0.00
1098138,0.00,0.00,0.00
1098158,0.00,0.00,0.00
1098178,44.00,-15.00,-72.00
1098198,0.00,0.00,0.00
1098218,0.00,0.00,0.00
1098238,0.00,0.00,0.00
1098258,0.00,0.00,0.00
1098278,38.00,-16.00,-75.00
1098298,0.00,0.00,0.00
1098318,0.00,0.00,0.00
1098338,0.00,0.00,0.00
1098358,0.00,0.00,0.00
1098378,35.00,-15.00,-74.00
1098398,0.00,0.00,0.00
1098418,0.00,0.00,0.00
1098438,0.00,0.00,0.00
1098458,0.00,0.00,0.00
1098478,29.00,-16.00,-76.00
1098498,0.00,0.00,0.00
1098518,0.00,0.00,0.00
1098538,0.00,0.00,0.00
1098558,0.00,0.00,0.00
1098578,29.00,-17.00,-75.00
1098598,0.00,0.00,0.00
1098618,0.00,0.00,0.00
1098638,0.00,0.00,0.00
1098658,0.00,0.00,0.00
1098678,26.00,-17.00,-76.00
1098698,0.00,0.00,0.00
1098718,0.00,0.00,0.00
1098738,0.00,0.00,0.00
1098758,0.00,0.00,0.00
1098778,27.00,-18.00,-73.00
1098798,0.00,0.00,0.00
1098818,0.00,0.00,0.00
1098838,0.00,0.00,0.00
1098858,28.00,-14.00,-74.00
1098878,0.00,0.00,0.00
1098898,0.00,0.00,0.00
1098918,0.00,0.00,0.00
1098938,0.00,0.00,0.00
1098958,28.00,-15.00,-74.00
1098978,0.00,0.00,0.00
1098998,0.00,0.00,0.00
1099018,0.00,0.00,0.00
1099038,0.00,0.00,0.00
1099058,34.00,-15.00,-72.00
1099078,0.00,0.00,0.00
1099098,0.00,0.00,0.00
1099118,0.00,0.00,0.00
1099138,0.00,0.00,0.00
1099158,36.00,-17.00,-71.00
1099178,0.00,0.00,0.00
1099198,0.00,0.00,0.00
1099218,0.00,0.00,0.00
1099238,0.00,0.00,0.00
1099258,42.00,-15.00,-66.00
1099278,0.00,0.00,0.00
1099298,0.00,0.00,0.00
1099318,0.00,0.00,0.00
1099338,0.00,0.00,0.00
1099358,47.00,-16.00,-73.00
1099378,0.00,0.00,0.00
1099398,0.00,0.00,0.00
1099418,0.00,0.00,0.00
1099438,0.00,0.00,0.00
1099458,49.00,-14.00,-75.00
1099478,0.00,0.00,0.00
1099498,0.00,0.00,0.00
1099518,0.00,0.00,0.00
1099538,0.00,0.00,0.00
1099558,57.00,-15.00,-67.00
1099578,0.00,0.00,0.00
1099598,0.00,0.00,0.00
1099618,0.00,0.00,0.00
1099638,0.00,0.00,0.00
1099658,59.00,-16.00,-64.00
1099678,0.00,0.00,0.00
1099698,0.00,0.00,0.00
