X,Y,Z,label
0.58347,2.03805,0.46378,3
0.60262,2.02861,0.47133,3
0.55942,2.02211,0.45066,3
0.54107,2.01731,0.42971,3
0.54924,2.0334,0.41221,3
0.53163,2.00432,0.38781,3
0.57372,1.9339,0.36751,3
0.55871,1.91139,0.39479,3
0.54705,1.92574,0.37162,3
0.62471,1.91477,0.3736,3
0.62148,1.9264,0.37445,3
0.62434,1.88832,0.36379,3
0.5492,1.93869,0.40793,3
0.54837,1.92819,0.39791,3
0.54927,1.91668,0.40451,3
0.55768,1.92885,0.419,3
0.55752,1.91929,0.42495,3
0.5516,1.90946,0.43434,3
0.55231,1.95338,0.43125,3
0.50918,1.95803,0.4016,3
0.5447,1.92933,0.46325,3
0.56654,1.95462,0.4193,3
0.60686,1.94305,0.43755,3
0.53361,1.94992,0.41073,3
0.56705,1.94199,0.41623,3
0.59616,1.92589,0.43582,3
0.57659,1.99218,0.38514,3
0.55304,1.95092,0.40822,3
0.54556,1.97216,0.42294,3
0.55616,1.92887,0.41456,3
0.54992,1.93591,0.40024,3
0.56444,1.97395,0.39382,3
0.53655,1.92104,0.38754,3
0.58989,1.92156,0.40256,3
0.59481,1.9297,0.41069,3
0.57766,1.92772,0.42207,3
0.58101,1.90795,0.42719,3
0.56732,1.86428,0.4057,3
0.5946,1.88047,0.42515,3
0.53877,1.91958,0.43422,3
0.53645,1.9491,0.42056,3
0.52401,1.94043,0.42904,3
0.53215,1.93834,0.41804,3
0.5646,1.93486,0.38514,3
0.52874,1.96411,0.42666,3
0.52822,1.93869,0.42917,3
0.53012,1.93141,0.4262,3
0.53298,1.91475,0.42958,3
0.53964,1.94736,0.43322,3
0.52744,1.95801,0.44659,3
0.5234,1.96155,0.42227,3
0.56288,1.93731,0.4342,3
0.56724,1.94474,0.46708,3
0.57118,1.92028,0.4416,3
0.58259,1.92549,0.44238,3
0.57184,1.91432,0.4674,3
0.55323,1.92936,0.4343,3
0.52282,1.9334,0.58782,3
0.55076,1.95057,0.60414,3
0.57756,1.92589,0.56931,3
0.63531,2.01662,0.57508,3
0.62626,2.00751,0.53131,3
0.62763,2.05334,0.56666,3
0.13342,2.07799,0.44434,3
0.18122,2.08381,0.44852,3
0.11832,2.12509,0.45322,3
-0.62213,2.11572,0.20621,3
-0.60641,2.14557,0.17776,3
-0.60362,2.08896,0.19658,3
0.66075,2.04061,-0.25451,3
0.67653,2.04116,-0.25244,3
