timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label
276991,-0.04,-0.01,-0.99,-0.43,0.00,-0.12,-44.00,31.00,-21.00,prone
277032,-0.04,-0.01,-1.01,0.24,0.24,-0.06,-45.00,31.00,-16.00,prone
277125,-0.04,-0.01,-1.01,-1.10,0.12,-0.06,-46.00,32.00,-23.00,prone
277231,-0.04,-0.01,-1.01,0.49,0.18,-0.18,-45.00,31.00,-12.00,prone
277324,-0.04,-0.01,-1.01,-0.43,0.12,-0.06,-46.00,30.00,-19.00,prone
277431,-0.04,-0.01,-1.01,0.61,0.18,-0.18,-46.00,31.00,-15.00,prone
277524,-0.04,-0.01,-1.01,0.18,0.18,-0.18,-45.00,29.00,-20.00,prone
277630,-0.04,-0.01,-1.01,0.12,0.18,-0.06,-44.00,32.00,-15.00,prone
277723,-0.04,-0.01,-1.01,-0.31,0.18,-0.06,-47.00,31.00,-17.00,prone
277816,-0.04,-0.01,-1.01,-0.12,0.12,-0.12,-45.00,32.00,-19.00,prone
277922,-0.04,-0.01,-1.01,-0.49,0.24,-0.06,-44.00,32.00,-17.00,prone
278015,-0.04,-0.01,-1.01,-0.06,0.18,-0.12,-43.00,33.00,-17.00,prone
278121,-0.04,-0.01,-1.01,-0.06,0.18,-0.12,-45.00,31.00,-18.00,prone
278214,-0.04,-0.01,-1.01,0.31,0.18,-0.12,-43.00,30.00,-20.00,prone
278320,-0.04,-0.01,-1.01,-0.06,0.24,-0.12,-45.00,34.00,-22.00,prone
278414,-0.04,-0.01,-1.01,-0.61,0.18,-0.12,-44.00,31.00,-14.00,prone
278520,-0.04,-0.01,-1.01,-0.24,0.12,-0.06,-47.00,30.00,-17.00,prone
278614,-0.04,-0.01,-1.01,-0.18,0.18,-0.12,-46.00,32.00,-11.00,prone
278720,-0.04,-0.01,-1.01,0.18,0.18,-0.12,-47.00,30.00,-22.00,prone
278813,-0.04,-0.01,-1.01,-0.49,0.06,-0.06,-47.00,31.00,-19.00,prone
278906,-0.04,-0.01,-1.01,-0.31,0.18,-0.12,-45.00,33.00,-13.00,prone
279012,-0.04,-0.01,-1.01,-0.12,0.12,-0.06,-46.00,30.00,-18.00,prone
279105,-0.04,-0.01,-1.01,0.00,0.18,-0.06,-44.00,33.00,-20.00,prone
279211,-0.04,-0.01,-1.01,-0.31,0.12,-0.12,-47.00,29.00,-22.00,prone
279304,-0.04,-0.01,-1.01,0.43,0.12,-0.18,-45.00,32.00,-16.00,prone
279411,-0.04,-0.01,-1.01,-0.55,0.24,-0.12,-44.00,33.00,-12.00,prone
279504,-0.04,-0.01,-1.01,0.18,0.24,-0.06,-47.00,31.00,-16.00,prone
279610,-0.04,-0.01,-1.01,-0.31,0.12,-0.06,-45.00,29.00,-16.00,prone
279703,-0.04,-0.01,-1.01,-0.73,0.06,0.00,-47.00,31.00,-20.00,prone
279809,-0.04,-0.01,-1.01,-0.24,0.12,-0.06,-45.00,32.00,-15.00,prone
279902,-0.04,-0.01,-1.01,0.49,0.18,-0.18,-48.00,30.00,-16.00,prone
280009,-0.04,-0.01,-1.01,0.43,0.18,-0.06,-45.00,30.00,-14.00,prone
280102,-0.04,-0.01,-1.01,0.12,0.18,-0.12,-45.00,31.00,-22.00,prone
280196,-0.04,-0.01,-1.01,-0.55,0.12,-0.06,-46.00,29.00,-17.00,prone
280302,-0.04,-0.01,-1.01,-0.31,0.18,-0.06,-44.00,30.00,-18.00,prone
280395,-0.04,-0.01,-1.01,-0.79,0.12,-0.06,-47.00,31.00,-17.00,prone
280501,-0.04,-0.01,-1.01,0.24,0.18,-0.12,-43.00,34.00,-16.00,prone
280594,-0.04,-0.01,-1.01,0.12,0.06,-0.12,-45.00,33.00,-15.00,prone
280700,-0.04,-0.00,-1.01,-0.06,0.12,-0.12,-45.00,30.00,-20.00,prone
280793,-0.04,-0.01,-1.01,-0.31,0.12,-0.06,-45.00,32.00,-16.00,prone
280899,-0.04,-0.01,-1.01,0.37,0.18,-0.06,-45.00,31.00,-18.00,prone
280992,-0.04,-0.01,-1.01,0.00,0.18,-0.12,-45.00,31.00,-19.00,prone
281098,-0.04,-0.01,-1.01,0.12,0.24,-0.18,-47.00,31.00,-17.00,prone
281191,-0.04,-0.01,-1.01,0.00,0.18,-0.06,-44.00,31.00,-19.00,prone
281297,-0.04,-0.01,-1.01,-0.12,0.18,-0.12,-44.00,30.00,-17.00,prone
281390,-0.04,-0.01,-1.01,-0.43,0.18,-0.06,-45.00,31.00,-17.00,prone
281483,-0.04,-0.01,-1.01,-0.24,0.18,-0.12,-45.00,31.00,-16.00,prone
281589,-0.04,-0.01,-1.01,0.12,0.18,-0.12,-46.00,32.00,-9.00,prone
281682,-0.04,-0.01,-1.01,-0.06,0.12,-0.12,-44.00,31.00,-14.00,prone
281788,-0.04,-0.01,-1.01,-0.06,0.18,-0.12,-47.00,32.00,-16.00,prone
281881,-0.04,-0.01,-1.01,0.00,0.18,-0.12,-47.00,32.00,-17.00,prone
281987,-0.04,-0.01,-1.01,0.18,0.24,-0.12,-46.00,31.00,-17.00,prone
282080,-0.04,-0.01,-1.01,0.24,0.18,-0.12,-47.00,32.00,-18.00,prone
282186,-0.04,-0.01,-1.01,0.12,0.24,0.00,-45.00,34.00,-16.00,prone
282279,-0.04,-0.01,-1.01,-0.18,0.24,0.00,-42.00,32.00,-15.00,prone
282385,-0.04,-0.01,-1.01,-0.49,0.12,-0.12,-45.00,31.00,-18.00,prone
282478,-0.04,-0.01,-1.01,-0.18,0.12,-0.12,-44.00,32.00,-16.00,prone
282584,-0.04,-0.01,-1.01,-0.37,0.18,-0.06,-46.00,33.00,-12.00,prone
282677,-0.04,-0.01,-1.01,-0.18,0.18,-0.06,-48.00,31.00,-13.00,prone
282783,-0.04,-0.01,-1.01,0.00,0.18,-0.06,-43.00,33.00,-12.00,prone
282876,-0.04,-0.01,-1.01,0.12,0.18,-0.12,-46.00,34.00,-19.00,prone
282982,-0.04,-0.01,-1.01,-0.18,0.18,-0.06,-46.00,31.00,-16.00,prone
283076,-0.04,-0.01,-1.01,-0.24,0.18,-0.12,-46.00,31.00,-14.00,prone
283169,-0.04,-0.01,-1.01,-0.12,0.18,-0.12,-44.00,31.00,-15.00,prone
283275,-0.04,-0.01,-1.01,-0.55,0.12,-0.06,-45.00,32.00,-18.00,prone
283368,-0.04,-0.01,-1.01,0.24,0.24,-0.12,-46.00,31.00,-17.00,prone
283474,-0.04,-0.01,-1.01,-0.31,0.24,-0.06,-45.00,31.00,-18.00,prone
283567,-0.04,-0.01,-1.01,-0.12,0.18,-0.18,-45.00,30.00,-12.00,prone
283674,-0.04,-0.01,-1.01,-0.37,0.12,-0.12,-46.00,31.00,-22.00,prone
283767,-0.04,-0.01,-1.01,-0.12,0.18,-0.06,-45.00,31.00,-19.00,prone
283873,-0.04,-0.01,-1.01,-0.18,0.18,-0.18,-47.00,33.00,-19.00,prone
283966,-0.04,-0.01,-1.01,-0.31,0.18,-0.06,-45.00,34.00,-17.00,prone
284072,-0.04,-0.01,-1.01,-0.06,0.18,-0.18,-45.00,32.00,-14.00,prone
