timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label
8783,0.00,0.97,0.01,0.92,0.61,-0.49,15.00,15.00,1.00,side_left
8824,0.00,0.98,0.01,0.92,0.55,0.00,18.00,14.00,5.00,side_left
8916,0.00,0.98,0.01,0.37,0.49,-0.31,16.00,15.00,3.00,side_left
9022,0.00,0.98,0.01,-0.73,-0.24,0.31,16.00,14.00,8.00,side_left
9114,-0.00,0.98,0.01,-2.38,-0.12,0.49,18.00,18.00,4.00,side_left
9220,0.00,0.98,0.01,0.31,0.31,-0.06,17.00,16.00,8.00,side_left
9313,0.00,0.98,0.01,0.79,0.12,-0.18,16.00,15.00,5.00,side_left
9419,0.00,0.98,0.01,-0.85,0.12,0.06,15.00,13.00,2.00,side_left
9511,-0.00,0.98,0.01,-0.98,0.24,-0.24,15.00,14.00,2.00,side_left
9616,0.00,0.98,0.01,0.55,0.12,-0.06,16.00,14.00,5.00,side_left
9708,0.00,0.98,0.01,0.24,0.12,-0.12,18.00,17.00,6.00,side_left
9814,0.00,0.98,0.02,-0.79,0.24,-0.12,19.00,17.00,5.00,side_left
9919,0.00,0.98,0.01,-0.67,0.12,0.06,17.00,13.00,7.00,side_left
10012,-0.00,0.98,0.01,-3.48,0.24,-0.18,17.00,13.00,8.00,side_left
10106,0.00,0.98,0.01,0.43,0.12,-0.12,18.00,15.00,4.00,side_left
10212,0.01,0.98,0.01,2.38,-0.24,0.31,19.00,17.00,3.00,side_left
10304,0.00,0.98,0.01,-0.31,0.31,0.00,19.00,13.00,3.00,side_left
10409,0.00,0.98,0.01,-0.18,0.24,-0.06,18.00,13.00,0.00,side_left
10502,0.00,0.98,0.01,0.43,-0.12,-0.06,17.00,15.00,3.00,side_left
10608,0.00,0.98,0.01,0.98,0.18,-0.24,19.00,15.00,3.00,side_left
10701,0.00,0.98,0.02,0.31,0.00,-0.12,16.00,12.00,2.00,side_left
10806,0.00,0.98,0.02,-0.06,0.06,0.06,18.00,17.00,6.00,side_left
10898,0.00,0.98,0.02,0.43,0.18,-0.12,19.00,15.00,2.00,side_left
