timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label
10921,-0.01,-0.98,-0.05,-1.71,-0.31,-0.85,-64.00,14.00,55.00,side_right
10949,-0.00,-1.00,-0.07,8.85,-0.85,1.22,-68.00,16.00,50.00,side_right
11042,-0.01,-0.99,-0.06,-19.29,-1.16,-1.04,-68.00,15.00,52.00,side_right
11149,-0.00,-1.00,-0.07,-3.91,0.49,-1.46,-69.00,14.00,51.00,side_right
11242,-0.01,-0.99,-0.06,-6.29,1.77,-3.17,-65.00,16.00,50.00,side_right
11348,-0.01,-1.00,-0.06,0.79,-0.73,0.61,-69.00,15.00,53.00,side_right
11441,-0.01,-1.00,-0.06,-0.92,0.00,-0.18,-67.00,13.00,52.00,side_right
11547,-0.01,-1.00,-0.06,-2.75,1.04,-1.04,-70.00,14.00,53.00,side_right
11640,-0.01,-0.99,-0.05,-0.49,0.37,0.18,-67.00,14.00,54.00,side_right
11746,-0.01,-1.00,-0.05,0.85,0.00,0.67,-67.00,15.00,47.00,side_right
11839,-0.01,-1.00,-0.06,1.34,0.12,0.24,-67.00,14.00,52.00,side_right
11945,-0.01,-1.00,-0.06,-0.37,0.43,0.06,-69.00,14.00,43.00,side_right
12038,-0.01,-1.00,-0.06,-0.67,0.12,-0.31,-68.00,16.00,48.00,side_right
12131,-0.01,-0.99,-0.05,-0.73,0.00,-0.43,-66.00,13.00,52.00,side_right
12237,-0.01,-0.99,-0.06,0.18,0.18,0.00,-68.00,15.00,53.00,side_right
12330,-0.01,-1.00,-0.06,0.55,0.24,0.00,-66.00,14.00,47.00,side_right
12436,-0.01,-0.99,-0.06,-2.44,0.06,-0.55,-67.00,15.00,51.00,side_right
12529,-0.01,-1.00,-0.05,-1.89,0.12,0.18,-67.00,15.00,46.00,side_right
12635,-0.01,-1.00,-0.06,0.49,0.06,0.31,-68.00,14.00,54.00,side_right
12728,-0.01,-1.00,-0.05,0.12,0.49,0.06,-66.00,13.00,46.00,side_right
12834,-0.01,-1.00,-0.05,-1.04,0.61,-0.24,-70.00,13.00,46.00,side_right
12928,-0.00,-1.00,-0.06,1.53,0.31,0.37,-68.00,14.00,50.00,side_right
13034,-0.01,-0.99,-0.05,-1.53,0.43,-0.37,-69.00,12.00,51.00,side_right
13127,-0.01,-1.00,-0.06,-0.24,0.55,-0.18,-68.00,15.00,51.00,side_right
13233,-0.01,-0.99,-0.06,-1.10,0.31,-0.06,-69.00,17.00,52.00,side_right
13327,-0.01,-1.00,-0.06,-0.37,0.24,0.00,-70.00,13.00,53.00,side_right
13420,-0.01,-1.00,-0.06,0.18,0.18,0.00,-69.00,15.00,47.00,side_right
13526,-0.01,-0.99,-0.06,-1.40,0.43,-0.24,-68.00,15.00,47.00,side_right
13619,-0.01,-1.00,-0.05,-0.06,0.37,-0.12,-67.00,13.00,56.00,side_right
13725,-0.01,-1.00,-0.06,0.61,0.31,-0.06,-68.00,15.00,52.00,side_right
13818,-0.01,-1.00,-0.06,0.79,0.24,0.12,-68.00,11.00,44.00,side_right
13924,-0.01,-1.00,-0.06,0.18,0.24,-0.18,-70.00,13.00,52.00,side_right
14017,-0.01,-1.00,-0.06,0.43,0.31,0.00,-68.00,11.00,53.00,side_right
14123,-0.01,-1.00,-0.06,-0.67,0.24,-0.31,-68.00,15.00,51.00,side_right
14216,-0.01,-0.99,-0.06,0.18,0.12,-0.06,-71.00,13.00,51.00,side_right
14322,-0.01,-0.99,-0.06,0.92,0.18,0.31,-66.00,14.00,51.00,side_right
14415,-0.01,-1.00,-0.06,0.18,0.18,0.00,-70.00,13.00,51.00,side_right
14521,-0.01,-1.00,-0.06,-0.18,0.31,0.06,-69.00,15.00,49.00,side_right
14614,-0.01,-1.00,-0.06,-1.46,0.12,-0.61,-69.00,14.00,49.00,side_right
14707,-0.01,-1.00,-0.06,0.98,0.31,0.18,-68.00,14.00,48.00,side_right
14813,-0.01,-0.99,-0.06,-0.06,0.18,-0.12,-70.00,12.00,48.00,side_right
14906,-0.01,-0.99,-0.06,-0.85,0.06,0.00,-68.00,12.00,49.00,side_right
15012,-0.01,-1.00,-0.06,0.43,0.37,0.00,-69.00,17.00,52.00,side_right
15105,-0.01,-1.00,-0.06,0.18,0.49,-0.18,-70.00,14.00,46.00,side_right
15211,-0.01,-1.00,-0.06,1.10,0.49,0.43,-69.00,14.00,50.00,side_right
15304,-0.00,-1.00,-0.07,0.24,0.79,0.06,-68.00,15.00,53.00,side_right
15410,-0.01,-0.99,-0.06,-0.55,0.37,0.00,-65.00,14.00,53.00,side_right
15503,-0.01,-0.99,-0.06,-0.18,0.31,-0.06,-70.00,13.00,54.00,side_right
15609,-0.01,-1.00,-0.06,-0.12,0.18,0.12,-69.00,15.00,44.00,side_right
15702,-0.01,-1.00,-0.07,0.43,0.06,0.00,-67.00,12.00,54.00,side_right
15808,-0.01,-1.00,-0.06,0.37,0.37,0.00,-69.00,14.00,53.00,side_right
15901,-0.01,-0.99,-0.06,-1.10,0.31,-0.24,-70.00,14.00,48.00,side_right
16007,-0.01,-1.00,-0.07,0.43,0.06,0.12,-71.00,14.00,50.00,side_right
16100,-0.01,-0.99,-0.06,0.49,0.31,0.12,-71.00,14.00,53.00,side_right
16193,-0.01,-0.99,-0.06,-0.37,0.31,-0.18,-67.00,14.00,48.00,side_right
16299,-0.01,-0.99,-0.07,1.46,-0.24,0.18,-70.00,15.00,46.00,side_right
16392,-0.00,-0.99,-0.07,0.73,-0.12,0.18,-68.00,14.00,51.00,side_right
16498,-0.01,-1.00,-0.07,0.06,0.24,0.06,-68.00,15.00,52.00,side_right
16591,-0.01,-1.00,-0.07,0.61,-0.06,0.31,-68.00,15.00,51.00,side_right
16697,-0.01,-0.99,-0.07,0.43,0.24,0.06,-68.00,16.00,51.00,side_right
16790,-0.00,-1.00,-0.07,0.31,0.00,0.12,-70.00,15.00,49.00,side_right
16896,-0.00,-1.00,-0.07,0.31,0.06,-0.06,-71.00,14.00,50.00,side_right
16989,-0.01,-1.00,-0.07,0.06,0.12,-0.12,-70.00,15.00,48.00,side_right
17095,-0.00,-1.00,-0.07,1.65,-0.12,0.43,-68.00,15.00,49.00,side_right
17188,-0.00,-0.99,-0.07,-0.73,0.43,-0.24,-67.00,16.00,49.00,side_right
17294,-0.00,-0.99,-0.08,0.00,-0.06,-0.12,-68.00,17.00,44.00,side_right
17387,-0.00,-0.99,-0.08,0.67,-0.37,0.31,-70.00,15.00,50.00,side_right
17493,0.00,-0.99,-0.08,-0.85,0.67,-0.24,-69.00,15.00,52.00,side_right
17586,-0.00,-1.00,-0.08,0.43,0.24,0.00,-69.00,14.00,52.00,side_right
