timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label
11936,0.99,0.03,-0.07,-1.65,-1.40,0.61,-44.00,-34.00,23.00,sitting_down
11977,1.00,0.02,-0.06,-1.59,-1.53,0.55,-48.00,-35.00,23.00,sitting_down
12071,1.00,0.03,-0.05,-0.67,-1.28,0.12,-45.00,-33.00,25.00,sitting_down
12177,1.00,0.02,-0.06,-0.43,-0.67,0.85,-47.00,-35.00,27.00,sitting_down
12270,1.00,0.02,-0.06,-2.08,-2.44,-0.43,-45.00,-34.00,23.00,sitting_down
12376,1.00,0.04,-0.06,1.22,0.67,-2.26,-47.00,-31.00,23.00,sitting_down
12469,1.00,0.03,-0.06,-0.18,2.14,1.28,-47.00,-37.00,22.00,sitting_down
12575,1.00,0.03,-0.06,-1.77,-2.75,-0.73,-44.00,-35.00,27.00,sitting_down
12668,1.01,0.03,-0.06,-0.67,0.73,0.61,-46.00,-35.00,31.00,sitting_down
12761,1.00,0.03,-0.05,0.61,0.67,-0.06,-43.00,-35.00,28.00,sitting_down
12867,1.01,0.03,-0.07,1.83,0.73,-0.12,-45.00,-35.00,20.00,sitting_down
12960,1.00,0.03,-0.06,-0.43,1.53,1.04,-49.00,-35.00,20.00,sitting_down
13066,1.00,0.03,-0.05,-1.71,-0.55,0.18,-48.00,-35.00,16.00,sitting_down
13159,1.00,0.03,-0.06,0.92,0.49,-0.31,-44.00,-35.00,18.00,sitting_down
13265,1.00,0.02,-0.07,1.89,1.59,0.12,-45.00,-35.00,24.00,sitting_down
13358,1.00,0.03,-0.06,0.24,0.98,0.31,-45.00,-36.00,18.00,sitting_down
13464,1.00,0.03,-0.06,-0.92,-0.43,0.12,-43.00,-36.00,18.00,sitting_down
13558,1.00,0.03,-0.06,0.61,0.79,-0.49,-43.00,-34.00,23.00,sitting_down
13651,1.00,0.03,-0.06,1.16,1.34,-0.85,-44.00,-37.00,21.00,sitting_down
13757,1.00,0.03,-0.06,-0.85,-1.28,0.24,-42.00,-38.00,21.00,sitting_down
13850,1.00,0.03,-0.06,-1.34,-0.98,0.55,-45.00,-34.00,21.00,sitting_down
13956,1.00,0.03,-0.06,-1.65,-2.08,0.00,-42.00,-34.00,25.00,sitting_down
14049,1.00,0.03,-0.06,-0.61,-0.67,0.61,-42.00,-36.00,27.00,sitting_down
14155,1.00,0.03,-0.06,0.67,0.73,0.18,-43.00,-35.00,25.00,sitting_down
14248,1.00,0.03,-0.06,1.04,0.73,0.00,-44.00,-35.00,22.00,sitting_down
14354,1.00,0.03,-0.07,0.92,0.67,0.43,-43.00,-35.00,22.00,sitting_down
14447,1.00,0.03,-0.06,-0.43,-1.65,0.18,-43.00,-35.00,21.00,sitting_down
14553,1.00,0.03,-0.05,0.73,1.53,0.00,-44.00,-39.00,22.00,sitting_down
14646,1.00,0.03,-0.07,1.34,1.89,0.00,-43.00,-35.00,24.00,sitting_down
14752,1.00,0.03,-0.07,1.46,1.04,0.18,-41.00,-36.00,25.00,sitting_down
14845,1.00,0.03,-0.07,1.10,1.16,0.31,-44.00,-35.00,27.00,sitting_down
14939,1.00,0.03,-0.07,0.31,-0.06,-0.24,-43.00,-35.00,21.00,sitting_down
15045,1.00,0.03,-0.07,0.73,0.18,-0.24,-41.00,-35.00,23.00,sitting_down
15138,1.00,0.03,-0.07,-0.37,-0.18,0.12,-45.00,-34.00,20.00,sitting_down
15244,1.00,0.03,-0.06,-0.92,-1.22,0.24,-44.00,-35.00,29.00,sitting_down
15337,1.00,0.03,-0.06,-0.55,-1.28,0.12,-44.00,-34.00,19.00,sitting_down
15443,1.00,0.03,-0.06,-0.37,-0.79,-0.06,-47.00,-35.00,23.00,sitting_down
15536,1.00,0.03,-0.06,-0.37,-1.71,-0.06,-43.00,-34.00,27.00,sitting_down
15642,1.00,0.03,-0.06,0.73,1.28,0.37,-45.00,-35.00,22.00,sitting_down
15734,1.00,0.03,-0.06,0.18,1.46,0.12,-44.00,-34.00,19.00,sitting_down
15840,1.00,0.03,-0.06,0.37,0.49,-0.06,-45.00,-35.00,29.00,sitting_down
15933,1.01,0.03,-0.07,-0.18,0.31,0.43,-42.00,-34.00,20.00,sitting_down
16026,1.01,0.03,-0.07,0.55,0.31,-0.06,-44.00,-35.00,21.00,sitting_down
16132,1.00,0.04,-0.06,0.12,-0.67,0.12,-45.00,-34.00,25.00,sitting_down
16225,1.00,0.04,-0.06,-0.31,0.18,0.06,-44.00,-35.00,23.00,sitting_down
16331,1.00,0.03,-0.06,0.43,0.43,-0.12,-45.00,-36.00,23.00,sitting_down
16424,1.00,0.04,-0.07,0.37,0.31,0.12,-44.00,-34.00,22.00,sitting_down
16530,1.00,0.04,-0.06,-0.49,0.12,0.49,-45.00,-37.00,27.00,sitting_down
16623,1.00,0.04,-0.06,0.00,0.31,0.31,-44.00,-33.00,18.00,sitting_down
16729,1.00,0.03,-0.07,1.16,0.67,-0.06,-44.00,-34.00,23.00,sitting_down
16822,1.00,0.04,-0.06,1.46,1.95,0.37,-45.00,-36.00,25.00,sitting_down
16928,1.00,0.04,-0.07,-0.18,-0.61,-0.31,-44.00,-34.00,20.00,sitting_down
17021,1.00,0.04,-0.07,0.12,1.10,0.00,-45.00,-33.00,25.00,sitting_down
17127,1.00,0.04,-0.07,0.92,1.10,-0.49,-45.00,-34.00,28.00,sitting_down
17220,1.00,0.03,-0.07,-0.43,0.79,-0.12,-45.00,-32.00,21.00,sitting_down
17313,1.00,0.04,-0.07,-0.12,-0.24,-0.18,-43.00,-36.00,21.00,sitting_down
17419,1.00,0.03,-0.07,0.85,1.34,-0.49,-47.00,-34.00,26.00,sitting_down
