timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label
9344,-0.96,-0.04,0.08,-1.22,-2.01,-2.44,-52.00,47.00,41.00,sitting_up
9385,-0.97,-0.04,0.09,-0.31,-1.46,-1.65,-51.00,47.00,40.00,sitting_up
9478,-0.97,-0.04,0.09,-0.67,-0.06,-2.56,-52.00,47.00,38.00,sitting_up
9584,-0.97,-0.03,0.08,-0.24,-4.03,-4.94,-55.00,48.00,45.00,sitting_up
9677,-0.97,-0.02,0.07,0.00,-3.17,-2.38,-51.00,49.00,43.00,sitting_up
9783,-0.98,-0.03,0.07,-1.59,4.15,2.38,-51.00,48.00,42.00,sitting_up
9876,-0.97,-0.03,0.08,-1.34,-0.12,-3.91,-52.00,51.00,37.00,sitting_up
9982,-0.97,-0.02,0.08,0.92,1.28,0.18,-48.00,45.00,38.00,sitting_up
10075,-0.97,-0.03,0.08,1.10,1.16,2.62,-48.00,42.00,42.00,sitting_up
10180,-0.97,-0.03,0.08,0.06,-1.77,-2.75,-48.00,49.00,43.00,sitting_up
10273,-0.97,-0.02,0.07,-0.49,-1.34,-0.79,-48.00,50.00,40.00,sitting_up
10379,-0.97,-0.02,0.07,-1.22,-1.83,-1.28,-50.00,51.00,40.00,sitting_up
10472,-0.97,-0.02,0.07,0.18,-0.98,2.38,-50.00,49.00,42.00,sitting_up
10578,-0.97,-0.03,0.07,-0.67,2.08,-1.83,-48.00,50.00,39.00,sitting_up
10671,-0.97,-0.02,0.07,-0.79,1.53,-1.40,-49.00,52.00,32.00,sitting_up
10764,-0.97,-0.02,0.07,-1.16,-1.83,-1.71,-47.00,52.00,38.00,sitting_up
10870,-0.97,-0.02,0.06,0.43,-2.14,-1.59,-47.00,50.00,36.00,sitting_up
10963,-0.97,-0.02,0.06,-0.31,-0.73,-1.71,-48.00,51.00,36.00,sitting_up
11069,-0.97,-0.01,0.06,-1.16,-3.42,-4.27,-49.00,51.00,33.00,sitting_up
11162,-0.98,-0.01,0.05,-0.24,-1.22,-1.04,-47.00,51.00,40.00,sitting_up
11268,-0.97,-0.01,0.05,-0.37,3.97,0.73,-47.00,52.00,34.00,sitting_up
11361,-0.97,-0.01,0.06,-0.61,3.78,0.85,-47.00,52.00,36.00,sitting_up
11467,-0.97,-0.01,0.07,-1.10,0.31,-1.04,-49.00,51.00,31.00,sitting_up
11560,-0.97,-0.01,0.07,-0.43,-2.14,-2.62,-47.00,52.00,42.00,sitting_up
11666,-0.97,0.00,0.06,-0.67,-0.18,-2.44,-46.00,52.00,40.00,sitting_up
11759,-0.97,0.00,0.06,-0.37,1.10,0.12,-47.00,51.00,38.00,sitting_up
11865,-0.97,-0.00,0.07,-0.37,2.69,1.71,-47.00,53.00,36.00,sitting_up
11958,-0.97,-0.00,0.07,0.06,2.81,1.89,-45.00,51.00,41.00,sitting_up
12064,-0.97,-0.01,0.07,-0.06,1.40,1.10,-48.00,51.00,39.00,sitting_up
12157,-0.97,-0.01,0.07,0.12,0.49,0.85,-47.00,52.00,38.00,sitting_up
12250,-0.97,-0.01,0.08,-0.12,3.11,1.65,-46.00,52.00,42.00,sitting_up
12357,-0.97,-0.01,0.09,0.31,3.66,2.01,-47.00,50.00,40.00,sitting_up
12450,-0.97,-0.01,0.09,0.00,0.73,0.06,-46.00,51.00,44.00,sitting_up
12556,-0.97,-0.02,0.09,0.12,0.73,1.10,-46.00,51.00,38.00,sitting_up
12649,-0.97,-0.02,0.09,0.06,0.43,-0.06,-44.00,52.00,37.00,sitting_up
12755,-0.97,-0.01,0.08,-0.55,-1.77,-1.95,-48.00,49.00,44.00,sitting_up
12848,-0.97,-0.01,0.08,-0.37,-0.06,-0.31,-47.00,52.00,37.00,sitting_up
12954,-0.97,-0.02,0.09,-0.18,1.89,0.55,-49.00,51.00,42.00,sitting_up
13047,-0.97,-0.01,0.09,-0.55,1.28,0.31,-47.00,54.00,38.00,sitting_up
13153,-0.97,-0.02,0.09,0.00,0.67,0.43,-45.00,51.00,41.00,sitting_up
13246,-0.97,-0.02,0.09,-0.73,0.06,-0.31,-44.00,53.00,34.00,sitting_up
13352,-0.97,-0.02,0.09,-0.24,-0.31,-0.49,-47.00,52.00,39.00,sitting_up
13445,-0.97,-0.01,0.09,-0.24,0.73,0.31,-47.00,51.00,40.00,sitting_up
13538,-0.97,-0.02,0.09,0.18,-0.18,-0.49,-46.00,53.00,41.00,sitting_up
13644,-0.97,-0.01,0.09,-0.18,0.00,0.06,-47.00,53.00,36.00,sitting_up
13737,-0.97,-0.02,0.09,-0.43,-0.37,-0.24,-45.00,52.00,36.00,sitting_up
13843,-0.97,-0.02,0.09,0.18,-0.06,-0.18,-48.00,51.00,39.00,sitting_up
13936,-0.97,-0.01,0.09,-0.31,1.28,0.37,-47.00,52.00,43.00,sitting_up
14042,-0.97,-0.02,0.09,-0.06,1.71,1.04,-48.00,51.00,39.00,sitting_up
14135,-0.97,-0.02,0.10,-0.43,1.28,0.06,-49.00,52.00,40.00,sitting_up
14241,-0.97,-0.02,0.09,-0.61,1.10,0.37,-48.00,51.00,36.00,sitting_up
14334,-0.97,-0.02,0.10,-0.24,1.40,0.49,-48.00,52.00,46.00,sitting_up
14441,-0.97,-0.02,0.10,-0.37,-0.55,-0.85,-47.00,51.00,39.00,sitting_up
14534,-0.97,-0.02,0.10,-0.31,-0.85,-0.06,-48.00,52.00,37.00,sitting_up
14640,-0.97,-0.02,0.10,-1.10,0.85,0.92,-46.00,52.00,39.00,sitting_up
14733,-0.97,-0.02,0.09,-0.92,-2.20,-2.44,-48.00,52.00,42.00,sitting_up
14826,-0.97,-0.02,0.09,-1.04,0.55,-0.18,-47.00,53.00,36.00,sitting_up
14932,-0.97,-0.02,0.10,-0.55,-1.34,-1.53,-48.00,51.00,41.00,sitting_up
15025,-0.97,-0.01,0.09,-0.67,-1.28,-1.89,-47.00,52.00,40.00,sitting_up
15131,-0.97,-0.01,0.09,-0.37,0.92,0.12,-46.00,51.00,40.00,sitting_up
15224,-0.97,-0.01,0.09,-0.31,1.16,0.55,-47.00,50.00,41.00,sitting_up
15330,-0.97,-0.01,0.09,-0.43,1.10,0.73,-47.00,51.00,38.00,sitting_up
15423,-0.97,-0.01,0.09,-0.31,0.43,-0.24,-46.00,53.00,38.00,sitting_up
15529,-0.97,-0.01,0.09,-0.37,0.18,-0.12,-47.00,55.00,38.00,sitting_up
15622,-0.97,-0.01,0.09,0.49,-0.31,-0.67,-45.00,51.00,40.00,sitting_up
15728,-0.97,-0.01,0.09,0.00,0.85,-0.24,-46.00,52.00,37.00,sitting_up
15822,-0.97,-0.01,0.10,-0.18,1.40,-0.67,-48.00,54.00,37.00,sitting_up
15928,-0.97,-0.01,0.10,0.49,1.59,1.95,-50.00,54.00,40.00,sitting_up
16021,-0.97,-0.01,0.10,0.18,0.43,1.59,-46.00,51.00,37.00,sitting_up
16114,-0.97,-0.02,0.10,0.12,0.49,0.06,-45.00,51.00,36.00,sitting_up
16220,-0.97,-0.02,0.10,0.24,2.69,1.95,-46.00,53.00,38.00,sitting_up
16313,-0.97,-0.02,0.11,0.49,2.44,2.81,-45.00,52.00,45.00,sitting_up
16419,-0.97,-0.03,0.11,0.43,4.70,2.69,-48.00,51.00,42.00,sitting_up
16512,-0.97,-0.03,0.13,0.67,5.62,3.91,-48.00,51.00,38.00,sitting_up
16618,-0.97,-0.04,0.12,1.28,-5.00,-2.93,-47.00,49.00,38.00,sitting_up
16711,-0.97,-0.02,0.11,1.04,-8.61,-7.26,-48.00,54.00,39.00,sitting_up
16817,-0.97,-0.02,0.10,0.00,3.66,2.20,-49.00,49.00,38.00,sitting_up
16910,-0.97,-0.03,0.12,-0.43,5.25,3.30,-49.00,50.00,39.00,sitting_up
17016,-0.97,-0.03,0.12,-0.12,-5.13,-3.36,-47.00,49.00,36.00,sitting_up
17109,-0.97,-0.02,0.10,0.00,-7.45,-4.76,-49.00,49.00,36.00,sitting_up
17215,-0.97,-0.01,0.09,-1.16,-1.95,-2.75,-47.00,51.00,38.00,sitting_up
17308,-0.97,-0.01,0.09,-0.98,-0.55,-0.98,-48.00,50.00,39.00,sitting_up
17414,-0.97,-0.01,0.09,-0.79,1.71,0.73,-48.00,49.00,38.00,sitting_up
17507,-0.97,-0.01,0.10,-0.61,1.83,-0.24,-48.00,49.00,35.00,sitting_up
17613,-0.97,-0.01,0.09,-0.37,0.79,0.73,-48.00,50.00,34.00,sitting_up
17706,-0.97,-0.02,0.10,-0.73,1.77,1.89,-47.00,48.00,38.00,sitting_up
17799,-0.97,-0.02,0.10,-1.04,-0.55,0.06,-46.00,49.00,35.00,sitting_up
17905,-0.97,-0.02,0.10,-0.67,1.10,0.61,-49.00,49.00,34.00,sitting_up
17998,-0.97,-0.02,0.10,-0.49,1.40,-0.49,-46.00,47.00,37.00,sitting_up
18104,-0.97,-0.02,0.11,-0.61,0.06,-0.18,-49.00,49.00,39.00,sitting_up
18197,-0.97,-0.02,0.10,-1.22,0.55,-0.31,-50.00,49.00,41.00,sitting_up
