timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label
7931,0.01,-0.01,0.98,0.00,0.12,-0.49,4.00,22.00,83.00,supine
7971,0.01,-0.00,1.00,-0.31,0.12,-0.06,2.00,24.00,84.00,supine
8064,0.01,-0.00,1.00,-0.18,0.18,-0.06,3.00,24.00,89.00,supine
8170,0.01,-0.00,1.00,-0.18,0.24,-0.18,4.00,22.00,88.00,supine
8263,0.01,-0.01,1.00,-0.43,0.24,-0.12,8.00,25.00,83.00,supine
8369,0.01,-0.00,1.00,-0.31,0.24,-0.06,4.00,23.00,89.00,supine
8462,0.01,-0.00,1.00,-0.31,0.12,-0.12,4.00,24.00,85.00,supine
8568,0.01,-0.00,1.00,-0.24,0.24,-0.12,4.00,22.00,83.00,supine
8661,0.01,-0.00,1.00,-0.12,0.24,-0.12,5.00,21.00,86.00,supine
8767,0.01,-0.00,1.00,0.24,0.37,-0.06,4.00,22.00,84.00,supine
8860,0.01,-0.00,1.00,-0.12,0.18,-0.12,1.00,24.00,82.00,supine
8966,0.01,-0.00,1.00,-0.37,0.24,-0.06,3.00,24.00,85.00,supine
9059,0.01,-0.00,1.00,-0.37,0.18,-0.06,5.00,24.00,89.00,supine
9152,0.01,-0.00,1.00,-0.18,0.24,0.00,3.00,23.00,90.00,supine
9258,0.01,-0.01,1.00,0.24,0.24,-0.06,4.00,24.00,87.00,supine
9351,0.01,-0.00,0.99,0.06,0.18,0.00,4.00,22.00,83.00,supine
9456,0.01,-0.00,1.00,-0.18,0.12,-0.06,4.00,23.00,83.00,supine
9549,0.01,-0.01,1.00,0.00,0.24,-0.12,5.00,22.00,79.00,supine
9655,0.01,-0.01,1.00,0.00,0.24,-0.12,4.00,25.00,82.00,supine
9748,0.01,-0.00,1.00,-0.18,0.18,-0.12,2.00,23.00,86.00,supine
9854,0.01,-0.00,1.00,-0.24,0.24,-0.18,4.00,23.00,84.00,supine
9947,0.01,-0.00,1.00,-0.12,0.18,-0.06,5.00,23.00,79.00,supine
10053,0.01,-0.00,1.00,-0.12,0.18,-0.06,4.00,26.00,78.00,supine
10146,0.01,-0.00,1.00,-0.24,0.18,-0.12,3.00,24.00,85.00,supine
10252,0.01,-0.00,1.00,-0.12,0.31,-0.06,5.00,22.00,90.00,supine
10345,0.01,-0.00,1.00,-0.24,0.18,-0.12,5.00,26.00,85.00,supine
10451,0.01,-0.00,1.00,-0.18,0.18,-0.12,7.00,25.00,84.00,supine
10544,0.01,-0.00,1.00,-0.18,0.18,-0.06,4.00,24.00,92.00,supine
10637,0.01,-0.00,1.00,-0.18,0.18,-0.06,2.00,24.00,86.00,supine
10743,0.01,-0.00,1.00,-0.18,0.18,-0.06,1.00,24.00,82.00,supine
10836,0.01,-0.01,1.00,-0.12,0.24,-0.12,6.00,24.00,87.00,supine
10942,0.01,-0.01,1.00,-0.18,0.18,-0.06,6.00,21.00,85.00,supine
11035,0.01,-0.01,1.00,-0.12,0.24,0.00,4.00,24.00,86.00,supine
11141,0.01,-0.01,1.00,-0.06,0.18,-0.12,4.00,25.00,92.00,supine
11234,0.01,-0.00,1.00,-0.18,0.24,-0.12,2.00,24.00,86.00,supine
11340,0.01,-0.00,1.00,-0.24,0.24,-0.18,4.00,22.00,87.00,supine
11433,0.01,-0.00,1.00,-0.18,0.12,-0.06,5.00,24.00,82.00,supine
11539,0.01,-0.01,1.00,-0.18,0.24,-0.06,4.00,24.00,84.00,supine
11632,0.01,-0.00,1.00,-0.12,0.12,-0.06,3.00,23.00,89.00,supine
11738,0.01,-0.01,1.00,-0.06,0.24,-0.06,4.00,23.00,83.00,supine
11831,0.01,-0.01,1.00,-0.06,0.18,-0.06,4.00,22.00,88.00,supine
11937,0.01,-0.01,1.00,-0.12,0.18,-0.12,6.00,24.00,88.00,supine
12030,0.01,-0.00,1.00,-0.06,0.18,-0.06,3.00,25.00,84.00,supine
12136,0.01,-0.01,1.00,-0.18,0.24,-0.12,2.00,24.00,87.00,supine
12229,0.01,-0.00,1.00,-0.24,0.24,-0.06,4.00,21.00,87.00,supine
12322,0.01,-0.00,1.00,-0.06,0.18,-0.12,4.00,24.00,81.00,supine
12428,0.01,-0.00,1.00,-0.18,0.18,-0.12,3.00,22.00,84.00,supine
12521,0.01,-0.00,1.00,-0.24,0.18,-0.12,2.00,23.00,84.00,supine
12627,0.01,-0.00,1.00,-0.24,0.24,-0.12,4.00,25.00,85.00,supine
12720,0.01,-0.01,1.00,-0.24,0.18,-0.12,4.00,23.00,83.00,supine
12826,0.01,-0.01,1.00,-0.06,0.18,-0.06,5.00,22.00,89.00,supine
12919,0.01,-0.00,1.00,-0.18,0.18,0.00,4.00,23.00,89.00,supine
13025,0.01,-0.00,1.00,-0.18,0.18,-0.06,5.00,21.00,89.00,supine
13118,0.01,-0.00,1.00,-0.24,0.18,0.00,4.00,23.00,86.00,supine
13224,0.01,-0.00,1.00,-0.31,0.12,-0.06,4.00,23.00,85.00,supine
13317,0.01,-0.00,1.00,-0.24,0.24,-0.12,5.00,24.00,84.00,supine
13423,0.01,-0.00,1.00,-0.06,0.12,-0.12,4.00,23.00,90.00,supine
13516,0.01,-0.00,1.00,-0.24,0.24,-0.06,5.00,24.00,88.00,supine
13622,0.01,-0.00,1.00,-0.06,0.24,-0.12,2.00,22.00,85.00,supine
13715,0.01,-0.01,1.00,-0.06,0.18,-0.06,3.00,24.00,92.00,supine
13808,0.01,-0.00,1.00,-0.24,0.18,-0.06,4.00,26.00,87.00,supine
13914,0.01,-0.00,1.00,-0.24,0.18,0.00,4.00,21.00,83.00,supine
14007,0.01,-0.00,1.00,-0.06,0.18,-0.06,4.00,24.00,82.00,supine
14113,0.01,-0.01,1.00,0.00,0.24,-0.06,6.00,23.00,82.00,supine
14206,0.01,-0.01,1.00,-0.24,0.24,-0.06,5.00,22.00,86.00,supine
14312,0.01,-0.00,1.00,-0.18,0.18,-0.12,4.00,24.00,87.00,supine
14405,0.01,-0.00,1.00,-0.12,0.24,-0.06,4.00,21.00,87.00,supine
14511,0.01,-0.00,1.00,-0.06,0.18,-0.06,4.00,22.00,84.00,supine
14604,0.01,-0.01,1.00,-0.06,0.24,-0.06,5.00,25.00,83.00,supine
14710,0.01,-0.00,1.00,-0.24,0.18,-0.12,4.00,23.00,89.00,supine
14803,0.01,-0.00,1.00,-0.18,0.12,-0.06,4.00,24.00,88.00,supine
14909,0.01,-0.00,1.00,-0.06,0.18,-0.06,5.00,21.00,86.00,supine
15002,0.01,-0.01,1.00,-0.06,0.24,-0.12,4.00,24.00,85.00,supine
15108,0.01,-0.01,1.00,-0.24,0.12,0.00,4.00,25.00,89.00,supine
15201,0.01,-0.00,1.00,-0.12,0.24,-0.12,5.00,23.00,87.00,supine
15307,0.01,-0.00,1.00,-0.06,0.24,-0.06,5.00,22.00,84.00,supine
15400,0.01,-0.01,1.00,-0.24,0.18,-0.06,5.00,24.00,88.00,supine
15493,0.01,-0.00,1.00,-0.24,0.24,-0.18,5.00,24.00,89.00,supine
15599,0.01,-0.01,1.00,-0.18,0.18,-0.06,4.00,24.00,89.00,supine
15692,0.01,-0.01,1.00,-0.12,0.18,0.00,2.00,22.00,84.00,supine
15799,0.01,-0.00,1.00,-0.12,0.18,-0.06,4.00,24.00,88.00,supine
