timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label
12686,0.33,-0.31,1.02,-28.81,-15.93,12.39,-6.00,5.00,72.00,unknown
12714,0.33,-0.20,0.94,-18.74,30.15,38.88,-4.00,1.00,77.00,unknown
12807,0.41,-0.06,0.99,-163.27,90.15,-12.08,3.00,2.00,61.00,unknown
12913,0.51,-0.01,0.81,0.67,40.16,-5.31,6.00,-6.00,62.00,unknown
13006,0.60,0.12,0.92,-37.48,24.41,-6.59,8.00,-8.00,58.00,unknown
13112,0.52,0.11,0.82,25.51,-3.05,2.01,5.00,-6.00,65.00,unknown
13205,0.62,0.18,0.92,4.70,-0.31,-39.92,3.00,-7.00,64.00,unknown
13311,0.55,-0.01,0.87,-12.82,-12.21,-14.34,4.00,-7.00,67.00,unknown
13404,0.54,0.05,0.86,3.66,10.25,-6.23,5.00,-9.00,61.00,unknown
13509,0.56,0.04,0.87,19.17,1.83,-4.52,5.00,-9.00,66.00,unknown
13601,0.56,-0.05,0.78,29.36,18.80,-9.83,0.00,-11.00,61.00,unknown
13707,0.58,-0.06,0.86,22.58,-0.49,-7.87,-2.00,-10.00,69.00,unknown
13800,0.55,0.00,0.76,3.48,1.65,10.50,-2.00,-12.00,65.00,unknown
13905,0.59,-0.10,0.82,13.37,0.73,-0.55,0.00,-12.00,60.00,unknown
13998,0.59,-0.09,0.82,6.47,4.88,8.91,0.00,-11.00,67.00,unknown
14103,0.60,-0.07,0.79,9.03,3.36,1.89,-3.00,-12.00,64.00,unknown
14196,0.60,-0.12,0.80,15.93,4.27,-2.81,-2.00,-11.00,60.00,unknown
14302,0.61,-0.12,0.79,4.70,1.53,3.17,-4.00,-14.00,61.00,unknown
14395,0.61,-0.13,0.78,-3.11,4.70,-1.40,0.00,-11.00,64.00,unknown
14501,0.61,-0.14,0.79,2.14,-0.85,-0.73,-4.00,-11.00,61.00,unknown
14594,0.62,-0.14,0.78,0.73,0.24,1.83,-3.00,-12.00,65.00,unknown
14700,0.61,-0.10,0.84,-3.54,-0.06,1.65,-4.00,-10.00,68.00,unknown
14793,0.61,-0.11,0.78,-1.77,0.37,1.16,-4.00,-10.00,61.00,unknown
14899,0.61,-0.10,0.83,-19.41,-2.44,-1.40,-3.00,-11.00,64.00,unknown
14992,0.63,-0.14,0.79,-28.20,9.70,-2.01,-2.00,-11.00,61.00,unknown
15098,0.62,-0.06,0.79,2.14,-0.18,2.81,0.00,-9.00,65.00,unknown
15191,0.62,-0.04,0.79,-1.89,-1.89,0.92,1.00,-12.00,64.00,unknown
15297,0.61,-0.08,0.79,2.20,-4.39,-0.61,0.00,-9.00,66.00,unknown
15390,0.61,-0.06,0.79,3.30,-1.71,1.16,2.00,-11.00,70.00,unknown
